regions	mean	X2_5_hpd	X97_5_hpd	X1	X2_5	X5	X10	X15	X20	X25	X30	X35	X40	X45	X50	X55	X60	X65	X70	X75	X80	X85	X90	X95	X97_5	X99	model	nSim	nSeq	protocol
Region1	2007.8523964880512	1997.175895301377	2015.0904891409996	1996.4873514391968	1996.9309774293656	1997.267886157459	1997.5147390290654	1997.9127439829167	1998.1352401372674	1998.4981854592238	2002.594050951388	2003.6215285266146	2004.391918322882	2012.1660038418768	2012.5471671305827	2012.8684722553717	2013.1530433883086	2013.4357041932699	2013.662930498505	2013.8746778644231	2014.0185207805341	2014.3059871633827	2014.5611928143835	2014.857370609159	2014.9694846615225	2015.0912145512407	basta	1	150	uniformS_10
Region2	2011.0733976308825	2004.2800147699631	2014.942743890787	2003.7518423989277	2004.174372250798	2004.3891819557698	2004.7076165219764	2004.9630706183223	2005.1932526836315	2005.5339738591447	2005.9738712393464	2012.2497163298622	2012.7745690471809	2013.1162907657504	2013.4060879188282	2013.5603073045306	2013.766434641067	2013.9055862894575	2014.0318204031962	2014.1367690379855	2014.292334117896	2014.3852541470033	2014.5521947186012	2014.768590050262	2014.9044864899174	2015.1003658985935	basta	1	150	uniformS_10
Region3	1993.3737707457078	1992.2283174153958	1994.3943483917683	1991.7403339672792	1991.9942477167808	1992.2743313766703	1992.6194728962514	1992.7823941716133	1992.896638032809	1993.0239267573602	1993.0948185176799	1993.1646033386342	1993.269910759478	1993.3426194644435	1993.426831877412	1993.5051061845002	1993.5629831706826	1993.6235398614253	1993.6990905341036	1993.8091189144102	1993.9135585577535	1994.014380600458	1994.125520680977	1994.267503911973	1994.3347740182721	1994.390950450838	basta	1	150	uniformS_10
Region1	1999.809362218635	1988.305890895343	2018.8146152235743	1987.7085134741872	1988.0644973410544	1988.3145514720009	1988.5259603137326	1988.7037189638158	1988.813211541193	1988.9296921900298	1989.0386070774646	1989.125978432591	1989.2364465141186	1989.3379011559125	1989.5147900941288	1998.3740474169513	1999.7490682864495	2001.319731264927	2010.6477798015076	2017.7939964082996	2018.0254221878413	2018.1883112864198	2018.3960022970562	2018.597791297983	2018.7123324662064	2018.778991722372	basta	1	150	maxPerRegionYear_20
Region2	2006.026105207909	1988.2927714670743	2018.8067546560142	1987.6206898339044	1988.083782785147	1988.3649425236902	1988.6499749258535	1988.8207934160341	1988.9515982263129	1989.1179551228151	1989.3128106346371	1989.4573393261203	2009.7705530907963	2010.8222819575283	2017.0192727065648	2017.5537431550522	2017.7635210562032	2017.9329619963817	2018.0710632548262	2018.2044121445633	2018.2899722938832	2018.4161971096357	2018.5167331773932	2018.6705275774336	2018.7536561669106	2018.806387066431	basta	1	150	maxPerRegionYear_20
Region3	2012.0984935809033	1988.2728768630384	2015.3935969483314	1987.3981341515446	1987.8732614828552	1988.6460822579331	2012.8610337449538	2013.361791904968	2013.5456770786097	2013.665386810107	2013.7655033065732	2013.842340775938	2013.9266726324713	2014.0054851496127	2014.0839572882212	2014.1419922472592	2014.2047400701344	2014.2814302378306	2014.3576961369317	2014.4379967995092	2014.522780707109	2014.6364356754184	2014.7965887594744	2015.019768380111	2015.2094607224071	2015.631654578307	basta	1	150	maxPerRegionYear_20
Region1	2014.7787330965969	1989.7921071679332	2018.7202232951877	1988.3762766583923	1989.056826552794	1989.8111922745757	2008.750367647277	2015.874483745877	2016.40078203857	2016.6806198921363	2016.9110492676582	2017.058675505395	2017.1760509313783	2017.2936679993409	2017.4036302269528	2017.4904344301324	2017.5750061412757	2017.6634154566393	2017.7466886341201	2017.8624980016612	2017.9682121790331	2018.0736950962817	2018.1961274381385	2018.3597409695385	2018.4786004712537	2018.594811605952	basta	1	150	uniform
Region2	2007.915012931382	2004.8676537554454	2010.5335561904822	2004.0908677629466	2004.6135781624196	2005.046695882391	2005.5136031757904	2005.9306332078777	2006.291066748331	2006.6157970899146	2006.997240249114	2007.4132661419726	2007.7983310803743	2008.0702721480761	2008.368832094916	2008.5559298977234	2008.772201017491	2008.951550377939	2009.1368425813719	2009.2898988158443	2009.5006668144256	2009.6487280044005	2009.8671361100874	2010.1018310270256	2010.3252663157202	2010.5773256343632	basta	1	150	uniform
Region3	1991.0336795845935	1987.484876128423	2014.8950321377495	1987.0912672314316	1987.6230376530423	1987.8277447775008	1988.1475122196207	1988.3570489413098	1988.5663090358028	1988.7426216866188	1988.8854923478486	1988.9832777228632	1989.0842687061843	1989.177696878075	1989.2655171733854	1989.3439870442996	1989.46065687967	1989.5516200160384	1989.644603946691	1989.7343883169056	1989.8404301607702	1990.0013252662907	1990.1922168721837	2014.4573500200145	2015.202521342787	2015.639002946499	basta	1	150	uniform
Region1	1996.085099657156	1987.5024687287596	2012.2639064803259	1987.2250037229778	1987.774701368714	1988.3506540731355	1989.2932491935208	1991.3237615487178	1992.1655563708982	1992.5652158322648	1992.8498153563337	1993.062358034252	1993.3103268601874	1993.5292458167958	1993.6976685649327	1993.9341512995506	1994.1883288979814	1994.4402195621915	1994.6722103484271	1995.1598218971926	2000.0276827368846	2007.901525864153	2010.3752722030897	2011.691479152974	2012.8355163305	2013.5830682617363	basta	1	150	biased_10
Region2	2014.4269465005325	2012.61049057069	2017.0152309334794	1988.9577525816233	2011.6339507207415	2012.876677727737	2013.3635848567526	2013.7905593785533	2014.009061781396	2014.2427923391424	2014.4324113563337	2014.6056763676836	2014.7142819133553	2014.889515690052	2015.0261758597712	2015.1427249343224	2015.2827664872066	2015.4203417946883	2015.5925406672727	2015.7294535830338	2015.8965719874016	2016.059637490114	2016.244833151662	2016.4811802005488	2016.8223419371768	2017.0091124779908	basta	1	150	biased_10
