regions	mean	X2_5_hpd	X97_5_hpd	X1	X2_5	X5	X10	X15	X20	X25	X30	X35	X40	X45	X50	X55	X60	X65	X70	X75	X80	X85	X90	X95	X97_5	X99	model	nSim	nSeq	protocol
Region1	1992.6409467373805	1987.152500527248	2018.40051839464	1986.7486023066463	1987.0420417725743	1987.3000098887098	1987.757596163579	1988.0743858021685	1988.2525803295616	1988.4420539267526	1988.567810291773	1988.6693351253157	1988.7921863708038	1988.8788600148994	1988.975702205827	1989.0454867026433	1989.138271925125	1989.2099706867443	1989.2999239162273	1989.40996213771	1989.554363157108	1998.0035838827962	2016.8502037717456	2017.97527933412	2018.33011175024	2018.5020323752808	dta	1	500	biased_5
Region2	2010.658808603005	1988.3514169309167	2018.472189657212	1987.2415135223366	1987.7197746493182	1988.4821513409406	1998.3473998993618	2000.5369530881626	2005.0815641167223	2006.4271489042462	2010.0786471024235	2010.7979012527164	2011.2263454938266	2014.2453581470893	2015.3041858334104	2015.7896025470113	2016.0871371339927	2016.3222996867444	2016.5540353761637	2016.984591752902	2017.2626604002346	2017.5818824029518	2017.7564496388306	2018.0355373497077	2018.1818726537483	2018.4315431103446	dta	1	500	biased_5
Region3	2011.3067743240426	1988.6080553473594	2014.1867433403115	1987.4283629436713	1987.8805851843845	1988.791355230479	2011.2915103722214	2011.6972590403186	2011.9335241157796	2012.1436881208817	2012.2882463407707	2012.4290750388095	2012.5162112338262	2012.6195725219106	2012.7255849650278	2012.8101840415973	2012.8998671292604	2012.993981854149	2013.085626733402	2013.1641831135119	2013.2615079483205	2013.3514959365543	2013.4914259275915	2013.718546424661	2013.9270796528351	2014.0846929637435	dta	1	500	biased_5
Region1	1989.6243335125002	1988.2635408017932	1989.9388881309665	1987.9453359318031	1988.1905432955946	1988.3838909678498	1988.5825746929338	1988.7321174798608	1988.8256030889024	1988.9237318729947	1988.9909788511757	1989.055992851011	1989.120577857029	1989.1885404226798	1989.245999230593	1989.3022877795545	1989.3443311638378	1989.4068266471475	1989.4532702500737	1989.5002771903228	1989.5626720486134	1989.6396684868923	1989.7174966587193	1989.8253655140895	1989.9289331000334	2018.1349476276116	dta	1	500	uniform
Region2	2012.2040806876657	2000.1757130993874	2018.124335370006	1989.3444933764865	1999.6417493369959	2000.407059238426	2002.653570278565	2005.969704235359	2007.5001247332693	2009.007454332868	2009.4880516423566	2009.7709441593333	2010.0238736120286	2010.3546781816765	2016.5059336715756	2016.8375633704231	2017.0443182888478	2017.1856903669911	2017.2990686820108	2017.4063503509626	2017.4985827464454	2017.593357390143	2017.7196703577783	2017.8656132261258	2017.9848309850186	2018.1200748306162	dta	1	500	uniform
Region3	2013.4602691642706	2012.48286151171	2014.641026357979	2012.0924170905398	2012.3578005447066	2012.6692197311222	2012.8274359753952	2012.9512778604847	2013.0551377626616	2013.1682271234224	2013.2526491777387	2013.325421743493	2013.4037515154603	2013.4613637411842	2013.5173154430786	2013.5692077165324	2013.6312950396027	2013.704369895976	2013.7635540491515	2013.8296515890818	2013.9200529586517	2014.0050758542006	2014.1113250880544	2014.3307669065523	2014.566237731914	2015.4894569892385	dta	1	500	uniform
Region1	1990.8904556541834	1987.5155893929857	2017.0349827594548	1987.515061916839	1987.6443519763711	1987.8955845133926	1988.2956425834614	1988.4540154432011	1988.585447707589	1988.7129850056513	1988.822183906147	1988.9137667382647	1988.9911352292922	1989.087438927291	1989.1689828042847	1989.2403981974053	1989.3214275183539	1989.4136057638045	1989.490797001191	1989.5815790297636	1989.654424080053	1989.779675000938	1989.9607599521455	2016.8622750205839	2017.7096024948225	2018.3214618865773	dta	1	500	biased_2.5
Region2	2010.0312538142584	1999.56755096267	2015.2473528927906	1988.5797957434072	1997.8163918600503	1999.9123459947496	2004.2812459099082	2006.2011499095167	2006.9947292311774	2009.6753586610816	2010.9805507323065	2011.4158670900376	2011.62555085971	2011.781592615683	2011.9449279714781	2012.0570416114215	2012.1892304541998	2012.2934384527302	2012.3986304464158	2012.5052581289565	2012.6167689446047	2012.7427955518579	2012.9362355272224	2013.624443985736	2014.530833222435	2014.9155085749242	dta	1	500	biased_2.5
Region3	2013.6224234351519	1989.6173763519357	2017.0103812099042	1987.9360343385672	1988.6177390163812	1989.797502012178	2013.1317401629994	2013.4276022666695	2013.7080274639598	2013.920532827845	2014.0633818956971	2014.255894539798	2014.410060738554	2014.6130321930061	2014.7911299643279	2015.035064421637	2015.3370401492107	2015.648957312742	2015.8381402069087	2016.0144901926428	2016.172832509061	2016.3090082499023	2016.4637339233113	2016.6720992016535	2016.7923442322967	2016.9123189485122	dta	1	500	biased_2.5
Region1	2004.2089335933667	1988.1503150434974	2017.8304226072758	1987.7068359564043	1988.153379599227	1988.4465510741695	1988.8681282386829	1989.111338208615	1989.3302189032486	1989.5423755138781	1989.719564879489	1990.079157834039	1997.3806559059428	2001.2128082999347	2003.3201299724924	2015.9045476496954	2016.284096216347	2016.4944144532674	2016.6642973729088	2016.8312671291928	2016.9807684298999	2017.154579953468	2017.3337124268596	2017.6242784939234	2017.8403709443737	2018.489703020625	dta	1	500	biased_10
