regions	mean	X2_5_hpd	X97_5_hpd	X1	X2_5	X5	X10	X15	X20	X25	X30	X35	X40	X45	X50	X55	X60	X65	X70	X75	X80	X85	X90	X95	X97_5	X99	model	nSim	nSeq	protocol
Region1	1989.201769667212	1988.2030658462222	1989.9488467128917	1987.5820860375234	1987.9145551234844	1988.2444826634571	1988.487042169187	1988.7145929746478	1988.8757040602952	1988.9880904563354	1989.0606272555574	1989.1291081502477	1989.2020532860977	1989.2501655891383	1989.3056369623039	1989.3584214169214	1989.4125469311125	1989.4551918341474	1989.5137565284797	1989.5523248511254	1989.613160516308	1989.6733537909731	1989.7310738936674	1989.8053265972337	1989.860669406798	1989.9258893874091	glm	1	500	biased_5
Region2	2015.0448271330183	1996.3388797697244	2018.6832849144962	1992.3320440335156	1992.7288549619186	1996.3216287075825	2008.9524214524547	2015.6072627851863	2015.998099810202	2016.2228360764607	2016.380584279571	2016.49538812007	2016.6250383393146	2016.704276718271	2016.7954958487408	2016.9260319941695	2017.163137624745	2017.4913982561027	2017.6383007398754	2017.774956197699	2017.8727181478257	2017.9799023225019	2018.0871673003826	2018.2477306398778	2018.3342861153244	2018.4182222552147	glm	1	500	biased_5
Region3	2012.885956091758	2011.7152909083711	2013.7432014638466	2011.2128743462097	2011.610329504803	2011.9037033055818	2012.1948022051079	2012.3858797105063	2012.521666431519	2012.6207472361039	2012.6910759966263	2012.74952240899	2012.8252949942923	2012.8909804583438	2012.9646003420653	2013.0299675562312	2013.0865228887326	2013.1424088291913	2013.1977407332386	2013.246931088204	2013.3111147900136	2013.379668670666	2013.460385729534	2013.5797567818106	2013.7057500440173	2013.8585021389515	glm	1	500	biased_5
Region1	1989.5586107838155	1988.890299923195	1990.0985555396583	1988.3492094556914	1988.6214356435542	1988.8910654281883	1989.0805648535156	1989.2216168559096	1989.3024410471296	1989.370113793407	1989.4403724223257	1989.5014998693507	1989.540977167513	1989.5960594744424	1989.644214407125	1989.677045287979	1989.7147504150776	1989.7474009528191	1989.7847364217444	1989.8173400540843	1989.8570811590132	1989.8992837267187	1989.9538592999209	1990.0118342593996	1990.0435995891767	1990.0763643582657	glm	1	500	uniform
Region2	2001.9422534880475	1998.6608454087182	2003.05878644201	1999.054161766645	1999.3224586423407	1999.5546977021377	1999.7994474127038	2000.0084503179755	2000.228192213999	2000.6991571316341	2001.0506079837887	2001.270494469385	2001.4048209770312	2001.4923378547987	2001.5851231931592	2001.6554283731382	2001.729564874633	2001.7957156987277	2001.8694688936546	2001.9271180499927	2001.9973351777367	2002.1276467871235	2002.249567914469	2002.8884696338096	2017.5064454321907	2017.678494926234	glm	1	500	uniform
Region3	2013.6583565476844	2012.906934316256	2014.3545578366802	2012.3855226139535	2012.7319655305446	2012.936557429512	2013.1593623756073	2013.2906717673532	2013.3815092437428	2013.4473232165883	2013.5111741355367	2013.5622632433167	2013.6140781476959	2013.6726708426431	2013.7189726383858	2013.7593214152869	2013.7972635302735	2013.8370000982925	2013.8838183533662	2013.9231779823224	2013.969691775125	2014.0233027938693	2014.0848833939422	2014.212287158728	2014.2919161173138	2014.3546149667386	glm	1	500	uniform
Region1	1989.6681055685922	1988.801764602102	1990.4594303848007	1988.4712098410448	1988.6877490473128	1988.8500802572105	1989.0231700683723	1989.1875811082903	1989.302481669871	1989.384472000862	1989.4706615494415	1989.5386458768971	1989.5962905647054	1989.6565239358042	1989.727531377678	1989.781896825133	1989.8501488596785	1989.9043620160248	1989.9534761496045	1990.0014578188382	1990.069455823063	1990.1410402799738	1990.2292571241287	1990.3230087310794	1990.392488898054	1990.4491412021491	glm	1	500	biased_2.5
Region2	2012.2187944236082	2010.93791132233	2013.4937679913814	2010.5508240728047	2010.819270939903	2010.9995191339076	2011.2339346819383	2011.4061699806366	2011.561014474978	2011.6952324895383	2011.8012118663678	2011.91919407602	2012.0024868830747	2012.1200633881035	2012.2273166915895	2012.3402238294714	2012.4765110740025	2012.6207600032294	2012.7358146079803	2012.8365009128613	2012.9463661925354	2013.041630849265	2013.1745285934715	2013.343835014249	2013.4254374702161	2013.4938643514774	glm	1	500	biased_2.5
Region3	2014.0425267805817	2012.55891849827	2015.7027393227622	2012.70085279179	2012.8932151755666	2013.049168342194	2013.1922257267329	2013.3756487958406	2013.4939069343066	2013.62574635982	2013.7080875052602	2013.8041161390365	2013.8622852938677	2013.9194990605963	2013.9789653826879	2014.0386711185188	2014.1017776012075	2014.1579068614794	2014.2366271526425	2014.33465697229	2014.423310668446	2014.531139048124	2014.6859602836362	2015.5810486213397	2016.4946103508894	2016.8093430470894	glm	1	500	biased_2.5
Region1	1989.995293540946	1989.0442896907134	1990.864909391452	1988.7483560576427	1988.8541193802018	1989.0653396829555	1989.2971436300224	1989.4538845198347	1989.5574076083037	1989.6554253485206	1989.7700914926897	1989.8556633947328	1989.9216498195578	1989.9843016376326	1990.064598129591	1990.1183159678908	1990.2073029560452	1990.2633443242676	1990.3106182787305	1990.374512382391	1990.4375574713433	1990.5047018421246	1990.6035989332913	1990.7136823899464	1990.7953129055466	1990.8518832014815	glm	1	500	biased_10
