regions	value	model	nSim	nSeq	protocol
Region1	2006.051247	simulation	1	500	uniformS_20
Region2	2006.619553	simulation	1	500	uniformS_20
Region3	1995.682192	simulation	1	500	uniformS_20
Region1	1989.715068	simulation	1	500	maxPerRegionYear_5
Region2	2018.523288	simulation	1	500	maxPerRegionYear_5
Region3	2016.3326889999998	simulation	1	500	maxPerRegionYear_5
Region1	1989.715068	simulation	1	500	biased_2.5
Region2	2012.797335	simulation	1	500	biased_2.5
Region3	2016.6361319999999	simulation	1	500	biased_2.5
Region1	1989.715068	simulation	1	500	maxPerRegionYear_50
Region2	2018.652055	simulation	1	500	maxPerRegionYear_50
Region3	2014.073972	simulation	1	500	maxPerRegionYear_50
Region1	1989.715068	simulation	1	500	uniformS_2.5
Region2	2005.69589	simulation	1	500	uniformS_2.5
Region3	2016.0784179999998	simulation	1	500	uniformS_2.5
Region1	1989.715068	simulation	1	500	biased_20
Region2	2018.246575	simulation	1	500	biased_20
Region3	2013.6739719999998	simulation	1	500	biased_20
Region1	1989.715068	simulation	1	500	biased_50
Region2	2016.6575329999998	simulation	1	500	biased_50
Region3	2012.939725	simulation	1	500	biased_50
Region1	1989.715068	simulation	1	500	uniformS_10
Region2	2016.627614	simulation	1	500	uniformS_10
Region3	2013.024657	simulation	1	500	uniformS_10
Region1	1989.715068	simulation	1	500	maxPerRegionYear_10
Region2	2018.430137	simulation	1	500	maxPerRegionYear_10
Region3	2016.5158700000002	simulation	1	500	maxPerRegionYear_10
Region1	1989.715068	simulation	1	500	uniformS_5
Region2	2018.520548	simulation	1	500	uniformS_5
Region3	2013.986301	simulation	1	500	uniformS_5
Region1	1989.715068	simulation	1	500	maxPerRegionYear_20
Region2	2018.49589	simulation	1	500	maxPerRegionYear_20
Region3	2014.939726	simulation	1	500	maxPerRegionYear_20
Region1	1989.567123	simulation	1	500	biased_5
Region2	2018.106849	simulation	1	500	biased_5
Region3	2012.9178080000002	simulation	1	500	biased_5
Region1	1989.715068	simulation	1	500	maxPerRegion_2.5
Region2	2009.263013	simulation	1	500	maxPerRegion_2.5
Region3	2015.243835	simulation	1	500	maxPerRegion_2.5
Region1	1989.715068	simulation	1	500	maxPerRegion_10
Region2	2000.783562	simulation	1	500	maxPerRegion_10
Region3	2016.370664	simulation	1	500	maxPerRegion_10
