value	parameterChar	parameter	nSeq	protocol	matrix	nSim
797.0	Region1_Region1	migrationCount	150	uniformS_2.5	3demes	1
12.0	Region1_Region2	migrationCount	150	uniformS_2.5	3demes	1
2.0	Region1_Region3	migrationCount	150	uniformS_2.5	3demes	1
9.0	Region2_Region1	migrationCount	150	uniformS_2.5	3demes	1
1882.0	Region2_Region2	migrationCount	150	uniformS_2.5	3demes	1
2.0	Region3_Region1	migrationCount	150	uniformS_2.5	3demes	1
7.0	Region3_Region2	migrationCount	150	uniformS_2.5	3demes	1
1252.0	Region3_Region3	migrationCount	150	uniformS_2.5	3demes	1
NA	Region2_Region3	migrationCount	150	uniformS_2.5	3demes	1
0.09348973607038123	Region1_Region1	migrationRate	150	uniformS_2.5	3demes	1
0.001407624633431085	Region1_Region2	migrationRate	150	uniformS_2.5	3demes	1
0.0002346041055718475	Region1_Region3	migrationRate	150	uniformS_2.5	3demes	1
0.0010557184750733138	Region2_Region1	migrationRate	150	uniformS_2.5	3demes	1
0.2207624633431085	Region2_Region2	migrationRate	150	uniformS_2.5	3demes	1
0.0002346041055718475	Region3_Region1	migrationRate	150	uniformS_2.5	3demes	1
0.0008211143695014663	Region3_Region2	migrationRate	150	uniformS_2.5	3demes	1
0.14686217008797653	Region3_Region3	migrationRate	150	uniformS_2.5	3demes	1
NA	Region2_Region3	migrationRate	150	uniformS_2.5	3demes	1
0.2038859449911683	Region1	locationFrequency	150	uniformS_2.5	3demes	1
0.47968710572798384	Region2	locationFrequency	150	uniformS_2.5	3demes	1
0.31642694928084786	Region3	locationFrequency	150	uniformS_2.5	3demes	1
1995.668493	NA	mrcaDate	150	uniformS_2.5	3demes	1
Region3	NA	mrcaLocation	150	uniformS_2.5	3demes	1
23.334247000000005	NA	treeHeight	150	uniformS_2.5	3demes	1
1070.0	Region1_Region1	migrationCount	150	maxPerRegion_2.5	3demes	1
13.0	Region1_Region2	migrationCount	150	maxPerRegion_2.5	3demes	1
3.0	Region1_Region3	migrationCount	150	maxPerRegion_2.5	3demes	1
