model	coef	intercept	slope	nSim	protocol	nSeq	matrix
dta	0.991970220580939	0.03234631648115993	1.0370769287147785	1	biased_2.5	150	3demes
mascot	0.9865593619225811	0.267253946042171	1.0370348194894432	1	biased_2.5	150	3demes
basta	0.9893366357515261	-0.46555902888284706	1.0684034222885153	1	biased_2.5	150	3demes
glm	0.9939733390074107	0.14216291904531175	1.0411644287078943	1	biased_2.5	150	3demes
dta	0.9945917842544492	0.4844528957731278	1.0376573712958517	1	biased_50	500	3demes
mascot	0.9954315517079018	0.2559841928189357	1.0552006564510878	1	biased_50	500	3demes
glm	0.9965711667342941	0.42265680069222356	0.9996039189586972	1	biased_50	500	3demes
dta	0.9933613491394453	0.41704461647307767	0.9922696274297702	1	maxPerRegion_10	500	3demes
mascot	0.992830283421808	0.4346869349254554	0.9640590694208947	1	maxPerRegion_10	500	3demes
dta	0.9905497020923003	0.1897946967901376	1.0169396846521503	1	uniform	150	3demes
mascot	0.9822791148135035	-0.07967856460454925	1.0124315529199794	1	uniform	150	3demes
basta	0.9931512966655361	0.017723723022978533	0.9916933000310602	1	uniform	150	3demes
glm	0.996292234146809	-0.18915421322936865	1.0254441004976276	1	uniform	150	3demes
dta	0.9947724258619094	0.5535976461705232	0.9863698495630014	1	maxPerRegionYear_10	150	3demes
mascot	0.9967274881951719	0.14557469564977765	0.9953579560341876	1	maxPerRegionYear_10	150	3demes
basta	0.9943898245918791	0.028446881075954167	1.018632581322468	1	maxPerRegionYear_10	150	3demes
dta	0.9955277200453655	0.06605485843206793	1.0131359610333104	1	maxPerRegionYear_10	500	3demes
mascot	0.9955237208604268	0.02508696079256012	0.9984089853829898	1	maxPerRegionYear_10	500	3demes
dta	0.9873381243619748	-0.10238339623616355	1.1061848272541195	1	biased_10	150	3demes
mascot	0.9911778870489777	-0.521023719107923	1.1062309679257825	1	biased_10	150	3demes
basta	0.9935054752503732	0.0469649580968472	1.0046818696537527	1	biased_10	150	3demes
glm	0.9956158409637607	-0.3423493281185941	1.0338868016572846	1	biased_10	150	3demes
dta	0.9958382769455787	0.4017143551149758	0.9752036028608818	1	biased_10	500	3demes
mascot	0.9953315991086608	0.21961381743908248	1.0012301358699864	1	biased_10	500	3demes
glm	0.9978567566752335	0.08067718946425728	0.9844706102682073	1	biased_10	500	3demes
dta	0.9935864456663929	0.3166245824414027	0.9864472694668742	1	maxPerRegion_10	150	3demes
mascot	0.9947132658988768	-0.05327665803052284	1.007015846249008	1	maxPerRegion_10	150	3demes
basta	0.9940342655922677	-0.3424820949701264	1.0244760773239077	1	maxPerRegion_10	150	3demes
dta	0.9918850437755596	0.2793485101446649	0.9902841782953945	1	maxPerRegionYear_20	500	3demes
