source	destination	value	model	nSim	nSeq	protocol
Region1	Region1	84.0	simulation	1	150	maxPerRegion_2.5
Region2	Region1	9.0	simulation	1	150	maxPerRegion_2.5
Region3	Region1	4.0	simulation	1	150	maxPerRegion_2.5
Region1	Region2	12.0	simulation	1	150	maxPerRegion_2.5
Region2	Region2	79.0	simulation	1	150	maxPerRegion_2.5
Region3	Region2	4.0	simulation	1	150	maxPerRegion_2.5
Region1	Region3	2.0	simulation	1	150	maxPerRegion_2.5
Region2	Region3	2.0	simulation	1	150	maxPerRegion_2.5
Region3	Region3	98.0	simulation	1	150	maxPerRegion_2.5
Region1	Region1	72.0	simulation	1	150	maxPerRegionYear_5
Region2	Region1	14.0	simulation	1	150	maxPerRegionYear_5
Region3	Region1	2.0	simulation	1	150	maxPerRegionYear_5
Region1	Region2	10.0	simulation	1	150	maxPerRegionYear_5
Region2	Region2	79.0	simulation	1	150	maxPerRegionYear_5
Region3	Region2	6.0	simulation	1	150	maxPerRegionYear_5
Region1	Region3	3.0	simulation	1	150	maxPerRegionYear_5
Region2	Region3	3.0	simulation	1	150	maxPerRegionYear_5
Region3	Region3	106.0	simulation	1	150	maxPerRegionYear_5
Region1	Region1	29.0	simulation	1	150	biased_5
Region2	Region1	6.0	simulation	1	150	biased_5
Region3	Region1	1.0	simulation	1	150	biased_5
Region1	Region2	11.0	simulation	1	150	biased_5
Region2	Region2	194.0	simulation	1	150	biased_5
Region3	Region2	9.0	simulation	1	150	biased_5
Region1	Region3	0.0	simulation	1	150	biased_5
Region2	Region3	2.0	simulation	1	150	biased_5
Region3	Region3	42.0	simulation	1	150	biased_5
Region1	Region1	60.0	simulation	1	150	uniform
Region2	Region1	7.0	simulation	1	150	uniform
Region3	Region1	3.0	simulation	1	150	uniform
Region1	Region2	9.0	simulation	1	150	uniform
Region2	Region2	112.0	simulation	1	150	uniform
Region3	Region2	5.0	simulation	1	150	uniform
Region1	Region3	1.0	simulation	1	150	uniform
Region2	Region3	0.0	simulation	1	150	uniform
Region3	Region3	100.0	simulation	1	150	uniform
Region1	Region1	17.0	simulation	1	150	uniformS_20
Region2	Region1	3.0	simulation	1	150	uniformS_20
Region3	Region1	1.0	simulation	1	150	uniformS_20
Region1	Region2	10.0	simulation	1	150	uniformS_20
Region2	Region2	226.0	simulation	1	150	uniformS_20
Region3	Region2	14.0	simulation	1	150	uniformS_20
Region1	Region3	1.0	simulation	1	150	uniformS_20
Region2	Region3	1.0	simulation	1	150	uniformS_20
Region3	Region3	23.0	simulation	1	150	uniformS_20
Region1	Region1	74.0	simulation	1	150	maxPerRegion_5
Region2	Region1	14.0	simulation	1	150	maxPerRegion_5
Region3	Region1	2.0	simulation	1	150	maxPerRegion_5
Region1	Region2	7.0	simulation	1	150	maxPerRegion_5
Region2	Region2	86.0	simulation	1	150	maxPerRegion_5
Region3	Region2	8.0	simulation	1	150	maxPerRegion_5
Region1	Region3	1.0	simulation	1	150	maxPerRegion_5
Region2	Region3	2.0	simulation	1	150	maxPerRegion_5
Region3	Region3	103.0	simulation	1	150	maxPerRegion_5
Region1	Region1	8.0	simulation	1	150	uniformS_50
Region2	Region1	1.0	simulation	1	150	uniformS_50
Region3	Region1	1.0	simulation	1	150	uniformS_50
Region1	Region2	10.0	simulation	1	150	uniformS_50
Region2	Region2	247.0	simulation	1	150	uniformS_50
Region3	Region2	9.0	simulation	1	150	uniformS_50
Region1	Region3	0.0	simulation	1	150	uniformS_50
Region2	Region3	0.0	simulation	1	150	uniformS_50
Region3	Region3	16.0	simulation	1	150	uniformS_50
Region1	Region1	78.0	simulation	1	150	maxPerRegionYear_10
Region2	Region1	14.0	simulation	1	150	maxPerRegionYear_10
Region3	Region1	2.0	simulation	1	150	maxPerRegionYear_10
Region1	Region2	13.0	simulation	1	150	maxPerRegionYear_10
Region2	Region2	86.0	simulation	1	150	maxPerRegionYear_10
Region3	Region2	7.0	simulation	1	150	maxPerRegionYear_10
Region1	Region3	2.0	simulation	1	150	maxPerRegionYear_10
Region2	Region3	1.0	simulation	1	150	maxPerRegionYear_10
Region3	Region3	91.0	simulation	1	150	maxPerRegionYear_10
Region1	Region1	47.0	simulation	1	150	uniformS_2.5
Region2	Region1	5.0	simulation	1	150	uniformS_2.5
Region3	Region1	2.0	simulation	1	150	uniformS_2.5
Region1	Region2	9.0	simulation	1	150	uniformS_2.5
Region2	Region2	153.0	simulation	1	150	uniformS_2.5
Region3	Region2	7.0	simulation	1	150	uniformS_2.5
Region1	Region3	1.0	simulation	1	150	uniformS_2.5
Region2	Region3	1.0	simulation	1	150	uniformS_2.5
Region3	Region3	71.0	simulation	1	150	uniformS_2.5
Region1	Region1	59.0	simulation	1	150	maxPerRegionYear_20
Region2	Region1	9.0	simulation	1	150	maxPerRegionYear_20
Region3	Region1	3.0	simulation	1	150	maxPerRegionYear_20
Region1	Region2	14.0	simulation	1	150	maxPerRegionYear_20
Region2	Region2	94.0	simulation	1	150	maxPerRegionYear_20
Region3	Region2	11.0	simulation	1	150	maxPerRegionYear_20
Region1	Region3	2.0	simulation	1	150	maxPerRegionYear_20
Region2	Region3	1.0	simulation	1	150	maxPerRegionYear_20
Region3	Region3	104.0	simulation	1	150	maxPerRegionYear_20
Region1	Region1	8.0	simulation	1	150	biased_50
Region2	Region1	1.0	simulation	1	150	biased_50
Region3	Region1	2.0	simulation	1	150	biased_50
Region1	Region2	12.0	simulation	1	150	biased_50
Region2	Region2	246.0	simulation	1	150	biased_50
Region3	Region2	11.0	simulation	1	150	biased_50
Region1	Region3	0.0	simulation	1	150	biased_50
Region2	Region3	0.0	simulation	1	150	biased_50
Region3	Region3	13.0	simulation	1	150	biased_50
Region1	Region1	67.0	simulation	1	150	maxPerRegion_50
Region2	Region1	7.0	simulation	1	150	maxPerRegion_50
Region3	Region1	3.0	simulation	1	150	maxPerRegion_50
Region1	Region2	8.0	simulation	1	150	maxPerRegion_50
Region2	Region2	87.0	simulation	1	150	maxPerRegion_50
Region3	Region2	8.0	simulation	1	150	maxPerRegion_50
Region1	Region3	3.0	simulation	1	150	maxPerRegion_50
Region2	Region3	3.0	simulation	1	150	maxPerRegion_50
Region3	Region3	111.0	simulation	1	150	maxPerRegion_50
Region1	Region1	12.0	simulation	1	150	uniformS_10
Region2	Region1	4.0	simulation	1	150	uniformS_10
Region3	Region1	2.0	simulation	1	150	uniformS_10
Region1	Region2	8.0	simulation	1	150	uniformS_10
Region2	Region2	213.0	simulation	1	150	uniformS_10
Region3	Region2	16.0	simulation	1	150	uniformS_10
Region1	Region3	0.0	simulation	1	150	uniformS_10
Region2	Region3	0.0	simulation	1	150	uniformS_10
Region3	Region3	38.0	simulation	1	150	uniformS_10
Region1	Region1	42.0	simulation	1	150	biased_2.5
Region2	Region1	6.0	simulation	1	150	biased_2.5
Region3	Region1	3.0	simulation	1	150	biased_2.5
Region1	Region2	8.0	simulation	1	150	biased_2.5
Region2	Region2	162.0	simulation	1	150	biased_2.5
Region3	Region2	8.0	simulation	1	150	biased_2.5
Region1	Region3	2.0	simulation	1	150	biased_2.5
Region2	Region3	2.0	simulation	1	150	biased_2.5
Region3	Region3	65.0	simulation	1	150	biased_2.5
Region1	Region1	76.0	simulation	1	150	maxPerRegion_10
Region2	Region1	11.0	simulation	1	150	maxPerRegion_10
Region3	Region1	3.0	simulation	1	150	maxPerRegion_10
Region1	Region2	5.0	simulation	1	150	maxPerRegion_10
Region2	Region2	88.0	simulation	1	150	maxPerRegion_10
Region3	Region2	7.0	simulation	1	150	maxPerRegion_10
Region1	Region3	1.0	simulation	1	150	maxPerRegion_10
Region2	Region3	3.0	simulation	1	150	maxPerRegion_10
Region3	Region3	102.0	simulation	1	150	maxPerRegion_10
Region1	Region1	80.0	simulation	1	150	maxPerRegion_20
Region2	Region1	12.0	simulation	1	150	maxPerRegion_20
Region3	Region1	2.0	simulation	1	150	maxPerRegion_20
Region1	Region2	6.0	simulation	1	150	maxPerRegion_20
Region2	Region2	88.0	simulation	1	150	maxPerRegion_20
Region3	Region2	6.0	simulation	1	150	maxPerRegion_20
Region1	Region3	4.0	simulation	1	150	maxPerRegion_20
Region2	Region3	3.0	simulation	1	150	maxPerRegion_20
Region3	Region3	94.0	simulation	1	150	maxPerRegion_20
Region1	Region1	13.0	simulation	1	150	biased_10
Region2	Region1	1.0	simulation	1	150	biased_10
Region3	Region1	2.0	simulation	1	150	biased_10
Region1	Region2	11.0	simulation	1	150	biased_10
Region2	Region2	215.0	simulation	1	150	biased_10
Region3	Region2	11.0	simulation	1	150	biased_10
Region1	Region3	2.0	simulation	1	150	biased_10
Region2	Region3	1.0	simulation	1	150	biased_10
Region3	Region3	37.0	simulation	1	150	biased_10
Region1	Region1	60.0	simulation	1	150	maxPerRegionYear_2.5
Region2	Region1	18.0	simulation	1	150	maxPerRegionYear_2.5
Region3	Region1	3.0	simulation	1	150	maxPerRegionYear_2.5
Region1	Region2	8.0	simulation	1	150	maxPerRegionYear_2.5
Region2	Region2	90.0	simulation	1	150	maxPerRegionYear_2.5
Region3	Region2	6.0	simulation	1	150	maxPerRegionYear_2.5
Region1	Region3	2.0	simulation	1	150	maxPerRegionYear_2.5
Region2	Region3	1.0	simulation	1	150	maxPerRegionYear_2.5
Region3	Region3	109.0	simulation	1	150	maxPerRegionYear_2.5
Region1	Region1	11.0	simulation	1	150	biased_20
Region2	Region1	3.0	simulation	1	150	biased_20
Region3	Region1	1.0	simulation	1	150	biased_20
Region1	Region2	8.0	simulation	1	150	biased_20
Region2	Region2	234.0	simulation	1	150	biased_20
Region3	Region2	16.0	simulation	1	150	biased_20
Region1	Region3	1.0	simulation	1	150	biased_20
Region2	Region3	1.0	simulation	1	150	biased_20
Region3	Region3	19.0	simulation	1	150	biased_20
Region1	Region1	57.0	simulation	1	150	maxPerRegionYear_50
Region2	Region1	7.0	simulation	1	150	maxPerRegionYear_50
Region3	Region1	3.0	simulation	1	150	maxPerRegionYear_50
Region1	Region2	16.0	simulation	1	150	maxPerRegionYear_50
Region2	Region2	109.0	simulation	1	150	maxPerRegionYear_50
Region3	Region2	7.0	simulation	1	150	maxPerRegionYear_50
Region1	Region3	3.0	simulation	1	150	maxPerRegionYear_50
Region2	Region3	2.0	simulation	1	150	maxPerRegionYear_50
Region3	Region3	91.0	simulation	1	150	maxPerRegionYear_50
Region1	Region1	29.0	simulation	1	150	uniformS_5
Region2	Region1	5.0	simulation	1	150	uniformS_5
Region3	Region1	2.0	simulation	1	150	uniformS_5
Region1	Region2	13.0	simulation	1	150	uniformS_5
Region2	Region2	174.0	simulation	1	150	uniformS_5
Region3	Region2	9.0	simulation	1	150	uniformS_5
Region1	Region3	2.0	simulation	1	150	uniformS_5
Region2	Region3	2.0	simulation	1	150	uniformS_5
Region3	Region3	61.0	simulation	1	150	uniformS_5
Region1	Region1	32.0	simulation	33	150	uniformS_10
Region2	Region1	8.0	simulation	33	150	uniformS_10
Region3	Region1	0.0	simulation	33	150	uniformS_10
Region1	Region2	16.0	simulation	33	150	uniformS_10
Region2	Region2	220.0	simulation	33	150	uniformS_10
Region3	Region2	3.0	simulation	33	150	uniformS_10
Region1	Region3	1.0	simulation	33	150	uniformS_10
Region2	Region3	2.0	simulation	33	150	uniformS_10
