Sample	posterior	likelihood	prior	treeLikelihood.sim1_uniform_150	structuredCoalescent	treeHeight	migration.indicator.1	migration.indicator.2	migration.indicator.3	migration.indicator.4	migration.indicator.5	migration.indicator.6	Ne.Region1	Ne.Region2	Ne.Region3	b_migration.Region1_to_Region2	b_migration.Region1_to_Region3	b_migration.Region2_to_Region1	b_migration.Region2_to_Region3	b_migration.Region3_to_Region1	b_migration.Region3_to_Region2	sum(migration.indicator.)	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-892707.5958343471	-892402.6252771278	-304.9705572191903	-892402.6252771278	-288.69665733330885	30.03669503510271	1	1	1	1	1	1	1.000000	1.000000	1.000000	1.067696	1.102143	0.944252	0.917743	0.998135	0.958203	6	1.0	2.0	0.25	0.25	0.25	0.25
2000	-49948.7809829508	-49820.87668874624	-127.90429420455406	-49820.87668874624	-98.0087142048463	29.18489467436525	1	1	1	1	1	1	0.238582	0.238582	0.238582	33.437888	6.206219	11.741933	3.267400	6.668603	56.211042	6	0.0074008524148977736	2.0	0.2599404645897954	0.24824057790370477	0.2421963724150448	0.24962258509145496
4000	-41882.91579285317	-41507.044205339	-375.87158751417195	-41507.044205339	-354.8091114976899	29.84019786469823	1	0	1	0	1	0	1.037954	1.037954	1.037954	0.559245	0.0	2.999425	0.0	2.513522	0.0	3	0.001327176189487531	2.0	0.2599404645897954	0.24824057790370477	0.2421963724150448	0.24962258509145496
6000	-38102.65660689862	-37664.39188633909	-438.2647205595281	-37664.39188633909	-422.97624031198717	29.840199381389706	0	1	1	0	0	1	1.423011	1.423011	1.423011	0.0	0.198639	3.289522	0.0	0.0	0.514266	3	9.639841345060234E-4	1.9827229821447858	0.2651486756631001	0.24824057790370477	0.2354971868918332	0.25111355954136194
8000	-34509.75619492809	-33992.28718376826	-517.4690111598321	-33992.28718376826	-500.8644573158712	29.544009104356203	0	1	1	0	1	1	2.762998	2.762998	2.762998	0.0	0.259846	2.180473	0.0	0.404933	0.385774	4	6.03061147257477E-4	1.9827229821447858	0.2651486756631001	0.23951976548386977	0.2354971868918332	0.25983437196119696
10000	-32764.658264147954	-32222.250824177074	-542.4074399708794	-32222.250824177074	-522.9297440991401	29.140142269325352	1	1	1	1	1	0	3.190668	3.190668	3.190668	0.220392	0.021737	3.349088	0.559068	0.093970	0.0	5	4.4923468338986045E-4	1.9827229821447858	0.2651486756631001	0.2338892090139246	0.2354971868918332	0.26546492843114217
12000	-31309.181229931113	-30739.550678956984	-569.6305509741277	-30739.550678956984	-550.7711257708964	28.977392767806574	1	1	1	0	1	1	3.193295	3.193295	3.193295	1.038244	0.114956	0.858976	0.0	0.171111	0.150719	5	4.0212170312236195E-4	1.9827229821447858	0.2651486756631001	0.2338892090139246	0.2354971868918332	0.26546492843114217
14000	-30534.42823403608	-29957.14351394216	-577.2847200939229	-29957.14351394216	-556.7788256852166	28.995644729837075	1	1	1	0	1	0	3.837928	3.837928	3.837928	0.161130	0.143431	1.033266	0.0	0.130539	0.0	4	3.585129666057783E-4	1.9827229821447858	0.2712320409872951	0.2338892090139246	0.2354971868918332	0.25938156310694716
16000	-29576.857521572027	-28992.981887682232	-583.8756338897938	-28992.981887682232	-560.8619750584994	28.995023599656257	0	1	1	0	0	1	3.724392	3.724392	3.724392	0.0	0.200621	0.838094	0.0	0.0	0.129525	3	3.2107513550355546E-4	1.9827229821447858	0.27307318949418147	0.2338892090139246	0.23365603838494683	0.25938156310694716
18000	-28677.22730229174	-28068.525725880805	-608.7015764109358	-28068.525725880805	-583.5581351949918	28.967501682355948	0	1	1	0	0	1	4.726481	4.726481	4.726481	0.0	0.116183	0.918164	0.0	0.0	0.222267	3	2.776580882051218E-4	1.9827229821447858	0.2822020384356625	0.2338892090139246	0.2245271894434658	0.25938156310694716
20000	-28209.511012361738	-27606.446723033776	-603.0642893279606	-27606.446723033776	-581.2641384692998	29.114004045635504	1	1	1	0	0	1	4.097712	4.097712	4.097712	0.189427	0.208131	1.069569	0.0	0.0	0.080848	4	2.641139958304292E-4	2.1568507003024227	0.27573824730399493	0.2338892090139246	0.2309909805751334	0.25938156310694716
22000	-27964.722964277407	-27360.870705524118	-603.8522587532915	-27360.870705524118	-579.4303761959802	28.65526920210037	1	1	1	0	0	1	4.224538	4.224538	4.224538	0.722271	0.155590	1.235087	0.0	0.0	0.045973	4	2.4831341122920006E-4	2.1568507003024227	0.27573824730399493	0.2260423791775768	0.2309909805751334	0.2672283929432949
24000	-27730.940952006746	-27129.073649742422	-601.8673022643233	-27129.073649742422	-582.8592537155861	29.35985328463502	0	1	1	0	0	1	3.928253	3.928253	3.928253	0.0	0.126783	0.524098	0.0	0.0	0.068808	3	2.4681569547153247E-4	2.1568507003024227	0.27573824730399493	0.2183292280624862	0.2309909805751334	0.2749415440583855
26000	-27495.399486122416	-26879.220928573686	-616.1785575487291	-26879.220928573686	-591.7031361221348	29.697975675096952	1	1	1	1	1	1	3.885220	3.885220	3.885220	0.131523	0.064979	0.223658	0.133651	0.043889	0.036148	6	2.367228618084793E-4	2.1568507003024227	0.27573824730399493	0.2183292280624862	0.2309909805751334	0.2749415440583855
28000	-27076.812552336956	-26462.83990460222	-613.9726477347358	-26462.83990460222	-589.1595706104473	29.698030220271868	1	1	1	0	0	1	4.963379	4.963379	4.963379	0.127315	0.111751	0.477028	0.0	0.0	0.085198	4	2.2130543041150256E-4	1.6110900107720338	0.27573824730399493	0.2194928652452817	0.2309909805751334	0.27377790687559
30000	-26968.519104351864	-26366.5741628861	-601.9449414657635	-26366.5741628861	-581.568578272011	30.02996003781331	1	1	1	1	1	0	3.720757	3.720757	3.720757	0.081041	0.044289	0.156290	0.106982	0.047572	0.0	5	2.1819149792357378E-4	1.6110900107720338	0.27573824730399493	0.2194928652452817	0.2309909805751334	0.27377790687559
32000	-26474.23507040779	-25877.924788931858	-596.3102814759328	-25877.924788931858	-569.7615608824162	30.029994234611355	1	1	1	1	0	1	4.623853	4.623853	4.623853	0.019230	0.023576	0.318916	0.139967	0.0	0.044707	5	2.0220814971159325E-4	1.7952968240989213	0.2829116752845216	0.2194928652452817	0.2309909805751334	0.26660447889506333
34000	-26183.784364609688	-25611.695320734994	-572.089043874695	-25611.695320734994	-552.1447806042432	29.797482725110566	1	1	1	1	0	1	3.559620	3.559620	3.559620	0.044416	0.056128	0.505340	0.057161	0.0	0.025075	5	2.2828163037995594E-4	1.7952968240989213	0.2829116752845216	0.2194928652452817	0.2309909805751334	0.26660447889506333
36000	-25958.812849122896	-25378.70397190426	-580.1088772186374	-25378.70397190426	-560.9297789013519	29.797451994549757	0	1	1	0	0	1	3.534225	3.534225	3.534225	0.0	0.120514	0.459977	0.0	0.0	0.060078	3	2.0983139024198386E-4	1.7952968240989213	0.2829116752845216	0.2194928652452817	0.2309909805751334	0.26660447889506333
38000	-25727.623699365155	-25153.945817067233	-573.6778822979196	-25153.945817067233	-555.0553244659876	29.79862451633688	1	1	1	1	0	1	3.535886	3.535886	3.535886	0.056329	0.035401	0.295879	0.098779	0.0	0.058482	5	1.9575422254089332E-4	1.7952968240989213	0.2829116752845216	0.2194928652452817	0.2309909805751334	0.26660447889506333
40000	-25631.617864613316	-25065.676669198627	-565.9411954146893	-25065.676669198627	-544.203141861964	30.56980855438823	0	1	1	1	0	1	3.400105	3.400105	3.400105	0.0	0.056815	0.285554	0.076202	0.0	0.090105	4	2.05119651178245E-4	1.7952968240989213	0.2829116752845216	0.2194928652452817	0.2309909805751334	0.26660447889506333
42000	-25339.687501898523	-24765.667364398083	-574.0201375004406	-24765.667364398083	-549.9264192326018	30.292964186290504	0	1	1	0	1	1	3.518963	3.518963	3.518963	0.0	0.076666	0.398856	0.0	0.005256	0.063236	4	1.819413698628509E-4	1.9584835161722753	0.28494110427752584	0.22035395808315628	0.2309909805751334	0.2637139570641845
44000	-25264.778540521278	-24705.88202674939	-558.8965137718892	-24705.88202674939	-539.0246947415304	30.02947962982157	0	1	1	0	1	0	3.645047	3.645047	3.645047	0.0	0.094497	0.423256	0.0	0.075154	0.0	3	2.0952779994832822E-4	1.9584835161722753	0.2861391256288582	0.22035395808315628	0.2309909805751334	0.26251593571285214
46000	-25209.259314302537	-24659.346552621908	-549.9127616806297	-24659.346552621908	-529.9385815251497	30.02190728234943	0	1	1	0	1	0	2.922683	2.922683	2.922683	0.0	0.188047	0.581009	0.0	0.072734	0.0	3	1.9808016477632635E-4	1.9584835161722753	0.2861391256288582	0.22035395808315628	0.2309909805751334	0.26251593571285214
48000	-25190.934099021604	-24653.57525948402	-537.3588395375847	-24653.57525948402	-520.5367697879788	30.022155146185003	0	1	1	0	0	1	3.240978	3.240978	3.240978	0.0	0.086839	0.587807	0.0	0.0	0.023144	3	2.075732397145277E-4	1.9584835161722753	0.2861391256288582	0.22035395808315628	0.2309909805751334	0.26251593571285214
50000	-25166.535348895577	-24626.66680893582	-539.8685399597576	-24626.66680893582	-520.5818016287523	30.240333104238704	1	1	1	1	0	1	3.427571	3.427571	3.427571	0.041137	0.075998	0.515095	0.137508	0.0	0.031152	5	2.1705953808556495E-4	1.9584835161722753	0.2861391256288582	0.22035395808315628	0.2309909805751334	0.26251593571285214
52000	-25079.863074966812	-24546.231052490137	-533.6320224766752	-24546.231052490137	-517.1589679503684	30.23003888930721	0	1	1	1	0	1	3.067133	3.067133	3.067133	0.0	0.083400	0.478793	0.012533	0.0	0.035114	4	2.2612030569519112E-4	1.9584835161722753	0.2861391256288582	0.22035395808315628	0.23295521335218053	0.260551702935805
54000	-25048.403014592623	-24519.254223014883	-529.1487915777391	-24519.254223014883	-508.70762625074923	29.23288047057609	1	1	1	1	0	1	2.681419	2.681419	2.681419	0.052366	0.114986	0.879855	0.061466	0.0	0.102783	5	2.073032907334318E-4	1.9584835161722753	0.2861391256288582	0.22035395808315628	0.23295521335218053	0.260551702935805
56000	-24990.600728709738	-24468.6803700341	-521.9203586756372	-24468.6803700341	-505.0078153241846	29.617975972852634	0	1	1	0	1	0	2.730490	2.730490	2.730490	0.0	0.166324	0.564538	0.0	0.099976	0.0	3	2.2170112160881976E-4	1.9584835161722753	0.2861391256288582	0.22035395808315628	0.23295521335218053	0.260551702935805
58000	-24978.153300091508	-24450.305256258835	-527.8480438326728	-24450.305256258835	-507.48911283305654	30.54386241264266	1	1	1	1	1	0	2.470453	2.470453	2.470453	0.188891	0.046740	0.745115	0.084240	0.098348	0.0	5	2.2261317942094257E-4	1.9584835161722753	0.2861391256288582	0.22035395808315628	0.23295521335218053	0.260551702935805
60000	-24932.096515263078	-24414.694514715826	-517.4020005472509	-24414.694514715826	-496.6422546619125	31.43672422700322	0	1	1	0	0	1	2.390872	2.390872	2.390872	0.0	0.075578	0.468384	0.0	0.0	0.067001	3	2.1010595738875487E-4	1.9584835161722753	0.28160461601835907	0.22035395808315628	0.23295521335218053	0.2650862125463041
62000	-24849.477824101956	-24327.310392313197	-522.1674317887597	-24327.310392313197	-504.04630078086893	29.712052312576755	0	1	1	1	0	1	2.300655	2.300655	2.300655	0.0	0.035775	0.447915	0.141260	0.0	0.106621	4	1.9989800140852884E-4	1.8561512871662502	0.2850866549047578	0.22035395808315628	0.23295521335218053	0.26160417365990535
64000	-24838.080861806382	-24316.036459092684	-522.044402713697	-24316.036459092684	-502.9856283968067	30.58222732341339	0	1	1	0	0	1	2.639648	2.639648	2.639648	0.0	0.097414	0.337471	0.0	0.0	0.108147	3	2.1053645605402296E-4	1.8561512871662502	0.2850866549047578	0.22035395808315628	0.23295521335218053	0.26160417365990535
66000	-24775.334091753466	-24257.16016838155	-518.173923371918	-24257.16016838155	-497.6375747696193	30.582224204232237	0	1	1	0	0	1	3.165187	3.165187	3.165187	0.0	0.088524	0.497661	0.0	0.0	0.070428	3	2.0387813407803478E-4	1.8561512871662502	0.28459814640639713	0.22035395808315628	0.23295521335218053	0.26209268215826603
