traits	patch	samp.dates	short.names
1_36493_2019.035616	2	2019.035616	1_36493
0_19718_2019.046575	1	2019.046575	0_19718
0_19716_2019.008219	1	2019.008219	0_19716
1_36488_2019.046575	2	2019.046575	1_36488
1_36484_2019.010959	2	2019.010959	1_36484
0_19710_2019.041096	1	2019.041096	0_19710
1_36481_2019.194521	2	2019.194521	1_36481
0_19707_2019.049315	1	2019.049315	0_19707
0_19705_2019.068493	1	2019.068493	0_19705
1_36479_2019.046575	2	2019.046575	1_36479
1_36476_2019.024658	2	2019.024658	1_36476
0_19704_2019.024658	1	2019.024658	0_19704
1_36474_2019.041096	2	2019.041096	1_36474
1_36473_2019.024658	2	2019.024658	1_36473
0_19701_2019.120548	1	2019.120548	0_19701
0_19700_2019.00274	1	2019.00274	0_19700
1_36470_2019.00274	2	2019.00274	1_36470
1_36469_2019.030137	2	2019.030137	1_36469
1_36468_2018.989041	2	2018.989041	1_36468
1_36467_2019.073973	2	2019.073973	1_36467
1_36466_2019.016438	2	2019.016438	1_36466
1_36465_2019.035616	2	2019.035616	1_36465
1_36461_2019.049315	2	2019.049315	1_36461
1_36460_2019.021918	2	2019.021918	1_36460
1_36459_2019.027397	2	2019.027397	1_36459
0_19697_2019.093151	1	2019.093151	0_19697
0_19695_2019.024658	1	2019.024658	0_19695
0_19694_2019.016438	1	2019.016438	0_19694
1_36454_2019	2	2019	1_36454
1_36447_2019.057534	2	2019.057534	1_36447
1_36445_2019.032877	2	2019.032877	1_36445
0_19684_2019.019178	1	2019.019178	0_19684
0_19683_2018.978082	1	2018.978082	0_19683
1_36444_2019.093151	2	2019.093151	1_36444
0_19681_2019.079452	1	2019.079452	0_19681
1_36442_2019.024658	2	2019.024658	1_36442
0_19678_2018.994521	1	2018.994521	0_19678
0_19677_2019.027397	1	2019.027397	0_19677
1_36440_2018.991781	2	2018.991781	1_36440
1_36435_2019.084932	2	2019.084932	1_36435
1_36433_2018.986301	2	2018.986301	1_36433
1_36432_2018.991781	2	2018.991781	1_36432
1_36429_2019.010959	2	2019.010959	1_36429
0_19673_2019.046575	1	2019.046575	0_19673
1_36427_2019.016438	2	2019.016438	1_36427
0_19669_2019.024658	1	2019.024658	0_19669
0_19666_2019.010959	1	2019.010959	0_19666
1_36424_2019.00274	2	2019.00274	1_36424
1_36421_2019.057534	2	2019.057534	1_36421
1_36420_2019.027397	2	2019.027397	1_36420
0_19665_2019.010959	1	2019.010959	0_19665
0_19663_2018.980822	1	2018.980822	0_19663
1_36417_2019.019178	2	2019.019178	1_36417
1_36415_2018.980822	2	2018.980822	1_36415
0_19661_2018.994521	1	2018.994521	0_19661
1_36410_2019.093151	2	2019.093151	1_36410
1_36409_2019.063014	2	2019.063014	1_36409
0_19659_2018.989041	1	2018.989041	0_19659
0_19656_2018.947945	1	2018.947945	0_19656
1_36408_2018.967123	2	2018.967123	1_36408
1_36407_2018.989041	2	2018.989041	1_36407
0_19651_2019.021918	1	2019.021918	0_19651
0_19644_2019.010959	1	2019.010959	0_19644
0_19643_2019.021918	1	2019.021918	0_19643
1_36404_2018.947945	2	2018.947945	1_36404
0_19639_2019.076712	1	2019.076712	0_19639
0_19638_2018.942466	1	2018.942466	0_19638
0_19636_2019.013699	1	2019.013699	0_19636
0_19635_2018.958904	1	2018.958904	0_19635
0_19633_2019.071233	1	2019.071233	0_19633
0_19631_2018.945205	1	2018.945205	0_19631
0_19629_2018.953425	1	2018.953425	0_19629
1_36398_2019.019178	2	2019.019178	1_36398
0_19626_2018.947945	1	2018.947945	0_19626
0_19625_2018.967123	1	2018.967123	0_19625
0_19619_2018.928767	1	2018.928767	0_19619
1_36392_2018.983562	2	2018.983562	1_36392
1_36391_2018.945205	2	2018.945205	1_36391
1_36390_2018.986301	2	2018.986301	1_36390
0_19615_2018.99726	1	2018.99726	0_19615
0_19611_2019.032877	1	2019.032877	0_19611
1_36389_2018.969863	2	2018.969863	1_36389
1_36388_2018.980822	2	2018.980822	1_36388
1_36386_2019.019178	2	2019.019178	1_36386
0_19610_2018.961644	1	2018.961644	0_19610
