"uniform_150"	"stratified_150"	"maxPerRegion_150"	"maxPerRegionYear_150"	"uniform_500"	"stratified_500"	"maxPerRegion_500"	"maxPerRegionYear_500"	"patch"	"year"
0	0	1	3	0	0	8	9	1	1990
0	0	0	2	0	2	0	5	2	1990
0	0	0	0	0	0	0	0	3	1990
0	0	2	4	0	0	8	5	1	1991
0	1	0	1	0	1	0	5	2	1991
0	0	0	0	0	0	0	0	3	1991
0	0	0	2	0	0	2	7	1	1992
0	0	0	0	0	0	0	0	2	1992
0	0	0	2	0	0	0	2	3	1992
0	0	0	1	0	0	3	7	1	1993
0	0	0	0	0	0	0	0	2	1993
0	0	0	1	0	0	0	4	3	1993
0	0	0	0	0	0	0	0	1	1994
0	0	0	0	0	0	0	0	2	1994
0	0	1	2	0	0	1	2	3	1994
0	0	0	0	0	0	0	0	1	1995
0	0	0	0	0	0	0	0	2	1995
0	0	0	2	0	0	1	10	3	1995
0	0	0	0	0	0	0	0	1	1996
0	0	0	1	0	0	0	1	2	1996
0	0	0	3	0	1	4	12	3	1996
0	0	0	0	0	0	0	0	1	1997
0	0	0	2	0	0	3	9	2	1997
0	0	0	2	0	0	4	6	3	1997
0	0	0	0	0	0	0	0	1	1998
0	1	0	1	0	3	0	10	2	1998
0	0	3	1	0	1	6	8	3	1998
0	0	0	0	0	0	0	0	1	1999
0	5	1	2	0	11	2	6	2	1999
0	0	4	2	0	0	11	8	3	1999
0	0	0	1	0	0	0	1	1	2000
0	0	5	2	0	13	4	7	2	2000
0	0	4	2	0	0	11	6	3	2000
0	0	0	0	0	0	0	0	1	2001
0	2	5	4	0	21	8	9	2	2001
0	0	3	3	0	0	15	9	3	2001
0	0	2	3	0	0	5	6	1	2002
0	10	2	2	0	25	4	6	2	2002
0	0	2	1	0	1	8	13	3	2002
0	0	1	1	0	0	3	9	1	2003
0	9	2	4	0	33	4	8	2	2003
0	0	4	2	0	1	16	10	3	2003
0	0	0	1	0	0	1	1	1	2004
0	5	1	3	0	21	5	7	2	2004
0	0	3	2	0	0	5	10	3	2004
0	0	0	1	0	0	1	4	1	2005
0	7	3	1	0	22	8	8	2	2005
0	0	1	2	0	1	13	6	3	2005
0	0	1	1	0	0	0	4	1	2006
0	2	2	1	0	13	13	8	2	2006
0	0	6	2	0	0	7	6	3	2006
0	0	1	3	0	0	1	3	1	2007
0	9	5	3	0	25	12	8	2	2007
0	0	5	1	0	1	11	5	3	2007
0	0	1	2	0	0	2	6	1	2008
0	13	1	1	0	35	11	7	2	2008
0	2	1	3	0	3	13	9	3	2008
0	0	1	3	0	0	3	9	1	2009
0	16	5	3	0	44	20	6	2	2009
0	0	5	1	0	0	12	7	3	2009
0	0	3	2	0	0	19	7	1	2010
0	14	5	2	0	51	21	9	2	2010
0	0	4	2	0	1	9	6	3	2010
0	0	11	1	0	0	16	8	1	2011
0	9	5	3	0	37	9	7	2	2011
0	1	2	4	0	1	5	10	3	2011
0	0	2	3	0	0	16	7	1	2012
0	15	2	3	0	37	18	7	2	2012
0	0	0	2	0	0	7	7	3	2012
0	0	4	1	0	0	8	6	1	2013
0	4	2	3	0	19	6	7	2	2013
0	0	1	1	0	1	6	7	3	2013
0	0	6	2	0	0	21	7	1	2014
0	3	0	2	0	12	4	9	2	2014
0	0	0	2	0	0	0	4	3	2014
0	0	5	2	0	0	10	9	1	2015
0	6	1	1	0	16	3	8	2	2015
0	0	0	0	0	0	0	0	3	2015
0	1	2	1	0	0	10	6	1	2016
0	3	1	1	0	7	3	12	2	2016
0	0	0	0	0	0	0	0	3	2016
0	0	2	3	0	0	12	7	1	2017
0	7	2	4	0	13	4	5	2	2017
0	0	0	1	0	0	0	1	3	2017
0	0	5	3	0	0	18	11	1	2018
0	5	0	2	0	26	4	7	2	2018
0	0	1	1	0	0	1	4	3	2018
0	0	0	2	0	0	1	2	1	2019
0	0	0	3	0	1	0	6	2	2019
0	0	0	0	0	0	0	0	3	2019
