traits	regions
1_21237_2009.882192	Region2
2_28216_2011.783562	Region3
1_14117_2007.679452	Region2
1_11188_2005.879452	Region2
2_12992_2004.532787	Region3
0_12796_2014.594521	Region1
0_10612_2013.649315	Region1
2_15620_2005.794521	Region3
0_11921_2014.257534	Region1
0_3076_2008.057377	Region1
2_27409_2011.221918	Region3
2_31068_2018.153425	Region3
0_3705_2009.375342	Region1
1_36342_2019.008219	Region2
2_15779_2005.871233	Region3
2_25192_2010.145205	Region3
0_8604_2012.352459	Region1
1_16574_2008.737705	Region2
0_16512_2017.493151	Region1
1_28672_2012.42623	Region2
2_30080_2013.460274	Region3
1_6131_2003.082192	Region2
1_21035_2009.953425	Region2
2_15499_2005.789041	Region3
2_28146_2011.764384	Region3
0_11739_2014.142466	Region1
1_22324_2010.161644	Region2
1_21153_2009.860274	Region2
2_21874_2008.672131	Region3
0_13397_2014.936986	Region1
2_6166_2001.312329	Region3
2_13685_2004.923497	Region3
1_12338_2006.709589	Region2
0_14697_2015.657534	Region1
1_3794_2001.706849	Region2
0_10084_2013.158904	Region1
2_20294_2008.087432	Region3
1_30383_2013.424658	Region2
0_19450_2018.871233	Region1
0_10150_2013.230137	Region1
0_6091_2011.2	Region1
0_14946_2015.879452	Region1
0_291_1990.427397	Region1
2_13658_2004.855191	Region3
2_6934_2001.753425	Region3
0_583_1991.257534	Region1
1_16931_2008.789617	Region2
1_9276_2004.811475	Region2
2_16340_2006.10137	Region3
2_28149_2011.841096	Region3
1_470_1998.865753	Region2
2_11917_2003.931507	Region3
1_28335_2012.311475	Region2
2_8881_2002.657534	Region3
1_33324_2016.027322	Region2
1_28393_2012.284153	Region2
2_11918_2003.857534	Region3
2_7496_2002.063014	Region3
2_11804_2003.819178	Region3
1_33646_2016.396175	Region2
1_5292_2002.789041	Region2
0_11294_2013.912329	Region1
2_7019_2001.80274	Region3
1_12731_2007.079452	Region2
1_5199_2002.589041	Region2
1_19307_2009.449315	Region2
2_6646_2001.575342	Region3
0_2941_2006.942466	Region1
2_2861_1999.369863	Region3
1_35076_2018.035616	Region2
1_16657_2008.729508	Region2
2_13037_2004.704918	Region3
1_21826_2010.142466	Region2
1_11708_2006.194521	Region2
2_24819_2009.882192	Region3
2_10191_2003.139726	Region3
1_10465_2005.452055	Region2
2_18938_2007.50411	Region3
1_11710_2006.147945	Region2
2_22775_2009.136986	Region3
2_14164_2005.10411	Region3
2_2874_1999.276712	Region3
2_21309_2008.461749	Region3
2_25338_2010.10411	Region3
2_10581_2003.276712	Region3
1_25344_2011.156164	Region2
1_15695_2008.379781	Region2
1_9003_2004.655738	Region2
1_32311_2015.158904	Region2
2_16083_2006.010959	Region3
1_19879_2009.60274	Region2
2_27311_2011.164384	Region3
0_8796_2012.467213	Region1
2_8226_2002.356164	Region3
1_13661_2007.416438	Region2
1_20168_2009.682192	Region2
1_4761_2002.284932	Region2
1_14266_2007.764384	Region2
2_20777_2008.270492	Region3
2_4686_2000.398907	Region3
2_7117_2001.909589	Region3
1_26367_2011.49589	Region2
0_1857_2001.627397	Region1
0_7892_2011.956164	Region1
1_14941_2008.035519	Region2
1_34181_2017.019178	Region2
2_5638_2000.967213	Region3
1_16901_2008.84153	Region2
1_14889_2007.989041	Region2
1_4083_2001.824658	Region2
1_9877_2005.115068	Region2
1_10091_2005.19726	Region2
2_289_1994.857534	Region3
1_6136_2003.167123	Region2
2_355_1995.306849	Region3
0_5653_2010.920548	Region1
0_2607_2005.767123	Region1
0_9377_2012.748634	Region1
2_21379_2008.538251	Region3
2_11139_2003.59726	Region3
1_17587_2009.030137	Region2
1_1586_2000.31694	Region2
2_17015_2006.334247	Region3
1_5139_2002.50137	Region2
1_10537_2005.468493	Region2
1_21708_2009.980822	Region2
2_11277_2003.531507	Region3
1_18912_2009.40274	Region2
2_14876_2005.59726	Region3
1_6067_2003.073973	Region2
0_18658_2018.517808	Region1
0_11331_2013.893151	Region1
2_24004_2009.583562	Region3
2_434_1995.654795	Region3
1_12855_2006.975342	Region2
1_25782_2011.317808	Region2
0_4052_2009.671233	Region1
1_24257_2010.860274	Region2
2_13232_2004.622951	Region3
2_2626_1998.980822	Region3
1_7952_2003.945205	Region2
2_29352_2012.672131	Region3
1_34410_2017.312329	Region2
2_13280_2004.628415	Region3
1_31853_2014.649315	Region2
1_18918_2009.389041	Region2
0_14801_2015.742466	Region1
1_13727_2007.59726	Region2
2_7169_2001.915068	Region3
0_12003_2014.386301	Region1
