regions	mean	X2_5_hpd	X97_5_hpd	X1	X2_5	X5	X10	X15	X20	X25	X30	X35	X40	X45	X50	X55	X60	X65	X70	X75	X80	X85	X90	X95	X97_5	X99	model	nSim	nSeq	protocol
Region1	2006.7142576976025	2002.6854705879277	2009.1886579375562	1991.8713781044548	1999.6148247137953	2002.708734831215	2003.895196998912	2004.5038770369981	2005.0504231588814	2006.3554308421626	2007.0320398877843	2007.307869156965	2007.476583353201	2007.6070454823257	2007.7242737401991	2007.8290222086646	2007.9293415170455	2008.030812990756	2008.1332245917763	2008.2245448778567	2008.3268062852321	2008.4465643508618	2008.5631562837464	2008.7301151168165	2008.8706303738236	2009.0091604886707	mascot	1	150	uniformS_10
Region2	2002.1046102712896	1990.8545612963726	2007.1590322676775	1990.5214894328055	1991.0086598916866	1991.4088778467521	1992.2193723136468	1999.976530938857	2000.4153416197344	2000.7966560320613	2001.116837679844	2001.5401204290824	2001.9910052116677	2002.5568244263295	2003.0736810817039	2003.5662914013903	2004.1422622757766	2004.5548455402743	2004.8422393103128	2005.0663278339898	2005.2781416740256	2005.5211115304853	2005.7904412684675	2006.556300541275	2007.4264768498713	2008.0849643288893	mascot	1	150	uniformS_10
Region3	2002.410620364914	1996.3098148500046	2008.7464068490813	1990.9391987657414	1991.530027901982	1996.5718405666157	2000.7159716732856	2001.3342076647032	2001.6633016596988	2001.9144793409641	2002.1057047441673	2002.2776882714343	2002.4400504448304	2002.573456421684	2002.7258581842734	2002.8779095263833	2003.0264168471474	2003.2103164447649	2003.440645756061	2003.7251650776907	2004.0795170298136	2004.5557464335716	2005.1011354922055	2005.9693781507426	2007.1452088353715	2008.170991223347	mascot	1	150	uniformS_10
Region4	2002.3812012794274	1990.746487481401	2007.583325557751	1990.9545096500126	1991.4533363989533	1991.8400310207055	1994.5478406642258	2000.317212389693	2001.09496858753	2001.481164991388	2001.8229544238143	2002.199503831982	2002.7141857831714	2003.0850249419868	2003.382720931821	2003.6370189160377	2003.860322242002	2004.0584729124266	2004.3377474098113	2004.7057617888663	2005.1521541956674	2005.696268520847	2006.3094238773517	2007.3245904531984	2008.4339970587337	2008.9020784814597	mascot	1	150	uniformS_10
Region5	1999.3671648324453	1990.1410415243731	2007.9264180209716	1990.1121446955153	1990.3783862130972	1990.6641300357658	1990.984323381988	1991.2418876043603	1991.457507624261	1991.6816025569797	1991.9174658989828	1992.4922278964964	2000.9090250963038	2001.5193351345936	2001.9822201444595	2002.4734564603377	2003.088039191359	2003.5267698298262	2003.8920083328792	2004.3282232582287	2004.9213262112148	2005.4464633928492	2006.1691071712094	2007.6074595967707	2008.4489354654618	2008.8417275546103	mascot	1	150	uniformS_10
Region6	1999.051889761955	1990.179699067148	2008.1224652330739	1989.9923276557781	1990.3226102917793	1990.6618056225852	1991.011420005958	1991.226025298163	1991.412973334529	1991.5883563703755	1991.7676044795846	1991.9698920729782	1992.3714609341362	2001.1290891535598	2001.9927876859433	2002.517200209265	2002.9380012006166	2003.5646195080278	2004.2885649798704	2004.9376874053596	2005.6462945047995	2006.3581731744441	2006.9140214634308	2007.78258531959	2008.4081590626938	2008.9095883323062	mascot	1	150	uniformS_10
Region7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mascot	1	150	uniformS_10
Region1	2005.0582454474902	1988.8695716345558	2009.2709542735065	1988.4265046109192	1988.7642420216994	1989.0350202514996	1989.3814402233202	1989.775868709571	2006.9710228110566	2007.4879285263162	2007.7603939643864	2007.9225810250362	2008.0389826553874	2008.1548483443505	2008.2498432694124	2008.3461871238019	2008.4275908819614	2008.5074786488217	2008.582527302554	2008.6727717994659	2008.7494169102854	2008.8514785644538	2008.9621606961682	2009.0971931537342	2009.2142887070665	2009.365729746349	mascot	1	150	maxPerRegionYear_20
Region2	1996.618758267956	1987.9761336548895	2008.717406973447	1987.8442838402011	1988.1088830382796	1988.3349563469321	1988.5517787548984	1988.7164073701101	1988.8685388081813	1988.9977255814051	1989.1036176339944	1989.2339951303738	1989.352409205539	1989.4890315464074	1989.6918651532787	1997.7270001113527	2001.9536252133526	2002.5471008415107	2003.7889989742469	2005.6882383703592	2006.9681481356183	2007.5270850117001	2007.9879657884103	2008.5432936237842	2008.8868972477214	2009.1456888443936	mascot	1	150	maxPerRegionYear_20
Region3	2001.4238044103943	1997.747421237441	2004.034530196003	1993.6697746292896	1997.8034845068255	1998.827198739412	2000.3916746682698	2000.8161104299245	2000.9901208497074	2001.1327694874124	2001.2505563616644	2001.3628144259699	2001.4536075378742	2001.5512132050721	2001.6187126569725	2001.7040410604363	2001.7719726209061	2001.8537961709333	2001.935894849677	2002.0405991523323	2002.1565672289137	2002.3097417074584	2002.5374603944572	2003.1150598003512	2004.0946872919515	2005.6245561756734	mascot	1	150	maxPerRegionYear_20
Region4	2001.9084977261898	1993.439356536638	2005.834120952456	1988.6456846972058	1992.6082110924194	1994.0616669841395	2000.5009132038429	2000.8537319605948	2001.064074003439	2001.2609811496714	2001.4473826125065	2001.6061963742986	2001.756887573832	2001.9617833062587	2002.281368012079	2002.5981114532344	2002.9053327092693	2003.1646923382036	2003.4324120136207	2003.7297899095015	2003.966286477513	2004.1934053751559	2004.4890668243693	2004.8864998679073	2005.3758386611955	2006.6359139828928	mascot	1	150	maxPerRegionYear_20
Region5	1998.224368085438	1994.6146510552417	2003.5327744462925	1993.3419012116365	1994.8022312760245	1995.1895841589867	1995.6617271625857	1996.0361307573542	1996.7421217959923	1997.2318112582905	1997.414296146084	1997.5717325238543	1997.7046929869439	1997.8303570024946	1997.934109268725	1998.040697561888	1998.143796932635	1998.2632426214052	1998.4271684809955	1998.6771346768792	1999.4603749090627	2000.5845472132776	2001.579105263365	2003.108720506747	2003.8289994248803	2004.5323516517951	mascot	1	150	maxPerRegionYear_20
Region6	1998.952974705734	1988.0257586264058	2008.3825950577693	1987.8590791544334	1988.23994052265	1988.4947106328304	1988.7918866072675	1989.029202869478	1989.2555873771973	1989.5827140462588	1997.8457742878015	1999.1259406564193	1999.6182269175772	2000.079292221687	2000.6404998234145	2001.329678180582	2002.029620837726	2002.7516079540985	2003.2290251661807	2003.6733814948143	2004.372823469481	2005.6638374737565	2006.5454370561554	2008.090166866814	2008.683839521158	2009.0739704936589	mascot	1	150	maxPerRegionYear_20
Region7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mascot	1	150	maxPerRegionYear_20
Region1	1989.9835284116737	1987.5191480623578	2004.5444449644028	1987.8068538846237	1988.0396812212784	1988.2452732902893	1988.4798908567138	1988.6425341944764	1988.753588294886	1988.8400152540507	1988.9285143385407	1988.99865303464	1989.0678180116047	1989.1315577332475	1989.1920074596064	1989.2579284197604	1989.3178835802767	1989.3759971480927	1989.4448205390477	1989.5099639926007	1989.592523947714	1989.690764881314	1989.854245905506	2004.4411960205332	2005.8036908459371	2006.6156560553277	mascot	1	150	uniform
Region2	2000.5352272666714	1998.5111339009236	2004.6429035574795	1988.7391548165351	1996.8885544810767	1998.8006161523547	1999.417413196389	1999.7202130277701	1999.9156587867237	2000.0939908636583	2000.2404542153122	2000.3705891751456	2000.5077762127653	2000.6424784505596	2000.7640495875662	2000.879969685248	2001.0254768208076	2001.136924637817	2001.2599315152324	2001.4208204674587	2001.5677225449153	2001.7575903570844	2001.9778309256599	2002.3934631641898	2003.1871673733156	2004.6945290047097	mascot	1	150	uniform
Region3	1998.59441544687	1994.5216586635172	2000.5881876269775	1994.1769227013972	1994.6170607643423	1994.9763771131645	1997.24525939758	1997.8896127404664	1998.1167823952467	1998.3034567178217	1998.430685854462	1998.5599485291195	1998.665471928546	1998.7604686830932	1998.8570117261472	1998.946327455942	1999.0328268228925	1999.1307359266555	1999.2221907741543	1999.3273302367866	1999.4357056674276	1999.582621247486	1999.8010671867592	2000.1708582682515	2000.731045725749	2001.150503439906	mascot	1	150	uniform
Region4	1999.929067836753	1997.1552146939403	2002.780758140434	1991.2731629160296	1996.0046554340768	1997.5799061646474	1998.40300651915	1998.7347524981908	1999.0222506654366	1999.2674321448976	1999.5027018703163	1999.7324755061845	1999.915620396415	2000.0714906382118	2000.1917850332045	2000.3152656720563	2000.4484368022192	2000.5678557443534	2000.684159018248	2000.825574152793	2001.0301369479228	2001.3132506821933	2001.6340264154505	2002.0415165203044	2002.4573335706302	2003.8827864706345	mascot	1	150	uniform
Region5	1996.6464661583295	1992.7166126284408	2002.4718224910798	1988.8378806613491	1991.996988143323	1993.1057506447976	1993.5320389809542	1993.7718409580486	1993.9642009262138	1994.120475656062	1994.2890213397202	1994.4723147295185	1994.6989258904882	1995.0082621922857	1995.3527980327235	1995.746420179221	1996.1944190260842	1997.9015937381655	1999.4332273695352	2000.1731468980875	2000.664336101456	2000.9962280544562	2001.403884879786	2001.8550525961643	2002.2917159680917	2002.975330197478	mascot	1	150	uniform
Region6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mascot	1	150	uniform
Region7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mascot	1	150	uniform
Region1	2006.060918414604	2003.6711058026601	2008.763752990883	1990.192562046441	1990.9603739093134	2004.0001096054564	2004.8643940269476	2005.199673219488	2005.4944202579668	2005.7544188002114	2006.0060925003902	2006.2850507362832	2006.4775153316195	2006.6661966737306	2006.8259519737164	2006.9488653375447	2007.0850340255483	2007.2240540129776	2007.359693886911	2007.476352038769	2007.573291017477	2007.693330103717	2007.8670077232453	2008.1400537845384	2008.3651781640501	2008.5643896087292	mascot	1	150	biased_10
Region2	2002.7789550799669	1996.6294175418564	2006.920089792565	1990.7338195876773	1996.361665819411	1997.6578882651988	2000.9634469302287	2001.5027770460406	2001.8825966047436	2002.2005795207388	2002.4458450404165	2002.6766259722922	2002.8431471808804	2002.9711373403331	2003.1307618912313	2003.2746978549462	2003.4347074619152	2003.5644310794194	2003.6929383076395	2003.8267936457842	2004.0313649194975	2004.2950525483234	2004.8218554653586	2006.010599446949	2006.7761324370151	2008.2115249211615	mascot	1	150	biased_10
Region3	1999.3897102724086	1989.20896694221	2007.4370433428262	1989.0395251651541	1989.4644199555669	1989.8510656924873	1990.1621473527102	1990.4676338344198	1990.7802551046186	1990.989295346213	1991.2795209945414	1997.5570317736533	2001.4080344791307	2002.0657903084464	2002.5218072428015	2002.823197127364	2003.1879014462172	2003.7304915095513	2004.1728636298994	2004.7380430308767	2005.3529270338975	2005.8634869976065	2006.390825408586	2007.0635936864846	2008.622629728578	2009.275471886295	mascot	1	150	biased_10
Region4	1995.0965137087087	1989.2478682206865	2007.6349237584664	1989.1262048752549	1989.3659545168732	1989.6280733873796	1989.9225816138182	1990.1361492316632	1990.3102367373529	1990.4554373505493	1990.5932848683897	1990.7375644086378	1990.8572143853896	1990.9939030590697	1991.134140087468	1991.4483270015264	1991.9942289290793	1995.3110311960256	1995.9208580112775	2002.1897367766912	2003.9641153451746	2004.879351409755	2006.111131405668	2007.3225603988578	2007.9144320490736	2008.8623051413624	mascot	1	150	biased_10
Region5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mascot	1	150	biased_10
Region6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mascot	1	150	biased_10
Region7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mascot	1	150	biased_10
