source	destination	value	model	nSim	nSeq	protocol
Region1	Region1	52.0	simulation	1	150	maxPerRegion_2.5
Region2	Region1	3.0	simulation	1	150	maxPerRegion_2.5
Region3	Region1	0.0	simulation	1	150	maxPerRegion_2.5
Region4	Region1	0.0	simulation	1	150	maxPerRegion_2.5
Region5	Region1	0.0	simulation	1	150	maxPerRegion_2.5
Region6	Region1	0.0	simulation	1	150	maxPerRegion_2.5
Region7	Region1	0.0	simulation	1	150	maxPerRegion_2.5
Region1	Region2	7.0	simulation	1	150	maxPerRegion_2.5
Region2	Region2	57.0	simulation	1	150	maxPerRegion_2.5
Region3	Region2	1.0	simulation	1	150	maxPerRegion_2.5
Region4	Region2	3.0	simulation	1	150	maxPerRegion_2.5
Region5	Region2	1.0	simulation	1	150	maxPerRegion_2.5
Region6	Region2	0.0	simulation	1	150	maxPerRegion_2.5
Region7	Region2	0.0	simulation	1	150	maxPerRegion_2.5
Region1	Region3	0.0	simulation	1	150	maxPerRegion_2.5
Region2	Region3	9.0	simulation	1	150	maxPerRegion_2.5
Region3	Region3	27.0	simulation	1	150	maxPerRegion_2.5
Region4	Region3	3.0	simulation	1	150	maxPerRegion_2.5
Region5	Region3	1.0	simulation	1	150	maxPerRegion_2.5
Region6	Region3	0.0	simulation	1	150	maxPerRegion_2.5
Region7	Region3	0.0	simulation	1	150	maxPerRegion_2.5
Region1	Region4	0.0	simulation	1	150	maxPerRegion_2.5
Region2	Region4	5.0	simulation	1	150	maxPerRegion_2.5
Region3	Region4	2.0	simulation	1	150	maxPerRegion_2.5
Region4	Region4	72.0	simulation	1	150	maxPerRegion_2.5
Region5	Region4	0.0	simulation	1	150	maxPerRegion_2.5
Region6	Region4	0.0	simulation	1	150	maxPerRegion_2.5
Region7	Region4	0.0	simulation	1	150	maxPerRegion_2.5
Region1	Region5	1.0	simulation	1	150	maxPerRegion_2.5
Region2	Region5	1.0	simulation	1	150	maxPerRegion_2.5
Region3	Region5	0.0	simulation	1	150	maxPerRegion_2.5
Region4	Region5	8.0	simulation	1	150	maxPerRegion_2.5
Region5	Region5	34.0	simulation	1	150	maxPerRegion_2.5
Region6	Region5	0.0	simulation	1	150	maxPerRegion_2.5
Region7	Region5	0.0	simulation	1	150	maxPerRegion_2.5
Region1	Region6	0.0	simulation	1	150	maxPerRegion_2.5
Region2	Region6	1.0	simulation	1	150	maxPerRegion_2.5
Region3	Region6	0.0	simulation	1	150	maxPerRegion_2.5
Region4	Region6	0.0	simulation	1	150	maxPerRegion_2.5
Region5	Region6	0.0	simulation	1	150	maxPerRegion_2.5
Region6	Region6	6.0	simulation	1	150	maxPerRegion_2.5
Region7	Region6	0.0	simulation	1	150	maxPerRegion_2.5
Region1	Region7	1.0	simulation	1	150	maxPerRegion_2.5
Region2	Region7	0.0	simulation	1	150	maxPerRegion_2.5
Region3	Region7	0.0	simulation	1	150	maxPerRegion_2.5
Region4	Region7	0.0	simulation	1	150	maxPerRegion_2.5
Region5	Region7	0.0	simulation	1	150	maxPerRegion_2.5
Region6	Region7	0.0	simulation	1	150	maxPerRegion_2.5
Region7	Region7	0.0	simulation	1	150	maxPerRegion_2.5
Region1	Region1	73.0	simulation	1	150	maxPerRegionYear_5
Region2	Region1	3.0	simulation	1	150	maxPerRegionYear_5
Region3	Region1	0.0	simulation	1	150	maxPerRegionYear_5
Region4	Region1	0.0	simulation	1	150	maxPerRegionYear_5
Region5	Region1	0.0	simulation	1	150	maxPerRegionYear_5
Region6	Region1	0.0	simulation	1	150	maxPerRegionYear_5
Region7	Region1	0.0	simulation	1	150	maxPerRegionYear_5
Region1	Region2	6.0	simulation	1	150	maxPerRegionYear_5
Region2	Region2	57.0	simulation	1	150	maxPerRegionYear_5
Region3	Region2	3.0	simulation	1	150	maxPerRegionYear_5
Region4	Region2	2.0	simulation	1	150	maxPerRegionYear_5
Region5	Region2	1.0	simulation	1	150	maxPerRegionYear_5
Region6	Region2	0.0	simulation	1	150	maxPerRegionYear_5
Region7	Region2	0.0	simulation	1	150	maxPerRegionYear_5
Region1	Region3	1.0	simulation	1	150	maxPerRegionYear_5
Region2	Region3	8.0	simulation	1	150	maxPerRegionYear_5
Region3	Region3	41.0	simulation	1	150	maxPerRegionYear_5
Region4	Region3	3.0	simulation	1	150	maxPerRegionYear_5
Region5	Region3	1.0	simulation	1	150	maxPerRegionYear_5
Region6	Region3	0.0	simulation	1	150	maxPerRegionYear_5
Region7	Region3	0.0	simulation	1	150	maxPerRegionYear_5
Region1	Region4	0.0	simulation	1	150	maxPerRegionYear_5
Region2	Region4	3.0	simulation	1	150	maxPerRegionYear_5
Region3	Region4	3.0	simulation	1	150	maxPerRegionYear_5
Region4	Region4	60.0	simulation	1	150	maxPerRegionYear_5
Region5	Region4	0.0	simulation	1	150	maxPerRegionYear_5
Region6	Region4	0.0	simulation	1	150	maxPerRegionYear_5
Region7	Region4	0.0	simulation	1	150	maxPerRegionYear_5
Region1	Region5	0.0	simulation	1	150	maxPerRegionYear_5
Region2	Region5	4.0	simulation	1	150	maxPerRegionYear_5
Region3	Region5	0.0	simulation	1	150	maxPerRegionYear_5
Region4	Region5	9.0	simulation	1	150	maxPerRegionYear_5
Region5	Region5	10.0	simulation	1	150	maxPerRegionYear_5
Region6	Region5	0.0	simulation	1	150	maxPerRegionYear_5
Region7	Region5	0.0	simulation	1	150	maxPerRegionYear_5
Region1	Region6	0.0	simulation	1	150	maxPerRegionYear_5
Region2	Region6	2.0	simulation	1	150	maxPerRegionYear_5
Region3	Region6	0.0	simulation	1	150	maxPerRegionYear_5
Region4	Region6	0.0	simulation	1	150	maxPerRegionYear_5
Region5	Region6	0.0	simulation	1	150	maxPerRegionYear_5
Region6	Region6	0.0	simulation	1	150	maxPerRegionYear_5
Region7	Region6	0.0	simulation	1	150	maxPerRegionYear_5
Region1	Region7	0.0	simulation	1	150	maxPerRegionYear_5
Region2	Region7	2.0	simulation	1	150	maxPerRegionYear_5
Region3	Region7	0.0	simulation	1	150	maxPerRegionYear_5
Region4	Region7	0.0	simulation	1	150	maxPerRegionYear_5
Region5	Region7	0.0	simulation	1	150	maxPerRegionYear_5
Region6	Region7	0.0	simulation	1	150	maxPerRegionYear_5
Region7	Region7	0.0	simulation	1	150	maxPerRegionYear_5
Region1	Region1	43.0	simulation	1	150	biased_5
Region2	Region1	2.0	simulation	1	150	biased_5
Region3	Region1	0.0	simulation	1	150	biased_5
Region4	Region1	0.0	simulation	1	150	biased_5
Region5	Region1	1.0	simulation	1	150	biased_5
Region6	Region1	0.0	simulation	1	150	biased_5
Region7	Region1	0.0	simulation	1	150	biased_5
Region1	Region2	4.0	simulation	1	150	biased_5
Region2	Region2	12.0	simulation	1	150	biased_5
Region3	Region2	0.0	simulation	1	150	biased_5
Region4	Region2	0.0	simulation	1	150	biased_5
Region5	Region2	0.0	simulation	1	150	biased_5
Region6	Region2	0.0	simulation	1	150	biased_5
Region7	Region2	0.0	simulation	1	150	biased_5
Region1	Region3	2.0	simulation	1	150	biased_5
Region2	Region3	6.0	simulation	1	150	biased_5
Region3	Region3	67.0	simulation	1	150	biased_5
Region4	Region3	7.0	simulation	1	150	biased_5
Region5	Region3	0.0	simulation	1	150	biased_5
Region6	Region3	0.0	simulation	1	150	biased_5
Region7	Region3	0.0	simulation	1	150	biased_5
Region1	Region4	1.0	simulation	1	150	biased_5
Region2	Region4	5.0	simulation	1	150	biased_5
Region3	Region4	4.0	simulation	1	150	biased_5
Region4	Region4	137.0	simulation	1	150	biased_5
Region5	Region4	0.0	simulation	1	150	biased_5
Region6	Region4	0.0	simulation	1	150	biased_5
Region7	Region4	0.0	simulation	1	150	biased_5
Region1	Region5	0.0	simulation	1	150	biased_5
Region2	Region5	0.0	simulation	1	150	biased_5
Region3	Region5	0.0	simulation	1	150	biased_5
Region4	Region5	1.0	simulation	1	150	biased_5
Region5	Region5	1.0	simulation	1	150	biased_5
Region6	Region5	0.0	simulation	1	150	biased_5
Region7	Region5	0.0	simulation	1	150	biased_5
Region1	Region6	0.0	simulation	1	150	biased_5
Region2	Region6	0.0	simulation	1	150	biased_5
Region3	Region6	0.0	simulation	1	150	biased_5
Region4	Region6	0.0	simulation	1	150	biased_5
Region5	Region6	0.0	simulation	1	150	biased_5
Region6	Region6	0.0	simulation	1	150	biased_5
Region7	Region6	0.0	simulation	1	150	biased_5
Region1	Region7	0.0	simulation	1	150	biased_5
Region2	Region7	0.0	simulation	1	150	biased_5
Region3	Region7	0.0	simulation	1	150	biased_5
Region4	Region7	0.0	simulation	1	150	biased_5
Region5	Region7	0.0	simulation	1	150	biased_5
Region6	Region7	0.0	simulation	1	150	biased_5
Region7	Region7	0.0	simulation	1	150	biased_5
Region1	Region1	96.0	simulation	1	150	uniform
Region2	Region1	2.0	simulation	1	150	uniform
Region3	Region1	0.0	simulation	1	150	uniform
Region4	Region1	0.0	simulation	1	150	uniform
Region5	Region1	0.0	simulation	1	150	uniform
Region6	Region1	0.0	simulation	1	150	uniform
Region7	Region1	0.0	simulation	1	150	uniform
Region1	Region2	4.0	simulation	1	150	uniform
Region2	Region2	44.0	simulation	1	150	uniform
Region3	Region2	0.0	simulation	1	150	uniform
Region4	Region2	2.0	simulation	1	150	uniform
Region5	Region2	0.0	simulation	1	150	uniform
Region6	Region2	0.0	simulation	1	150	uniform
Region7	Region2	0.0	simulation	1	150	uniform
Region1	Region3	1.0	simulation	1	150	uniform
Region2	Region3	7.0	simulation	1	150	uniform
Region3	Region3	36.0	simulation	1	150	uniform
Region4	Region3	3.0	simulation	1	150	uniform
Region5	Region3	1.0	simulation	1	150	uniform
Region6	Region3	0.0	simulation	1	150	uniform
Region7	Region3	0.0	simulation	1	150	uniform
Region1	Region4	0.0	simulation	1	150	uniform
Region2	Region4	5.0	simulation	1	150	uniform
Region3	Region4	2.0	simulation	1	150	uniform
Region4	Region4	82.0	simulation	1	150	uniform
Region5	Region4	0.0	simulation	1	150	uniform
Region6	Region4	0.0	simulation	1	150	uniform
Region7	Region4	0.0	simulation	1	150	uniform
Region1	Region5	0.0	simulation	1	150	uniform
Region2	Region5	0.0	simulation	1	150	uniform
Region3	Region5	0.0	simulation	1	150	uniform
Region4	Region5	4.0	simulation	1	150	uniform
Region5	Region5	7.0	simulation	1	150	uniform
Region6	Region5	0.0	simulation	1	150	uniform
Region7	Region5	0.0	simulation	1	150	uniform
Region1	Region6	0.0	simulation	1	150	uniform
Region2	Region6	0.0	simulation	1	150	uniform
Region3	Region6	0.0	simulation	1	150	uniform
Region4	Region6	0.0	simulation	1	150	uniform
Region5	Region6	0.0	simulation	1	150	uniform
Region6	Region6	0.0	simulation	1	150	uniform
Region7	Region6	0.0	simulation	1	150	uniform
Region1	Region7	0.0	simulation	1	150	uniform
Region2	Region7	0.0	simulation	1	150	uniform
Region3	Region7	0.0	simulation	1	150	uniform
Region4	Region7	0.0	simulation	1	150	uniform
Region5	Region7	0.0	simulation	1	150	uniform
Region6	Region7	0.0	simulation	1	150	uniform
Region7	Region7	0.0	simulation	1	150	uniform
Region1	Region1	11.0	simulation	1	150	uniformS_20
Region2	Region1	1.0	simulation	1	150	uniformS_20
Region3	Region1	0.0	simulation	1	150	uniformS_20
Region4	Region1	0.0	simulation	1	150	uniformS_20
Region5	Region1	0.0	simulation	1	150	uniformS_20
Region6	Region1	0.0	simulation	1	150	uniformS_20
Region7	Region1	0.0	simulation	1	150	uniformS_20
Region1	Region2	3.0	simulation	1	150	uniformS_20
Region2	Region2	13.0	simulation	1	150	uniformS_20
Region3	Region2	0.0	simulation	1	150	uniformS_20
Region4	Region2	1.0	simulation	1	150	uniformS_20
Region5	Region2	0.0	simulation	1	150	uniformS_20
Region6	Region2	0.0	simulation	1	150	uniformS_20
Region7	Region2	0.0	simulation	1	150	uniformS_20
Region1	Region3	0.0	simulation	1	150	uniformS_20
Region2	Region3	9.0	simulation	1	150	uniformS_20
Region3	Region3	98.0	simulation	1	150	uniformS_20
Region4	Region3	3.0	simulation	1	150	uniformS_20
Region5	Region3	0.0	simulation	1	150	uniformS_20
Region6	Region3	0.0	simulation	1	150	uniformS_20
Region7	Region3	0.0	simulation	1	150	uniformS_20
Region1	Region4	0.0	simulation	1	150	uniformS_20
Region2	Region4	3.0	simulation	1	150	uniformS_20
Region3	Region4	8.0	simulation	1	150	uniformS_20
Region4	Region4	145.0	simulation	1	150	uniformS_20
Region5	Region4	0.0	simulation	1	150	uniformS_20
Region6	Region4	0.0	simulation	1	150	uniformS_20
Region7	Region4	0.0	simulation	1	150	uniformS_20
Region1	Region5	0.0	simulation	1	150	uniformS_20
Region2	Region5	0.0	simulation	1	150	uniformS_20
Region3	Region5	0.0	simulation	1	150	uniformS_20
Region4	Region5	1.0	simulation	1	150	uniformS_20
Region5	Region5	0.0	simulation	1	150	uniformS_20
Region6	Region5	0.0	simulation	1	150	uniformS_20
Region7	Region5	0.0	simulation	1	150	uniformS_20
Region1	Region6	0.0	simulation	1	150	uniformS_20
Region2	Region6	1.0	simulation	1	150	uniformS_20
Region3	Region6	0.0	simulation	1	150	uniformS_20
Region4	Region6	0.0	simulation	1	150	uniformS_20
Region5	Region6	0.0	simulation	1	150	uniformS_20
Region6	Region6	0.0	simulation	1	150	uniformS_20
Region7	Region6	0.0	simulation	1	150	uniformS_20
Region1	Region7	0.0	simulation	1	150	uniformS_20
Region2	Region7	0.0	simulation	1	150	uniformS_20
Region3	Region7	0.0	simulation	1	150	uniformS_20
Region4	Region7	0.0	simulation	1	150	uniformS_20
Region5	Region7	0.0	simulation	1	150	uniformS_20
Region6	Region7	0.0	simulation	1	150	uniformS_20
Region7	Region7	0.0	simulation	1	150	uniformS_20
Region1	Region1	57.0	simulation	1	150	maxPerRegion_5
Region2	Region1	4.0	simulation	1	150	maxPerRegion_5
Region3	Region1	0.0	simulation	1	150	maxPerRegion_5
Region4	Region1	0.0	simulation	1	150	maxPerRegion_5
Region5	Region1	0.0	simulation	1	150	maxPerRegion_5
Region6	Region1	0.0	simulation	1	150	maxPerRegion_5
Region7	Region1	0.0	simulation	1	150	maxPerRegion_5
Region1	Region2	7.0	simulation	1	150	maxPerRegion_5
Region2	Region2	60.0	simulation	1	150	maxPerRegion_5
Region3	Region2	2.0	simulation	1	150	maxPerRegion_5
Region4	Region2	2.0	simulation	1	150	maxPerRegion_5
Region5	Region2	1.0	simulation	1	150	maxPerRegion_5
Region6	Region2	0.0	simulation	1	150	maxPerRegion_5
Region7	Region2	0.0	simulation	1	150	maxPerRegion_5
Region1	Region3	0.0	simulation	1	150	maxPerRegion_5
Region2	Region3	7.0	simulation	1	150	maxPerRegion_5
Region3	Region3	44.0	simulation	1	150	maxPerRegion_5
Region4	Region3	2.0	simulation	1	150	maxPerRegion_5
Region5	Region3	1.0	simulation	1	150	maxPerRegion_5
Region6	Region3	0.0	simulation	1	150	maxPerRegion_5
Region7	Region3	0.0	simulation	1	150	maxPerRegion_5
Region1	Region4	0.0	simulation	1	150	maxPerRegion_5
Region2	Region4	5.0	simulation	1	150	maxPerRegion_5
Region3	Region4	4.0	simulation	1	150	maxPerRegion_5
Region4	Region4	50.0	simulation	1	150	maxPerRegion_5
Region5	Region4	0.0	simulation	1	150	maxPerRegion_5
Region6	Region4	0.0	simulation	1	150	maxPerRegion_5
Region7	Region4	0.0	simulation	1	150	maxPerRegion_5
Region1	Region5	0.0	simulation	1	150	maxPerRegion_5
Region2	Region5	5.0	simulation	1	150	maxPerRegion_5
Region3	Region5	0.0	simulation	1	150	maxPerRegion_5
Region4	Region5	10.0	simulation	1	150	maxPerRegion_5
Region5	Region5	29.0	simulation	1	150	maxPerRegion_5
Region6	Region5	0.0	simulation	1	150	maxPerRegion_5
Region7	Region5	0.0	simulation	1	150	maxPerRegion_5
Region1	Region6	0.0	simulation	1	150	maxPerRegion_5
Region2	Region6	2.0	simulation	1	150	maxPerRegion_5
Region3	Region6	0.0	simulation	1	150	maxPerRegion_5
Region4	Region6	0.0	simulation	1	150	maxPerRegion_5
Region5	Region6	0.0	simulation	1	150	maxPerRegion_5
Region6	Region6	0.0	simulation	1	150	maxPerRegion_5
Region7	Region6	0.0	simulation	1	150	maxPerRegion_5
Region1	Region7	0.0	simulation	1	150	maxPerRegion_5
Region2	Region7	2.0	simulation	1	150	maxPerRegion_5
Region3	Region7	0.0	simulation	1	150	maxPerRegion_5
Region4	Region7	0.0	simulation	1	150	maxPerRegion_5
Region5	Region7	0.0	simulation	1	150	maxPerRegion_5
