traits	patch	samp.dates	short.names
3_20432_2009.972603	4	2009.972603	3_20432
3_20427_2009.764384	4	2009.764384	3_20427
3_20426_2009.810959	4	2009.810959	3_20426
3_20423_2009.726027	4	2009.726027	3_20423
3_20422_2009.69863	4	2009.69863	3_20422
2_16903_2009.690411	3	2009.690411	2_16903
3_20417_2009.534247	4	2009.534247	3_20417
2_16901_2009.528767	3	2009.528767	2_16901
3_20416_2009.479452	4	2009.479452	3_20416
2_16900_2009.493151	3	2009.493151	2_16900
2_16899_2009.586301	3	2009.586301	2_16899
3_20414_2009.509589	4	2009.509589	3_20414
3_20413_2009.652055	4	2009.652055	3_20413
3_20412_2009.452055	4	2009.452055	3_20412
3_20411_2009.575342	4	2009.575342	3_20411
2_16892_2009.419178	3	2009.419178	2_16892
2_16890_2009.432877	3	2009.432877	2_16890
2_16889_2009.531507	3	2009.531507	2_16889
3_20410_2009.410959	4	2009.410959	3_20410
3_20408_2009.369863	4	2009.369863	3_20408
3_20405_2009.312329	4	2009.312329	3_20405
3_20404_2009.284932	4	2009.284932	3_20404
2_16886_2009.323288	3	2009.323288	2_16886
2_16884_2009.29589	3	2009.29589	2_16884
2_16883_2009.257534	3	2009.257534	2_16883
3_20401_2009.210959	4	2009.210959	3_20401
3_20400_2009.254795	4	2009.254795	3_20400
2_16881_2009.175342	3	2009.175342	2_16881
3_20399_2009.167123	4	2009.167123	3_20399
3_20397_2009.139726	4	2009.139726	3_20397
2_16879_2009.153425	3	2009.153425	2_16879
2_16877_2009.090411	3	2009.090411	2_16877
3_20396_2009.136986	4	2009.136986	3_20396
3_20395_2009.153425	4	2009.153425	3_20395
3_20394_2009.115068	4	2009.115068	3_20394
3_20387_2009.046575	4	2009.046575	3_20387
3_20385_2009.073973	4	2009.073973	3_20385
3_20382_2009.054795	4	2009.054795	3_20382
3_20381_2009.084932	4	2009.084932	3_20381
2_16874_2009.024658	3	2009.024658	2_16874
3_20377_2009.005479	4	2009.005479	3_20377
3_20374_2008.989071	4	2008.989071	3_20374
3_20373_2008.959016	4	2008.959016	3_20373
3_20370_2008.991803	4	2008.991803	3_20370
3_20367_2008.991803	4	2008.991803	3_20367
3_20366_2009.005479	4	2009.005479	3_20366
3_20363_2008.991803	4	2008.991803	3_20363
3_20362_2008.994536	4	2008.994536	3_20362
3_20359_2008.931694	4	2008.931694	3_20359
2_16871_2008.942623	3	2008.942623	2_16871
3_20358_2009.019178	4	2009.019178	3_20358
3_20355_2008.915301	4	2008.915301	3_20355
3_20348_2008.986339	4	2008.986339	3_20348
3_20343_2008.885246	4	2008.885246	3_20343
3_20340_2008.92623	4	2008.92623	3_20340
3_20338_2008.898907	4	2008.898907	3_20338
3_20336_2008.904372	4	2008.904372	3_20336
3_20335_2008.893443	4	2008.893443	3_20335
3_20332_2008.846995	4	2008.846995	3_20332
3_20331_2008.825137	4	2008.825137	3_20331
3_20330_2008.833333	4	2008.833333	3_20330
3_20327_2008.830601	4	2008.830601	3_20327
3_20326_2008.863388	4	2008.863388	3_20326
3_20323_2008.855191	4	2008.855191	3_20323
3_20322_2008.814208	4	2008.814208	3_20322
3_20319_2008.84153	4	2008.84153	3_20319
3_20316_2008.806011	4	2008.806011	3_20316
3_20310_2008.885246	4	2008.885246	3_20310
3_20308_2008.786885	4	2008.786885	3_20308
3_20307_2008.797814	4	2008.797814	3_20307
3_20302_2008.76776	4	2008.76776	3_20302
3_20301_2008.748634	4	2008.748634	3_20301
3_20297_2008.729508	4	2008.729508	3_20297
3_20293_2008.79235	4	2008.79235	3_20293
3_20287_2008.786885	4	2008.786885	3_20287
3_20286_2008.710383	4	2008.710383	3_20286
3_20282_2008.726776	4	2008.726776	3_20282
3_20281_2008.756831	4	2008.756831	3_20281
3_20280_2008.724044	4	2008.724044	3_20280
3_20278_2008.838798	4	2008.838798	3_20278
3_20277_2008.778689	4	2008.778689	3_20277
3_20275_2008.737705	4	2008.737705	3_20275
3_20274_2008.688525	4	2008.688525	3_20274
3_20270_2008.666667	4	2008.666667	3_20270
3_20269_2008.699454	4	2008.699454	3_20269
3_20268_2008.68306	4	2008.68306	3_20268
3_20267_2008.644809	4	2008.644809	3_20267
3_20266_2008.666667	4	2008.666667	3_20266
3_20265_2008.674863	4	2008.674863	3_20265
3_20264_2008.718579	4	2008.718579	3_20264
3_20263_2008.669399	4	2008.669399	3_20263
2_16868_2008.650273	3	2008.650273	2_16868
3_20260_2008.636612	4	2008.636612	3_20260
3_20259_2008.693989	4	2008.693989	3_20259
3_20257_2008.63388	4	2008.63388	3_20257
3_20252_2008.620219	4	2008.620219	3_20252
3_20250_2008.625683	4	2008.625683	3_20250
3_20249_2008.622951	4	2008.622951	3_20249
3_20245_2008.631148	4	2008.631148	3_20245
3_20243_2008.538251	4	2008.538251	3_20243
3_20242_2008.554645	4	2008.554645	3_20242
2_16864_2008.540984	3	2008.540984	2_16864
3_20241_2008.516393	4	2008.516393	3_20241
2_16860_2008.494536	3	2008.494536	2_16860
3_20237_2008.519126	4	2008.519126	3_20237
3_20236_2008.513661	4	2008.513661	3_20236
3_20234_2008.557377	4	2008.557377	3_20234
2_16859_2008.5	3	2008.5	2_16859
3_20232_2008.516393	4	2008.516393	3_20232
3_20230_2008.483607	4	2008.483607	3_20230
3_20229_2008.519126	4	2008.519126	3_20229
3_20226_2008.434426	4	2008.434426	3_20226
3_20225_2008.494536	4	2008.494536	3_20225
3_20224_2008.423497	4	2008.423497	3_20224
3_20222_2008.423497	4	2008.423497	3_20222
2_16855_2008.398907	3	2008.398907	2_16855
2_16854_2008.409836	3	2008.409836	2_16854
3_20220_2008.407104	4	2008.407104	3_20220
3_20219_2008.385246	4	2008.385246	3_20219
3_20218_2008.467213	4	2008.467213	3_20218
3_20217_2008.412568	4	2008.412568	3_20217
3_20216_2008.423497	4	2008.423497	3_20216
3_20214_2008.409836	4	2008.409836	3_20214
3_20213_2008.478142	4	2008.478142	3_20213
3_20209_2008.377049	4	2008.377049	3_20209
3_20204_2008.360656	4	2008.360656	3_20204
3_20203_2008.39071	4	2008.39071	3_20203
3_20201_2008.486339	4	2008.486339	3_20201
3_20199_2008.52459	4	2008.52459	3_20199
3_20198_2008.357923	4	2008.357923	3_20198
3_20197_2008.336066	4	2008.336066	3_20197
2_16847_2008.338798	3	2008.338798	2_16847
2_16845_2008.325137	3	2008.325137	2_16845
3_20190_2008.349727	4	2008.349727	3_20190
2_16842_2008.306011	3	2008.306011	2_16842
2_16840_2008.278689	3	2008.278689	2_16840
3_20182_2008.31694	4	2008.31694	3_20182
2_16839_2008.26776	3	2008.26776	2_16839
3_20178_2008.303279	4	2008.303279	3_20178
3_20177_2008.314208	4	2008.314208	3_20177
2_16838_2008.275956	3	2008.275956	2_16838
3_20175_2008.355191	4	2008.355191	3_20175
2_16835_2008.336066	3	2008.336066	2_16835
3_20173_2008.254098	4	2008.254098	3_20173
3_20172_2008.303279	4	2008.303279	3_20172
3_20170_2008.308743	4	2008.308743	3_20170
2_16834_2008.311475	3	2008.311475	2_16834
3_20167_2008.297814	4	2008.297814	3_20167
3_20166_2008.251366	4	2008.251366	3_20166
3_20165_2008.300546	4	2008.300546	3_20165
2_16833_2008.374317	3	2008.374317	2_16833
3_20163_2008.254098	4	2008.254098	3_20163
2_16832_2008.325137	3	2008.325137	2_16832
3_20162_2008.226776	4	2008.226776	3_20162
2_16831_2008.243169	3	2008.243169	2_16831
3_20161_2008.229508	4	2008.229508	3_20161
3_20160_2008.213115	4	2008.213115	3_20160
3_20158_2008.29235	4	2008.29235	3_20158
2_16828_2008.254098	3	2008.254098	2_16828
2_16827_2008.251366	3	2008.251366	2_16827
3_20155_2008.278689	4	2008.278689	3_20155
3_20154_2008.237705	4	2008.237705	3_20154
3_20152_2008.248634	4	2008.248634	3_20152
2_16825_2008.213115	3	2008.213115	2_16825
3_20151_2008.180328	4	2008.180328	3_20151
2_16821_2008.237705	3	2008.237705	2_16821
2_16820_2008.166667	3	2008.166667	2_16820
3_20149_2008.204918	4	2008.204918	3_20149
2_16819_2008.234973	3	2008.234973	2_16819
