traits	regions
2_15535_2006.419178	Region3
3_18984_2006.293151	Region4
3_18665_2005.884932	Region4
3_18186_2005.273973	Region4
3_18154_2005.254795	Region4
2_13444_2004.76776	Region3
4_2912_2004.63388	Region5
2_14027_2005.079452	Region3
2_11747_2004.180328	Region3
3_17384_2004.027322	Region4
2_11394_2003.978082	Region3
2_11345_2003.958904	Region3
2_10875_2003.734247	Region3
2_10860_2003.756164	Region3
2_10745_2003.687671	Region3
4_2669_2003.326027	Region5
0_25333_2003.306849	Region1
0_25311_2003.260274	Region1
0_25157_2002.917808	Region1
2_9316_2002.920548	Region3
3_14669_2002.890411	Region4
3_14208_2002.778082	Region4
3_14124_2002.808219	Region4
3_13577_2002.583562	Region4
4_2587_2003.161644	Region5
3_13148_2002.463014	Region4
2_16539_2007.441096	Region3
0_24938_2002.40274	Region1
3_12735_2002.383562	Region4
3_12652_2002.347945	Region4
3_12190_2002.276712	Region4
0_24750_2002.158904	Region1
3_10868_2002.005479	Region4
3_10777_2001.972603	Region4
0_24546_2001.915068	Region1
2_7564_2001.789041	Region3
3_9804_2001.728767	Region4
0_16649_1998.378082	Region1
1_7900_2000.218579	Region2
0_15275_1998.164384	Region1
1_9526_2001.175342	Region2
0_14417_1997.936986	Region1
3_17337_2004.027322	Region4
0_16559_1998.353425	Region1
1_5366_1999.383562	Region2
0_8453_1996.765027	Region1
0_13778_1997.827397	Region1
3_1148_1998.79726	Region4
2_11589_2004.071038	Region3
3_8113_2001.172603	Region4
0_10954_1997.186301	Region1
3_10517_2002.021918	Region4
0_12499_1997.506849	Region1
1_3822_1998.753425	Region2
0_13046_1997.545205	Region1
3_8242_2001.227397	Region4
0_4836_1995.772603	Region1
0_17878_1998.819178	Region1
0_11772_1997.361644	Region1
0_11768_1997.353425	Region1
1_878_1996.718579	Region2
0_19878_1999.564384	Region1
0_17891_1998.849315	Region1
3_7855_2001.150685	Region4
3_10467_2001.90411	Region4
2_385_1997.490411	Region3
1_357_1996.136612	Region2
3_4854_2000.243169	Region4
1_11924_2006.167123	Region2
0_13597_1997.712329	Region1
0_4164_1995.545205	Region1
0_885_1992.013661	Region1
4_2861_2004.338798	Region5
0_596_1991.336986	Region1
3_1644_1999.063014	Region4
0_5724_1995.923288	Region1
0_497_1990.978082	Region1
0_2341_1994.284932	Region1
3_4373_2000.07377	Region4
0_447_1990.79726	Region1
0_16582_1998.416438	Region1
3_10122_2001.786301	Region4
0_23651_2001.29863	Region1
0_17791_1998.739726	Region1
3_26_1996.297814	Region4
0_16043_1998.293151	Region1
1_891_1996.751366	Region2
0_6642_1996.193989	Region1
0_15493_1998.120548	Region1
0_5288_1995.824658	Region1
2_8284_2002.326027	Region3
0_6667_1996.191257	Region1
3_312_1997.657534	Region4
3_18617_2005.824658	Region4
2_10055_2003.424658	Region3
0_19069_1999.246575	Region1
0_8595_1996.751366	Region1
0_16332_1998.369863	Region1
0_9371_1996.836066	Region1
2_4880_2000.336066	Region3
1_7767_2000.098361	Region2
0_766_1991.682192	Region1
0_10051_1996.97541	Region1
1_4349_1998.945205	Region2
3_1592_1998.958904	Region4
0_21985_2000.510929	Region1
4_1790_2001.852055	Region5
1_1694_1997.50411	Region2
1_5128_1999.2	Region2
2_860_1998.169863	Region3
1_5348_1999.326027	Region2
2_2653_1999.356164	Region3
1_5738_1999.435616	Region2
3_2674_1999.564384	Region4
0_20210_1999.673973	Region1
4_2471_2002.717808	Region5
4_2689_2003.410959	Region5
2_3402_1999.731507	Region3
3_10891_2001.99726	Region4
2_799_1998.205479	Region3
0_22434_2000.73224	Region1
0_21058_1999.956164	Region1
2_3971_1999.983562	Region3
2_4113_2000.256831	Region3
2_7531_2001.715068	Region3
1_7989_2000.142077	Region2
1_5101_1999.172603	Region2
3_16203_2003.517808	Region4
1_8284_2000.338798	Region2
3_5075_2000.311475	Region4
2_11388_2004.057377	Region3
3_5292_2000.363388	Region4
3_5411_2000.382514	Region4
3_6740_2000.745902	Region4
1_177_1995.70411	Region2
0_4124_1995.731507	Region1
1_9300_2000.986339	Region2
1_9359_2001.046575	Region2
1_8486_2000.39071	Region2
0_21721_2000.300546	Region1
2_1535_1998.745205	Region3
3_7919_2001.109589	Region4
3_7950_2001.167123	Region4
2_3493_1999.772603	Region3
3_580_1998.189041	Region4
3_8419_2001.345205	Region4
3_8449_2001.317808	Region4
2_6874_2001.339726	Region3
2_6979_2001.487671	Region3
3_9225_2001.605479	Region4
