parameterChar	value	parameter	nSeq	protocol	matrix	nSim
Region1_Region1	12213.0	migrationCount	150	uniformS	migrationrates	1
Region1_Region2	70.0	migrationCount	150	uniformS	migrationrates	1
Region1_Region4	1.0	migrationCount	150	uniformS	migrationrates	1
Region1_Region5	1.0	migrationCount	150	uniformS	migrationrates	1
Region1_Region6	1.0	migrationCount	150	uniformS	migrationrates	1
Region2_Region1	137.0	migrationCount	150	uniformS	migrationrates	1
Region2_Region2	9158.0	migrationCount	150	uniformS	migrationrates	1
Region2_Region3	86.0	migrationCount	150	uniformS	migrationrates	1
Region2_Region4	79.0	migrationCount	150	uniformS	migrationrates	1
Region2_Region5	34.0	migrationCount	150	uniformS	migrationrates	1
Region2_Region6	7.0	migrationCount	150	uniformS	migrationrates	1
Region3_Region2	78.0	migrationCount	150	uniformS	migrationrates	1
Region3_Region3	21216.0	migrationCount	150	uniformS	migrationrates	1
Region3_Region4	65.0	migrationCount	150	uniformS	migrationrates	1
Region4_Region2	7.0	migrationCount	150	uniformS	migrationrates	1
Region4_Region3	16.0	migrationCount	150	uniformS	migrationrates	1
Region4_Region4	8595.0	migrationCount	150	uniformS	migrationrates	1
Region4_Region5	46.0	migrationCount	150	uniformS	migrationrates	1
Region4_Region6	1.0	migrationCount	150	uniformS	migrationrates	1
Region5_Region1	1.0	migrationCount	150	uniformS	migrationrates	1
Region5_Region2	13.0	migrationCount	150	uniformS	migrationrates	1
Region5_Region3	6.0	migrationCount	150	uniformS	migrationrates	1
Region5_Region4	74.0	migrationCount	150	uniformS	migrationrates	1
Region5_Region5	18794.0	migrationCount	150	uniformS	migrationrates	1
Region5_Region6	43.0	migrationCount	150	uniformS	migrationrates	1
Region6_Region4	2.0	migrationCount	150	uniformS	migrationrates	1
Region6_Region5	13.0	migrationCount	150	uniformS	migrationrates	1
Region6_Region6	2545.0	migrationCount	150	uniformS	migrationrates	1
Region6_Region7	3.0	migrationCount	150	uniformS	migrationrates	1
Region7_Region7	1.0	migrationCount	150	uniformS	migrationrates	1
Region1_Region3	NA	migrationCount	150	uniformS	migrationrates	1
Region1_Region7	NA	migrationCount	150	uniformS	migrationrates	1
Region2_Region7	NA	migrationCount	150	uniformS	migrationrates	1
Region3_Region1	NA	migrationCount	150	uniformS	migrationrates	1
Region3_Region5	NA	migrationCount	150	uniformS	migrationrates	1
Region3_Region6	NA	migrationCount	150	uniformS	migrationrates	1
Region3_Region7	NA	migrationCount	150	uniformS	migrationrates	1
Region4_Region1	NA	migrationCount	150	uniformS	migrationrates	1
Region4_Region7	NA	migrationCount	150	uniformS	migrationrates	1
Region5_Region7	NA	migrationCount	150	uniformS	migrationrates	1
Region6_Region1	NA	migrationCount	150	uniformS	migrationrates	1
Region6_Region2	NA	migrationCount	150	uniformS	migrationrates	1
Region6_Region3	NA	migrationCount	150	uniformS	migrationrates	1
Region7_Region1	NA	migrationCount	150	uniformS	migrationrates	1
Region7_Region2	NA	migrationCount	150	uniformS	migrationrates	1
Region7_Region3	NA	migrationCount	150	uniformS	migrationrates	1
Region7_Region4	NA	migrationCount	150	uniformS	migrationrates	1
Region7_Region5	NA	migrationCount	150	uniformS	migrationrates	1
Region7_Region6	NA	migrationCount	150	uniformS	migrationrates	1
Region1_Region1	1.5420454545454545	migrationRate	150	uniformS	migrationrates	1
Region1_Region2	0.008838383838383838	migrationRate	150	uniformS	migrationrates	1
Region1_Region4	0.00012626262626262626	migrationRate	150	uniformS	migrationrates	1
Region1_Region5	0.00012626262626262626	migrationRate	150	uniformS	migrationrates	1
Region1_Region6	0.00012626262626262626	migrationRate	150	uniformS	migrationrates	1
Region2_Region1	0.0172979797979798	migrationRate	150	uniformS	migrationrates	1
Region2_Region2	1.1563131313131314	migrationRate	150	uniformS	migrationrates	1
Region2_Region3	0.010858585858585859	migrationRate	150	uniformS	migrationrates	1
Region2_Region4	0.009974747474747475	migrationRate	150	uniformS	migrationrates	1
Region2_Region5	0.004292929292929293	migrationRate	150	uniformS	migrationrates	1
Region2_Region6	0.0008838383838383839	migrationRate	150	uniformS	migrationrates	1
Region3_Region2	0.009848484848484848	migrationRate	150	uniformS	migrationrates	1
