traits	patch	samp.dates	short.names
2_53252_2019.032877	3	2019.032877	2_53252
2_53251_2019.263014	3	2019.263014	2_53251
2_53249_2019.027397	3	2019.027397	2_53249
2_53246_2019.008219	3	2019.008219	2_53246
2_53243_2019.054795	3	2019.054795	2_53243
2_53241_2019.032877	3	2019.032877	2_53241
2_53239_2019.016438	3	2019.016438	2_53239
2_53237_2019.065753	3	2019.065753	2_53237
2_53234_2019.082192	3	2019.082192	2_53234
2_53230_2019.035616	3	2019.035616	2_53230
2_53228_2019.076712	3	2019.076712	2_53228
2_53226_2019.041096	3	2019.041096	2_53226
2_53224_2019.065753	3	2019.065753	2_53224
2_53223_2019.076712	3	2019.076712	2_53223
2_53219_2019.054795	3	2019.054795	2_53219
2_53218_2019.016438	3	2019.016438	2_53218
2_53217_2019.093151	3	2019.093151	2_53217
2_53216_2019	3	2019	2_53216
2_53215_2019.041096	3	2019.041096	2_53215
2_53214_2019.082192	3	2019.082192	2_53214
2_53213_2019.043836	3	2019.043836	2_53213
2_53211_2019.005479	3	2019.005479	2_53211
2_53210_2019.038356	3	2019.038356	2_53210
2_53209_2019.021918	3	2019.021918	2_53209
2_53208_2019.060274	3	2019.060274	2_53208
2_53207_2019	3	2019	2_53207
2_53203_2018.99726	3	2018.99726	2_53203
2_53200_2019.054795	3	2019.054795	2_53200
2_53197_2019.068493	3	2019.068493	2_53197
2_53196_2018.989041	3	2018.989041	2_53196
2_53193_2019.068493	3	2019.068493	2_53193
1_11622_2019.027397	2	2019.027397	1_11622
2_53191_2019.060274	3	2019.060274	2_53191
2_53190_2019.071233	3	2019.071233	2_53190
2_53189_2019.008219	3	2019.008219	2_53189
2_53188_2019.043836	3	2019.043836	2_53188
2_53186_2018.986301	3	2018.986301	2_53186
2_53185_2019.041096	3	2019.041096	2_53185
2_53178_2018.989041	3	2018.989041	2_53178
2_53174_2019.079452	3	2019.079452	2_53174
2_53173_2019.010959	3	2019.010959	2_53173
2_53172_2019.021918	3	2019.021918	2_53172
2_53167_2019.052055	3	2019.052055	2_53167
2_53164_2019.082192	3	2019.082192	2_53164
2_53161_2019.071233	3	2019.071233	2_53161
2_53157_2018.989041	3	2018.989041	2_53157
2_53148_2019.063014	3	2019.063014	2_53148
2_53139_2019.019178	3	2019.019178	2_53139
2_53135_2019.145205	3	2019.145205	2_53135
2_53134_2019.032877	3	2019.032877	2_53134
2_53132_2019	3	2019	2_53132
2_53131_2019.071233	3	2019.071233	2_53131
2_53129_2018.991781	3	2018.991781	2_53129
2_53125_2019.043836	3	2019.043836	2_53125
2_53119_2018.99726	3	2018.99726	2_53119
2_53116_2019.054795	3	2019.054795	2_53116
2_53115_2018.991781	3	2018.991781	2_53115
2_53111_2018.983562	3	2018.983562	2_53111
