"uniform_150"	"stratified_150"	"maxPerRegion_150"	"maxPerRegionYear_150"	"uniform_500"	"stratified_500"	"maxPerRegion_500"	"maxPerRegionYear_500"	"patch"	"year"
0	0	0	1	0	0	2	2	1	1990
0	0	0	1	0	0	1	1	2	1990
0	0	0	0	0	0	0	0	3	1990
0	0	0	0	0	0	0	0	4	1990
0	0	0	0	0	0	0	0	5	1990
0	0	0	0	0	0	0	0	6	1990
0	0	4	0	0	0	20	7	1	1991
0	0	1	2	0	0	1	2	2	1991
0	0	0	0	0	0	0	0	3	1991
0	0	0	0	0	0	0	0	4	1991
0	0	0	0	0	0	0	0	5	1991
0	0	0	0	0	0	0	0	6	1991
0	0	2	1	0	0	9	6	1	1992
0	0	0	0	0	0	0	0	2	1992
0	0	0	0	0	0	0	0	3	1992
0	0	0	0	0	0	0	0	4	1992
0	0	0	0	0	0	0	0	5	1992
0	0	0	0	0	0	0	0	6	1992
0	1	4	2	0	0	14	8	1	1993
0	0	0	0	0	0	0	0	2	1993
0	0	0	0	0	0	0	0	3	1993
0	0	0	0	0	0	0	0	4	1993
0	0	0	0	0	0	0	0	5	1993
0	0	0	0	0	0	0	0	6	1993
0	0	2	5	0	0	15	13	1	1994
0	0	0	0	0	0	0	0	2	1994
0	0	0	0	0	0	0	0	3	1994
0	0	0	0	0	0	0	0	4	1994
0	0	0	0	0	0	0	0	5	1994
0	0	0	0	0	0	0	0	6	1994
0	0	1	3	0	0	2	3	1	1995
0	0	0	1	0	0	1	1	2	1995
0	0	0	0	0	0	0	0	3	1995
0	0	0	0	0	0	0	0	4	1995
0	0	0	0	0	0	0	0	5	1995
0	0	0	0	0	0	0	0	6	1995
0	0	2	1	0	0	14	10	1	1996
0	0	0	0	0	0	0	0	2	1996
0	0	0	0	0	0	0	0	3	1996
0	0	0	0	0	0	0	0	4	1996
0	0	0	0	0	0	0	0	5	1996
0	0	0	0	0	0	0	0	6	1996
0	0	4	1	0	0	12	7	1	1997
0	0	0	0	0	0	0	0	2	1997
0	0	0	0	0	0	0	0	3	1997
0	0	0	0	0	0	0	0	4	1997
0	0	0	0	0	0	0	0	5	1997
0	0	0	0	0	0	0	0	6	1997
0	0	1	4	0	0	4	4	1	1998
0	0	0	1	0	0	0	1	2	1998
0	0	0	0	0	0	0	0	3	1998
0	0	0	0	0	0	0	0	4	1998
0	0	0	0	0	0	0	0	5	1998
0	0	0	0	0	0	0	0	6	1998
0	0	2	2	0	0	4	4	1	1999
0	0	0	3	0	0	1	3	2	1999
0	0	0	0	0	0	0	0	3	1999
0	0	0	0	0	0	0	0	4	1999
0	0	0	0	0	0	0	0	5	1999
0	0	0	0	0	0	0	0	6	1999
0	0	3	2	0	0	10	5	1	2000
0	0	0	0	0	0	3	6	2	2000
0	0	0	1	0	0	0	3	3	2000
0	0	0	0	0	0	0	0	4	2000
0	0	0	0	0	0	0	0	5	2000
0	0	0	0	0	0	0	0	6	2000
0	0	2	1	0	0	3	3	1	2001
0	0	3	1	0	1	6	8	2	2001
0	0	0	0	0	0	0	0	3	2001
0	0	0	1	0	0	0	1	4	2001
0	0	0	0	0	0	0	0	5	2001
0	0	0	0	0	0	0	0	6	2001
0	0	0	0	0	0	1	2	1	2002
0	0	4	0	0	0	8	8	2	2002
0	1	0	1	0	0	0	6	3	2002
0	0	1	4	0	0	2	7	4	2002
0	0	0	0	0	0	0	0	5	2002
0	0	0	0	0	0	0	0	6	2002
0	0	1	2	0	0	2	2	1	2003
0	0	7	2	0	0	13	7	2	2003
0	0	0	1	0	2	1	9	3	2003
0	1	0	6	0	0	7	9	4	2003
0	0	0	0	0	0	0	0	5	2003
0	0	0	0	0	0	0	0	6	2003
0	0	0	1	0	0	2	2	1	2004
0	0	4	0	0	0	16	11	2	2004
0	2	0	0	0	6	2	5	3	2004
0	0	5	1	0	0	4	5	4	2004
0	0	2	2	0	0	2	2	5	2004
0	0	1	0	0	0	1	1	6	2004
0	0	0	3	0	1	3	3	1	2005
0	0	2	0	0	0	6	9	2	2005
0	1	0	0	0	8	2	9	3	2005
0	0	5	1	0	3	15	11	4	2005
0	0	3	1	0	0	3	3	5	2005
0	0	0	0	0	0	0	0	6	2005
0	0	1	1	0	0	2	2	1	2006
0	0	2	0	0	0	12	10	2	2006
0	4	1	0	0	18	3	8	3	2006
0	1	9	1	0	1	20	6	4	2006
0	0	0	0	0	0	0	0	5	2006
0	0	0	0	0	0	0	0	6	2006
0	0	0	1	0	0	1	2	1	2007
0	0	5	3	0	0	7	13	2	2007
0	4	1	5	0	20	7	7	3	2007
0	2	4	3	0	3	24	4	4	2007
0	0	2	0	0	0	2	2	5	2007
0	0	0	0	0	0	0	0	6	2007
