traits	regions
2_22396_2012.39071	North Atlantic coast
3_6335_2008.508197	South Atlantic coast
2_17252_2011.328767	North Atlantic coast
1_3609_2003.728767	Eastern Mediterranean coast
0_3289_1993.917808	Western Mediterranean coast
0_10434_2016.032787	Western Mediterranean coast
3_1591_2005.452055	South Atlantic coast
0_5220_1996.117486	Western Mediterranean coast
2_37634_2015.539726	North Atlantic coast
2_26347_2013.208219	North Atlantic coast
2_27191_2013.421918	North Atlantic coast
1_7707_2007.520548	Eastern Mediterranean coast
3_8207_2012.464481	South Atlantic coast
2_20956_2012.051913	North Atlantic coast
3_8859_2014.084932	South Atlantic coast
2_49037_2017.70137	North Atlantic coast
3_5708_2007.882192	South Atlantic coast
0_265_1990.079452	Western Mediterranean coast
2_2369_2006.320548	North Atlantic coast
2_42225_2016.42623	North Atlantic coast
2_40348_2016.259563	North Atlantic coast
2_52205_2018.673973	North Atlantic coast
2_49548_2017.879452	North Atlantic coast
2_24614_2012.855191	North Atlantic coast
2_15678_2010.709589	North Atlantic coast
2_6137_2007.841096	North Atlantic coast
2_38786_2015.849315	North Atlantic coast
3_3356_2006.534247	South Atlantic coast
2_17525_2011.29863	North Atlantic coast
2_30785_2014.084932	North Atlantic coast
2_42746_2016.551913	North Atlantic coast
3_2746_2006.120548	South Atlantic coast
2_7725_2008.215847	North Atlantic coast
2_50301_2018.016438	North Atlantic coast
3_2387_2005.923288	South Atlantic coast
2_52679_2018.835616	North Atlantic coast
2_6049_2007.778082	North Atlantic coast
2_28013_2013.553425	North Atlantic coast
2_12971_2009.682192	North Atlantic coast
0_5797_1996.762295	Western Mediterranean coast
2_16235_2010.931507	North Atlantic coast
3_2576_2006.071233	South Atlantic coast
1_6595_2005.986301	Eastern Mediterranean coast
2_39033_2015.906849	North Atlantic coast
0_7741_2000.439891	Western Mediterranean coast
2_23063_2012.47541	North Atlantic coast
2_27016_2013.350685	North Atlantic coast
2_7120_2008.114754	North Atlantic coast
3_1314_2005.260274	South Atlantic coast
2_30158_2014.024658	North Atlantic coast
0_6665_1998.216438	Western Mediterranean coast
1_4192_2004.18306	Eastern Mediterranean coast
2_26486_2013.210959	North Atlantic coast
2_18526_2011.545205	North Atlantic coast
1_6299_2005.676712	Eastern Mediterranean coast
2_33749_2014.6	North Atlantic coast
2_45381_2017.063014	North Atlantic coast
2_12226_2009.421918	North Atlantic coast
2_28657_2013.687671	North Atlantic coast
1_8638_2008.73224	Eastern Mediterranean coast
2_2440_2006.268493	North Atlantic coast
1_10756_2012.469945	Eastern Mediterranean coast
