"matrix"	"nSim"	"nSeq"	"protocol"	"model"
"7demes"	1	150	"biased_5"	"basta"
"7demes"	7	150	"biased_20"	"basta"
"7demes"	8	150	"maxPerRegion_10"	"basta"
"7demes"	8	150	"maxPerRegionYear_20"	"basta"
"7demes"	14	150	"uniformS_10"	"basta"
"7demes"	20	150	"maxPerRegion_10"	"basta"
"7demes"	24	150	"biased_50"	"basta"
"7demes"	26	150	"biased_50"	"basta"
"7demes"	36	150	"uniformS_20"	"basta"
"7demes"	37	150	"uniformS_10"	"basta"
"7demes"	47	150	"maxPerRegionYear_10"	"basta"
"7demes"	42	150	"biased_5"	"basta"
"7demes"	48	150	"uniformS_10"	"basta"
"7demes"	49	150	"maxPerRegion_20"	"basta"
"7demes"	49	150	"maxPerRegionYear_10"	"basta"
"7demes"	49	150	"maxPerRegionYear_20"	"basta"
"7demes"	50	150	"maxPerRegion_10"	"basta"
"7demes"	24	500	"biased_5"	"glm"
"7demes"	37	500	"uniform"	"glm"
"7demes"	1	150	"maxPerRegion_20"	"mascot"
"7demes"	8	150	"maxPerRegion_10"	"mascot"
"7demes"	1	500	"uniform"	"mascot"
"7demes"	1	500	"maxPerRegion_20"	"mascot"
"7demes"	7	500	"uniformS_20"	"mascot"
"7demes"	5	500	"maxPerRegionYear_10"	"mascot"
"7demes"	5	500	"biased_20"	"mascot"
"7demes"	5	500	"biased_5"	"mascot"
"7demes"	5	500	"biased_2.5"	"mascot"
"7demes"	4	500	"biased_2.5"	"mascot"
"7demes"	4	500	"maxPerRegion_10"	"mascot"
"7demes"	4	500	"maxPerRegion_20"	"mascot"
"7demes"	4	500	"uniformS_10"	"mascot"
"7demes"	4	500	"biased_20"	"mascot"
"7demes"	3	500	"uniformS_20"	"mascot"
"7demes"	3	500	"uniformS_10"	"mascot"
"7demes"	9	500	"uniform"	"mascot"
"7demes"	9	500	"uniformS_20"	"mascot"
"7demes"	9	500	"biased_2.5"	"mascot"
"7demes"	2	500	"biased_20"	"mascot"
"7demes"	2	500	"maxPerRegion_20"	"mascot"
"7demes"	2	500	"biased_5"	"mascot"
"7demes"	2	500	"uniform"	"mascot"
"7demes"	8	500	"maxPerRegionYear_10"	"mascot"
"7demes"	20	150	"maxPerRegion_10"	"mascot"
"7demes"	13	500	"biased_5"	"mascot"
"7demes"	13	500	"uniformS_20"	"mascot"
"7demes"	13	500	"biased_20"	"mascot"
"7demes"	13	500	"maxPerRegionYear_10"	"mascot"
"7demes"	13	500	"biased_50"	"mascot"
"7demes"	12	500	"uniformS_10"	"mascot"
"7demes"	12	500	"biased_20"	"mascot"
"7demes"	14	500	"biased_2.5"	"mascot"
"7demes"	17	500	"maxPerRegionYear_20"	"mascot"
"7demes"	17	500	"biased_2.5"	"mascot"
"7demes"	17	500	"uniform"	"mascot"
"7demes"	17	500	"uniformS_10"	"mascot"
"7demes"	19	500	"maxPerRegion_10"	"mascot"
"7demes"	19	500	"maxPerRegionYear_20"	"mascot"
"7demes"	20	500	"uniform"	"mascot"
"7demes"	20	500	"uniformS_10"	"mascot"
"7demes"	20	500	"maxPerRegionYear_20"	"mascot"
"7demes"	15	500	"uniformS_20"	"mascot"
"7demes"	15	500	"uniformS_10"	"mascot"
"7demes"	15	500	"biased_2.5"	"mascot"
"7demes"	15	500	"uniform"	"mascot"
"7demes"	30	500	"maxPerRegion_20"	"mascot"
"7demes"	28	500	"maxPerRegionYear_10"	"mascot"
"7demes"	28	500	"uniformS_10"	"mascot"
"7demes"	28	500	"biased_5"	"mascot"
