"matrix"	"nSim"	"nSeq"	"protocol"	"model"
"7demes"	1	150	"maxPerRegion_20"	"dta"
"7demes"	1	150	"biased_10"	"dta"
"7demes"	1	150	"uniform"	"dta"
"7demes"	1	150	"biased_5"	"dta"
"7demes"	1	150	"maxPerRegion_10"	"dta"
"7demes"	1	150	"biased_20"	"dta"
"7demes"	1	150	"uniformS_10"	"dta"
"7demes"	1	150	"maxPerRegionYear_20"	"dta"
"7demes"	1	150	"biased_2.5"	"dta"
"7demes"	1	150	"maxPerRegionYear_10"	"dta"
"7demes"	1	150	"biased_50"	"dta"
"7demes"	1	150	"uniformS_20"	"dta"
"7demes"	7	150	"uniformS_10"	"dta"
"7demes"	7	150	"uniform"	"dta"
"7demes"	7	150	"biased_50"	"dta"
"7demes"	7	150	"biased_2.5"	"dta"
"7demes"	7	150	"biased_5"	"dta"
"7demes"	7	150	"biased_10"	"dta"
"7demes"	7	150	"maxPerRegion_20"	"dta"
"7demes"	7	150	"biased_20"	"dta"
"7demes"	7	150	"maxPerRegion_10"	"dta"
"7demes"	7	150	"uniformS_20"	"dta"
"7demes"	7	150	"maxPerRegionYear_20"	"dta"
"7demes"	7	150	"maxPerRegionYear_10"	"dta"
"7demes"	5	150	"biased_5"	"dta"
"7demes"	5	150	"uniformS_20"	"dta"
"7demes"	5	150	"uniform"	"dta"
"7demes"	5	150	"biased_50"	"dta"
"7demes"	5	150	"maxPerRegion_10"	"dta"
"7demes"	5	150	"biased_10"	"dta"
"7demes"	5	150	"biased_20"	"dta"
"7demes"	5	150	"biased_2.5"	"dta"
"7demes"	5	150	"maxPerRegionYear_20"	"dta"
"7demes"	5	150	"uniformS_10"	"dta"
"7demes"	5	150	"maxPerRegionYear_10"	"dta"
"7demes"	5	150	"maxPerRegion_20"	"dta"
"7demes"	4	150	"biased_20"	"dta"
"7demes"	4	150	"biased_2.5"	"dta"
"7demes"	4	150	"biased_5"	"dta"
"7demes"	4	150	"biased_10"	"dta"
"7demes"	4	150	"uniform"	"dta"
"7demes"	4	150	"maxPerRegionYear_10"	"dta"
"7demes"	4	150	"biased_50"	"dta"
"7demes"	4	150	"uniformS_10"	"dta"
"7demes"	4	150	"maxPerRegion_20"	"dta"
"7demes"	4	150	"uniformS_20"	"dta"
"7demes"	4	150	"maxPerRegionYear_20"	"dta"
"7demes"	4	150	"maxPerRegion_10"	"dta"
"7demes"	10	150	"biased_20"	"dta"
"7demes"	10	150	"biased_2.5"	"dta"
"7demes"	10	150	"uniformS_10"	"dta"
"7demes"	10	150	"uniform"	"dta"
"7demes"	10	150	"maxPerRegionYear_10"	"dta"
"7demes"	10	150	"biased_50"	"dta"
"7demes"	10	150	"maxPerRegionYear_20"	"dta"
"7demes"	10	150	"uniformS_20"	"dta"
"7demes"	10	150	"maxPerRegion_10"	"dta"
"7demes"	10	150	"biased_10"	"dta"
"7demes"	10	150	"biased_5"	"dta"
"7demes"	10	150	"maxPerRegion_20"	"dta"
"7demes"	3	150	"maxPerRegion_20"	"dta"
"7demes"	3	150	"biased_5"	"dta"
"7demes"	3	150	"uniformS_10"	"dta"
