,id,ind,region
0,0,1974326.371,Chaouia - Ouardigha
1,1,2169988.676,Doukkala - Abda
2,2,1619119.593,Fès - Boulemane
3,3,1970567.115,Gharb - Chrarda - Béni Hssen
4,4,5475043.909,Grand Casablanca
5,5,468926.5607,Guelmim - Es-Semara
6,6,203392.7175,Laâyoune - Boujdour - Sakia El Hamra
7,7,3603599.822,Marrakech - Tensift - Al Haouz
8,8,1812263.424,Meknès - Tafilalet
9,9,2208003.505,Oriental
10,10,2493853.083,Rabat - Salé - Zemmour - Zaer
11,11,3436055.586,Souss - Massa - Draâ
12,12,1587822.58,Tadla - Azilal
13,13,2973245.413,Tanger - Tétouan
14,14,1944426.68,Taza - Al Hoceima - Taounate
