traits	patch	samp.dates	short.names
4_20180_2012.571038	5	2012.571038	4_20180
4_20177_2012.42623	5	2012.42623	4_20177
4_20175_2012.401639	5	2012.401639	4_20175
4_20174_2012.34153	5	2012.34153	4_20174
4_20173_2012.39071	5	2012.39071	4_20173
4_20172_2012.300546	5	2012.300546	4_20172
3_9712_2012.284153	4	2012.284153	3_9712
3_9707_2012.23224	4	2012.23224	3_9707
3_9705_2012.193989	4	2012.193989	3_9705
3_9704_2012.234973	4	2012.234973	3_9704
4_20170_2012.29235	5	2012.29235	4_20170
3_9700_2012.213115	4	2012.213115	3_9700
3_9698_2012.172131	4	2012.172131	3_9698
3_9691_2012.15847	4	2012.15847	3_9691
3_9687_2012.131148	4	2012.131148	3_9687
3_9685_2012.139344	4	2012.139344	3_9685
4_20168_2012.237705	5	2012.237705	4_20168
3_9684_2012.101093	4	2012.101093	3_9684
3_9678_2012.04918	4	2012.04918	3_9678
3_9677_2012.112022	4	2012.112022	3_9677
3_9676_2012.153005	4	2012.153005	3_9676
3_9674_2012.04918	4	2012.04918	3_9674
4_20166_2012.136612	5	2012.136612	4_20166
4_20165_2012.071038	5	2012.071038	4_20165
3_9672_2012.051913	4	2012.051913	3_9672
3_9668_2012.030055	4	2012.030055	3_9668
3_9666_2012.016393	4	2012.016393	3_9666
3_9664_2012.021858	4	2012.021858	3_9664
3_9663_2012.002732	4	2012.002732	3_9663
3_9662_2012.016393	4	2012.016393	3_9662
4_20164_2012.008197	5	2012.008197	4_20164
3_9661_2012.005464	4	2012.005464	3_9661
3_9660_2011.983562	4	2011.983562	3_9660
3_9657_2011.989041	4	2011.989041	3_9657
3_9653_2012	4	2012	3_9653
3_9650_2011.99726	4	2011.99726	3_9650
3_9648_2011.936986	4	2011.936986	3_9648
3_9643_2011.945205	4	2011.945205	3_9643
3_9642_2011.90411	4	2011.90411	3_9642
3_9634_2012.010929	4	2012.010929	3_9634
3_9633_2011.876712	4	2011.876712	3_9633
3_9631_2011.882192	4	2011.882192	3_9631
3_9629_2011.947945	4	2011.947945	3_9629
3_9628_2011.90411	4	2011.90411	3_9628
3_9627_2011.958904	4	2011.958904	3_9627
3_9625_2011.890411	4	2011.890411	3_9625
3_9622_2011.863014	4	2011.863014	3_9622
3_9620_2011.849315	4	2011.849315	3_9620
3_9619_2011.849315	4	2011.849315	3_9619
3_9615_2011.843836	4	2011.843836	3_9615
0_13070_2011.835616	1	2011.835616	0_13070
3_9613_2011.838356	4	2011.838356	3_9613
3_9612_2011.819178	4	2011.819178	3_9612
0_13068_2011.89589	1	2011.89589	0_13068
3_9610_2011.873973	4	2011.873973	3_9610
3_9608_2011.931507	4	2011.931507	3_9608
4_20160_2011.852055	5	2011.852055	4_20160
3_9604_2011.89589	4	2011.89589	3_9604
3_9603_2011.819178	4	2011.819178	3_9603
3_9600_2011.783562	4	2011.783562	3_9600
3_9597_2011.849315	4	2011.849315	3_9597
3_9595_2011.821918	4	2011.821918	3_9595
3_9594_2011.821918	4	2011.821918	3_9594
3_9592_2011.772603	4	2011.772603	3_9592
3_9591_2011.791781	4	2011.791781	3_9591
4_20158_2011.871233	5	2011.871233	4_20158
3_9588_2011.783562	4	2011.783562	3_9588
3_9586_2011.821918	4	2011.821918	3_9586
3_9585_2011.747945	4	2011.747945	3_9585
3_9584_2011.80274	4	2011.80274	3_9584
3_9581_2011.819178	4	2011.819178	3_9581
3_9579_2011.827397	4	2011.827397	3_9579
3_9577_2011.843836	4	2011.843836	3_9577
4_20157_2011.726027	5	2011.726027	4_20157
3_9576_2011.726027	4	2011.726027	3_9576
3_9575_2011.731507	4	2011.731507	3_9575
3_9574_2011.764384	4	2011.764384	3_9574
3_9572_2011.717808	4	2011.717808	3_9572
3_9571_2011.728767	4	2011.728767	3_9571
3_9569_2011.693151	4	2011.693151	3_9569
3_9566_2011.736986	4	2011.736986	3_9566
3_9565_2011.709589	4	2011.709589	3_9565
4_20153_2011.786301	5	2011.786301	4_20153
3_9563_2011.690411	4	2011.690411	3_9563
3_9562_2011.687671	4	2011.687671	3_9562
1_9947_2011.715068	2	2011.715068	1_9947
1_9945_2011.706849	2	2011.706849	1_9945
3_9556_2011.668493	4	2011.668493	3_9556
3_9555_2011.676712	4	2011.676712	3_9555
3_9554_2011.638356	4	2011.638356	3_9554
3_9553_2011.69589	4	2011.69589	3_9553
3_9550_2011.641096	4	2011.641096	3_9550
3_9548_2011.605479	4	2011.605479	3_9548
3_9547_2011.610959	4	2011.610959	3_9547
3_9546_2011.665753	4	2011.665753	3_9546
4_20149_2011.580822	5	2011.580822	4_20149
3_9541_2011.594521	4	2011.594521	3_9541
3_9539_2011.610959	4	2011.610959	3_9539
4_20147_2011.646575	5	2011.646575	4_20147
3_9537_2011.575342	4	2011.575342	3_9537
3_9536_2011.621918	4	2011.621918	3_9536
4_20145_2011.654795	5	2011.654795	4_20145
3_9532_2011.591781	4	2011.591781	3_9532
3_9529_2011.649315	4	2011.649315	3_9529
1_9943_2011.676712	2	2011.676712	1_9943
1_9942_2011.542466	2	2011.542466	1_9942
1_9941_2011.646575	2	2011.646575	1_9941
1_9940_2011.534247	2	2011.534247	1_9940
3_9523_2011.591781	4	2011.591781	3_9523
3_9522_2011.619178	4	2011.619178	3_9522
3_9521_2011.567123	4	2011.567123	3_9521
3_9519_2011.550685	4	2011.550685	3_9519
3_9518_2011.547945	4	2011.547945	3_9518
3_9515_2011.591781	4	2011.591781	3_9515
3_9514_2011.60274	4	2011.60274	3_9514
3_9513_2011.539726	4	2011.539726	3_9513
3_9512_2011.569863	4	2011.569863	3_9512
3_9511_2011.59726	4	2011.59726	3_9511
3_9510_2011.545205	4	2011.545205	3_9510
3_9509_2011.512329	4	2011.512329	3_9509
3_9508_2011.528767	4	2011.528767	3_9508
3_9507_2011.586301	4	2011.586301	3_9507
3_9505_2011.528767	4	2011.528767	3_9505
3_9502_2011.506849	4	2011.506849	3_9502
3_9501_2011.509589	4	2011.509589	3_9501
3_9498_2011.627397	4	2011.627397	3_9498
3_9497_2011.539726	4	2011.539726	3_9497
4_20141_2011.506849	5	2011.506849	4_20141
3_9494_2011.561644	4	2011.561644	3_9494
3_9493_2011.50411	4	2011.50411	3_9493
3_9492_2011.50411	4	2011.50411	3_9492
5_2760_2011.512329	6	2011.512329	5_2760
3_9489_2011.506849	4	2011.506849	3_9489
3_9488_2011.471233	4	2011.471233	3_9488
3_9487_2011.646575	4	2011.646575	3_9487
3_9485_2011.454795	4	2011.454795	3_9485
3_9484_2011.487671	4	2011.487671	3_9484
3_9482_2011.435616	4	2011.435616	3_9482
3_9481_2011.545205	4	2011.545205	3_9481
1_9938_2011.528767	2	2011.528767	1_9938
3_9473_2011.490411	4	2011.490411	3_9473
3_9470_2011.421918	4	2011.421918	3_9470
3_9469_2011.394521	4	2011.394521	3_9469
3_9468_2011.394521	4	2011.394521	3_9468
3_9467_2011.405479	4	2011.405479	3_9467
3_9466_2011.523288	4	2011.523288	3_9466
4_20137_2011.40274	5	2011.40274	4_20137
3_9463_2011.506849	4	2011.506849	3_9463
3_9459_2011.4	4	2011.4	3_9459
3_9457_2011.380822	4	2011.380822	3_9457
3_9456_2011.358904	4	2011.358904	3_9456
3_9454_2011.432877	4	2011.432877	3_9454
3_9451_2011.372603	4	2011.372603	3_9451
1_9936_2011.443836	2	2011.443836	1_9936
3_9449_2011.350685	4	2011.350685	3_9449
3_9448_2011.328767	4	2011.328767	3_9448
3_9447_2011.361644	4	2011.361644	3_9447
1_9934_2011.408219	2	2011.408219	1_9934
3_9443_2011.328767	4	2011.328767	3_9443
3_9441_2011.339726	4	2011.339726	3_9441
3_9440_2011.394521	4	2011.394521	3_9440
3_9439_2011.476712	4	2011.476712	3_9439
3_9435_2011.29863	4	2011.29863	3_9435
4_20131_2011.312329	5	2011.312329	4_20131
3_9432_2011.306849	4	2011.306849	3_9432
3_9428_2011.347945	4	2011.347945	3_9428
3_9425_2011.30411	4	2011.30411	3_9425
3_9422_2011.265753	4	2011.265753	3_9422
3_9421_2011.29863	4	2011.29863	3_9421
3_9419_2011.342466	4	2011.342466	3_9419
3_9416_2011.276712	4	2011.276712	3_9416
4_20128_2011.29863	5	2011.29863	4_20128
4_20126_2011.336986	5	2011.336986	4_20126
0_13066_2011.230137	1	2011.230137	0_13066
1_9932_2011.265753	2	2011.265753	1_9932
3_9412_2011.252055	4	2011.252055	3_9412
1_9931_2011.30137	2	2011.30137	1_9931
3_9409_2011.265753	4	2011.265753	3_9409
3_9408_2011.260274	4	2011.260274	3_9408
3_9404_2011.265753	4	2011.265753	3_9404
3_9403_2011.282192	4	2011.282192	3_9403
3_9401_2011.331507	4	2011.331507	3_9401
1_9929_2011.191781	2	2011.191781	1_9929
3_9398_2011.238356	4	2011.238356	3_9398
3_9397_2011.230137	4	2011.230137	3_9397
1_9925_2011.227397	2	2011.227397	1_9925
4_20121_2011.213699	5	2011.213699	4_20121
3_9392_2011.183562	4	2011.183562	3_9392
3_9391_2011.19726	4	2011.19726	3_9391
0_13065_2011.158904	1	2011.158904	0_13065
3_9387_2011.145205	4	2011.145205	3_9387
3_9386_2011.164384	4	2011.164384	3_9386
3_9384_2011.172603	4	2011.172603	3_9384
4_20115_2011.150685	5	2011.150685	4_20115
3_9381_2011.238356	4	2011.238356	3_9381
3_9380_2011.175342	4	2011.175342	3_9380
1_9923_2011.172603	2	2011.172603	1_9923
3_9379_2011.241096	4	2011.241096	3_9379
3_9376_2011.189041	4	2011.189041	3_9376
3_9373_2011.128767	4	2011.128767	3_9373
1_9921_2011.128767	2	2011.128767	1_9921
4_20114_2011.238356	5	2011.238356	4_20114
3_9372_2011.136986	4	2011.136986	3_9372
4_20110_2011.136986	5	2011.136986	4_20110
4_20109_2011.136986	5	2011.136986	4_20109
3_9371_2011.150685	4	2011.150685	3_9371
1_9919_2011.112329	2	2011.112329	1_9919
4_20105_2011.145205	5	2011.145205	4_20105
3_9370_2011.106849	4	2011.106849	3_9370
3_9369_2011.167123	4	2011.167123	3_9369
3_9367_2011.120548	4	2011.120548	3_9367
1_9918_2011.156164	2	2011.156164	1_9918
2_22604_2011.147945	3	2011.147945	2_22604
4_20100_2011.145205	5	2011.145205	4_20100
1_9916_2011.10411	2	2011.10411	1_9916
3_9365_2011.10137	4	2011.10137	3_9365
3_9362_2011.109589	4	2011.109589	3_9362
3_9361_2011.120548	4	2011.120548	3_9361
3_9360_2011.087671	4	2011.087671	3_9360
3_9358_2011.109589	4	2011.109589	3_9358
4_20099_2011.106849	5	2011.106849	4_20099
1_9915_2011.09589	2	2011.09589	1_9915
4_20098_2011.10137	5	2011.10137	4_20098
1_9914_2011.076712	2	2011.076712	1_9914
3_9356_2011.068493	4	2011.068493	3_9356
3_9355_2011.128767	4	2011.128767	3_9355
4_20094_2011.076712	5	2011.076712	4_20094
3_9354_2011.052055	4	2011.052055	3_9354
3_9353_2011.052055	4	2011.052055	3_9353
3_9351_2011.112329	4	2011.112329	3_9351
4_20088_2011.076712	5	2011.076712	4_20088
1_9913_2011.043836	2	2011.043836	1_9913
3_9350_2011.079452	4	2011.079452	3_9350
3_9349_2011.131507	4	2011.131507	3_9349
3_9348_2011.054795	4	2011.054795	3_9348
4_20085_2011.016438	5	2011.016438	4_20085
4_20084_2011.046575	5	2011.046575	4_20084
4_20080_2011.035616	5	2011.035616	4_20080
3_9346_2011.073973	4	2011.073973	3_9346
3_9345_2011.057534	4	2011.057534	3_9345
4_20079_2011.079452	5	2011.079452	4_20079
3_9343_2011.134247	4	2011.134247	3_9343
4_20073_2011.024658	5	2011.024658	4_20073
4_20071_2010.972603	5	2010.972603	4_20071
4_20070_2010.972603	5	2010.972603	4_20070
4_20068_2011.00274	5	2011.00274	4_20068
4_20067_2011.010959	5	2011.010959	4_20067
3_9335_2010.978082	4	2010.978082	3_9335
4_20066_2010.953425	5	2010.953425	4_20066
3_9334_2010.972603	4	2010.972603	3_9334
5_2758_2010.934247	6	2010.934247	5_2758
2_22602_2011.049315	3	2011.049315	2_22602
4_20064_2010.945205	5	2010.945205	4_20064
4_20063_2010.920548	5	2010.920548	4_20063
4_20062_2010.942466	5	2010.942466	4_20062
2_22601_2011.016438	3	2011.016438	2_22601
4_20060_2010.926027	5	2010.926027	4_20060
5_2757_2010.923288	6	2010.923288	5_2757
4_20059_2010.961644	5	2010.961644	4_20059
3_9326_2010.964384	4	2010.964384	3_9326
3_9324_2010.939726	4	2010.939726	3_9324
3_9322_2010.90411	4	2010.90411	3_9322
4_20056_2010.945205	5	2010.945205	4_20056
4_20055_2010.917808	5	2010.917808	4_20055
4_20054_2011.049315	5	2011.049315	4_20054
4_20053_2010.89863	5	2010.89863	4_20053
3_9321_2010.882192	4	2010.882192	3_9321
5_2754_2010.906849	6	2010.906849	5_2754
5_2753_2010.969863	6	2010.969863	5_2753
4_20052_2010.890411	5	2010.890411	4_20052
4_20049_2010.958904	5	2010.958904	4_20049
4_20048_2010.986301	5	2010.986301	4_20048
3_9317_2010.90411	4	2010.90411	3_9317
3_9316_2010.849315	4	2010.849315	3_9316
4_20044_2010.854795	5	2010.854795	4_20044
4_20043_2010.887671	5	2010.887671	4_20043
3_9313_2010.890411	4	2010.890411	3_9313
3_9312_2010.813699	4	2010.813699	3_9312
2_22598_2010.928767	3	2010.928767	2_22598
4_20037_2010.852055	5	2010.852055	4_20037
4_20036_2010.824658	5	2010.824658	4_20036
4_20034_2010.909589	5	2010.909589	4_20034
3_9307_2010.816438	4	2010.816438	3_9307
5_2748_2010.767123	6	2010.767123	5_2748
4_20032_2010.794521	5	2010.794521	4_20032
3_9305_2010.843836	4	2010.843836	3_9305
5_2747_2010.810959	6	2010.810959	5_2747
4_20031_2010.821918	5	2010.821918	4_20031
3_9303_2010.805479	4	2010.805479	3_9303
4_20028_2010.838356	5	2010.838356	4_20028
2_22597_2010.761644	3	2010.761644	2_22597
3_9300_2010.764384	4	2010.764384	3_9300
4_20025_2010.767123	5	2010.767123	4_20025
3_9299_2010.824658	4	2010.824658	3_9299
3_9297_2010.79726	4	2010.79726	3_9297
2_22595_2010.728767	3	2010.728767	2_22595
3_9296_2010.863014	4	2010.863014	3_9296
3_9294_2010.764384	4	2010.764384	3_9294
4_20018_2010.827397	5	2010.827397	4_20018
4_20017_2010.717808	5	2010.717808	4_20017
4_20015_2010.712329	5	2010.712329	4_20015
4_20014_2010.764384	5	2010.764384	4_20014
1_9912_2010.736986	2	2010.736986	1_9912
1_9911_2010.726027	2	2010.726027	1_9911
3_9292_2010.720548	4	2010.720548	3_9292
3_9291_2010.69863	4	2010.69863	3_9291
1_9909_2010.69589	2	2010.69589	1_9909
3_9287_2010.660274	4	2010.660274	3_9287
5_2745_2010.684932	6	2010.684932	5_2745
4_20005_2010.69589	5	2010.69589	4_20005
4_20004_2010.660274	5	2010.660274	4_20004
4_20002_2010.679452	5	2010.679452	4_20002
1_9906_2010.652055	2	2010.652055	1_9906
4_19999_2010.654795	5	2010.654795	4_19999
4_19998_2010.70137	5	2010.70137	4_19998
3_9286_2010.723288	4	2010.723288	3_9286
4_19994_2010.627397	5	2010.627397	4_19994
4_19993_2010.690411	5	2010.690411	4_19993
2_22590_2010.720548	3	2010.720548	2_22590
4_19991_2010.665753	5	2010.665753	4_19991
2_22589_2010.638356	3	2010.638356	2_22589
4_19990_2010.726027	5	2010.726027	4_19990
4_19988_2010.613699	5	2010.613699	4_19988
4_19986_2010.643836	5	2010.643836	4_19986
3_9284_2010.646575	4	2010.646575	3_9284
