"uniformS_150"	"maxPerRegion_150"	"maxPerRegionYear_150"	"uniform_150"	"biased_2.5_150"	"biased_5_150"	"biased_10_150"	"biased_20_150"	"biased_50_150"	"uniformS_500"	"maxPerRegion_500"	"maxPerRegionYear_500"	"uniform_500"	"biased_2.5_500"	"biased_5_500"	"biased_10_500"	"biased_20_500"	"biased_50_500"	"patch"	"year"
0	0	1	0	1	0	0	0	0	1	5	4	0	2	0	1	0	0	1	1990
0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1990
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1990
0	0	2	0	0	0	1	0	0	0	0	3	0	0	2	0	2	1	4	1990
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1990
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1990
2	3	3	2	2	1	2	1	0	0	4	6	12	2	5	1	1	0	1	1991
0	0	2	0	0	0	1	0	0	0	4	6	2	2	2	0	0	0	2	1991
0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	1991
0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	4	1991
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1991
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1991
0	3	2	2	2	0	0	0	0	2	9	7	7	5	4	0	0	0	1	1992
1	5	2	5	3	1	2	1	0	2	11	4	4	3	4	0	1	1	2	1992
0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	3	1992
0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	4	1992
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	1992
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1992
0	2	2	1	0	0	0	1	0	3	6	4	7	4	7	1	1	0	1	1993
0	1	1	1	3	1	2	0	1	0	6	9	10	2	1	0	1	0	2	1993
0	0	1	0	0	1	0	0	0	0	1	9	1	0	1	0	0	0	3	1993
0	0	2	0	1	0	1	0	0	0	0	5	0	0	0	3	0	1	4	1993
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1993
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1993
2	3	3	2	1	2	0	0	0	1	8	8	9	3	4	0	2	1	1	1994
0	4	1	0	0	0	0	0	0	2	8	4	8	4	3	1	1	0	2	1994
2	0	1	3	0	0	1	1	3	5	0	6	2	3	3	5	10	3	3	1994
0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	1994
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1994
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	1994
1	3	1	4	0	1	0	0	0	3	10	7	7	9	8	2	1	1	1	1995
1	4	1	1	2	0	0	1	0	2	10	4	8	3	4	0	0	0	2	1995
0	1	1	4	2	4	3	1	4	9	2	7	4	2	10	17	8	14	3	1995
0	0	2	0	0	0	0	1	0	0	1	5	0	0	0	0	0	0	4	1995
0	0	2	1	2	0	0	0	0	1	1	3	1	1	0	1	0	1	5	1995
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1995
3	5	1	2	2	0	0	0	0	3	14	8	17	6	3	1	0	0	1	1996
1	5	1	5	2	2	1	0	0	2	21	4	7	9	2	1	1	0	2	1996
1	2	1	3	2	4	2	9	6	10	5	6	7	8	12	13	20	19	3	1996
0	0	1	0	1	0	1	0	1	4	1	7	0	6	2	1	3	3	4	1996
0	0	1	0	0	0	1	0	0	0	5	8	7	3	2	1	0	1	5	1996
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1996
1	0	1	3	1	0	1	0	0	2	11	8	6	6	3	2	0	0	1	1997
1	1	1	0	0	0	0	0	0	0	5	5	4	1	2	0	1	0	2	1997
7	2	2	3	4	4	3	4	9	24	6	4	13	14	20	16	17	17	3	1997
0	1	2	0	1	4	3	0	1	4	6	4	2	6	4	5	7	10	4	1997
0	1	1	1	0	0	0	0	0	2	3	6	3	1	1	0	0	0	5	1997
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1997
0	0	1	2	2	0	0	0	0	0	3	5	4	6	3	0	0	0	1	1998
0	1	2	1	0	0	0	0	0	0	2	2	2	0	0	0	0	0	2	1998
7	4	2	1	7	4	9	13	5	26	11	6	12	18	27	25	24	23	3	1998
3	1	1	0	1	3	0	2	1	3	2	4	2	5	5	6	3	5	4	1998
0	2	1	1	1	0	1	1	0	4	3	8	2	1	1	0	0	0	5	1998
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1998
0	0	1	1	2	0	1	0	1	0	0	1	3	4	0	1	0	0	1	1999
0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	2	1999
3	2	1	1	5	5	2	6	13	21	4	4	7	23	17	17	34	22	3	1999
4	0	1	2	0	2	0	11	2	8	7	5	5	8	7	14	10	13	4	1999
1	2	2	3	0	1	0	0	1	1	9	4	8	5	4	0	1	1	5	1999
0	1	1	0	0	0	0	0	0	1	2	2	0	0	1	0	0	0	6	1999
0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	2000
0	0	1	0	0	0	0	0	0	0	1	2	4	0	0	1	0	0	2	2000
9	0	1	3	5	2	8	5	6	25	9	6	9	13	11	27	21	14	3	2000
5	2	2	0	0	0	1	4	2	7	5	7	3	2	10	1	3	6	4	2000
0	2	1	6	4	2	0	0	0	5	17	4	7	11	3	4	2	0	5	2000
0	2	1	0	2	0	0	0	0	1	3	3	1	0	0	0	1	0	6	2000
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2001
0	2	1	1	1	0	0	0	0	1	3	4	0	0	0	1	0	0	2	2001
8	3	1	7	5	12	6	11	8	17	6	6	13	28	28	31	26	37	3	2001
2	1	2	0	1	1	2	4	4	14	7	4	6	15	9	5	13	10	4	2001
1	5	2	4	2	1	1	3	0	4	3	7	9	7	6	3	1	2	5	2001
0	2	2	0	0	0	1	0	0	2	3	3	0	0	1	0	0	0	6	2001
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2002
0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2002
12	4	1	3	7	13	8	8	9	34	15	5	26	15	32	43	42	44	3	2002
3	2	2	3	1	4	2	2	4	14	8	5	5	10	11	10	12	14	4	2002
0	1	1	7	5	1	0	0	1	4	7	5	10	11	4	2	1	0	5	2002
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2002
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2003
0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2	2003
12	0	1	5	7	8	10	6	6	19	4	5	15	13	22	26	22	21	3	2003
1	2	1	3	0	7	5	5	6	15	8	6	9	10	16	14	10	19	4	2003
0	3	1	1	5	1	1	0	0	3	9	6	16	5	3	3	1	1	5	2003
0	0	4	0	0	0	0	0	0	1	4	4	1	0	1	0	1	0	6	2003
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2004
0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	2004
8	1	3	5	5	6	1	9	4	21	3	6	10	15	16	15	19	23	3	2004
0	2	1	4	1	3	4	5	3	16	10	5	6	10	9	21	21	27	4	2004
1	3	1	0	0	1	0	0	0	3	8	6	5	5	4	2	0	0	5	2004
0	1	1	0	0	0	0	0	0	0	2	2	2	1	1	2	0	0	6	2004
0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2005
1	1	2	1	0	1	0	0	0	2	2	4	0	1	0	1	1	0	2	2005
5	1	1	6	1	2	4	2	4	9	3	5	4	8	14	7	17	17	3	2005
6	1	1	2	3	2	2	3	5	11	11	6	4	12	11	14	4	7	4	2005
0	1	2	8	0	2	2	0	0	1	5	5	12	4	2	0	0	0	5	2005
1	6	1	1	0	0	0	0	0	0	8	5	5	1	1	0	0	0	6	2005
0	1	2	0	1	0	1	0	0	2	2	4	1	1	0	1	0	0	1	2006
0	0	3	1	4	0	0	0	0	0	4	6	4	4	1	1	0	0	2	2006
5	1	2	6	5	7	6	3	8	30	5	9	14	18	17	23	15	23	3	2006
2	3	2	2	1	1	6	3	1	8	5	4	6	4	6	8	13	8	4	2006
2	2	3	1	3	1	0	0	0	3	7	4	12	6	3	4	2	1	5	2006
0	3	1	0	0	1	0	0	0	0	7	7	3	0	0	0	0	0	6	2006
0	4	2	0	0	0	1	1	0	2	10	5	8	6	2	4	1	0	1	2007
0	0	2	0	0	0	2	0	0	0	5	6	2	2	2	1	1	1	2	2007
8	1	2	1	4	7	9	4	4	12	7	6	5	13	12	21	21	24	3	2007
1	1	1	2	1	1	1	3	0	4	2	5	3	4	4	9	6	4	4	2007
0	0	1	0	2	1	1	0	0	0	7	5	9	2	1	1	0	0	5	2007
0	5	1	1	1	0	0	0	0	1	9	5	3	0	0	0	0	0	6	2007
0	0	2	0	2	0	0	0	0	1	4	6	6	2	0	0	0	0	1	2008
0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	2008
2	2	2	2	5	2	11	5	9	14	5	6	6	19	17	16	24	20	3	2008
5	3	1	0	6	5	3	1	2	8	3	5	7	4	7	5	13	11	4	2008
0	2	1	2	0	2	0	0	2	1	3	8	7	4	1	2	1	0	5	2008
0	2	1	0	0	0	0	0	0	1	7	6	3	3	1	0	1	1	6	2008
0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	1	2009
0	0	1	0	0	0	0	0	0	0	2	2	0	1	2	0	0	0	2	2009
4	1	1	1	3	5	2	6	3	9	3	6	3	7	8	14	9	10	3	2009
2	3	2	0	0	2	4	2	4	13	5	5	3	7	11	11	8	6	4	2009
0	0	2	0	2	1	0	0	0	0	2	7	3	3	2	0	0	0	5	2009
0	3	1	0	0	0	0	0	0	1	5	5	1	0	0	0	0	0	6	2009
0	1	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	2010
0	0	1	1	0	0	0	0	0	0	2	2	0	2	0	0	0	0	2	2010
0	0	1	0	2	1	1	0	2	6	2	4	0	1	6	2	6	3	3	2010
2	0	1	0	0	1	0	0	1	3	3	5	0	2	1	0	2	2	4	2010
0	1	2	2	0	0	0	0	0	0	1	2	4	0	1	0	0	0	5	2010
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	2010
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2011
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2011
0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	3	2011
1	3	1	1	1	2	5	1	2	3	4	8	2	2	3	5	10	4	4	2011
0	0	1	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	5	2011
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2011
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2012
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2012
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2012
