# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Mar 21 09:06:57 CET 2022 [seed=1647850014557]
# -save_every 50000 -save_state tohma_dta3.states tohma_dta3.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	alpha	default.ucld.mean	default.ucld.stdev	traits.clock.rate	default.meanRate	default.coefficientOfVariation	default.covariance	traits.meanRate	traits.rates.Catanduanes.Cebu	traits.rates.Catanduanes.Luzon	traits.rates.Catanduanes.Mindanao	traits.rates.Catanduanes.Negros Oriental	traits.rates.Catanduanes.Oriental Mindoro	traits.rates.Cebu.Luzon	traits.rates.Cebu.Mindanao	traits.rates.Cebu.Negros Oriental	traits.rates.Cebu.Oriental Mindoro	traits.rates.Luzon.Mindanao	traits.rates.Luzon.Negros Oriental	traits.rates.Luzon.Oriental Mindoro	traits.rates.Mindanao.Negros Oriental	traits.rates.Mindanao.Oriental Mindoro	traits.rates.Negros Oriental.Oriental Mindoro	traits.rates.Cebu.Catanduanes	traits.rates.Luzon.Catanduanes	traits.rates.Mindanao.Catanduanes	traits.rates.Negros Oriental.Catanduanes	traits.rates.Oriental Mindoro.Catanduanes	traits.rates.Luzon.Cebu	traits.rates.Mindanao.Cebu	traits.rates.Negros Oriental.Cebu	traits.rates.Oriental Mindoro.Cebu	traits.rates.Mindanao.Luzon	traits.rates.Negros Oriental.Luzon	traits.rates.Oriental Mindoro.Luzon	traits.rates.Negros Oriental.Mindanao	traits.rates.Oriental Mindoro.Mindanao	traits.rates.Oriental Mindoro.Negros Oriental	traits.indicators.Catanduanes.Cebu	traits.indicators.Catanduanes.Luzon	traits.indicators.Catanduanes.Mindanao	traits.indicators.Catanduanes.Negros Oriental	traits.indicators.Catanduanes.Oriental Mindoro	traits.indicators.Cebu.Luzon	traits.indicators.Cebu.Mindanao	traits.indicators.Cebu.Negros Oriental	traits.indicators.Cebu.Oriental Mindoro	traits.indicators.Luzon.Mindanao	traits.indicators.Luzon.Negros Oriental	traits.indicators.Luzon.Oriental Mindoro	traits.indicators.Mindanao.Negros Oriental	traits.indicators.Mindanao.Oriental Mindoro	traits.indicators.Negros Oriental.Oriental Mindoro	traits.indicators.Cebu.Catanduanes	traits.indicators.Luzon.Catanduanes	traits.indicators.Mindanao.Catanduanes	traits.indicators.Negros Oriental.Catanduanes	traits.indicators.Oriental Mindoro.Catanduanes	traits.indicators.Luzon.Cebu	traits.indicators.Mindanao.Cebu	traits.indicators.Negros Oriental.Cebu	traits.indicators.Oriental Mindoro.Cebu	traits.indicators.Mindanao.Luzon	traits.indicators.Negros Oriental.Luzon	traits.indicators.Oriental Mindoro.Luzon	traits.indicators.Negros Oriental.Mindanao	traits.indicators.Oriental Mindoro.Mindanao	traits.indicators.Oriental Mindoro.Negros Oriental	traits.nonZeroRates	default.treeLikelihood	default.branchRates	traits.branchRates	c_traits.count[1]	c_counts_Catanduanes_Cebu[1]	c_counts_Catanduanes_Luzon[1]	c_counts_Catanduanes_Mindanao[1]	c_counts_Catanduanes_NegrosOriental[1]	c_counts_Catanduanes_OrientalMindoro[1]	c_counts_Cebu_Catanduanes[1]	c_counts_Cebu_Luzon[1]	c_counts_Cebu_Mindanao[1]	c_counts_Cebu_NegrosOriental[1]	c_counts_Cebu_OrientalMindoro[1]	c_counts_Luzon_Catanduanes[1]	c_counts_Luzon_Cebu[1]	c_counts_Luzon_Mindanao[1]	c_counts_Luzon_NegrosOriental[1]	c_counts_Luzon_OrientalMindoro[1]	c_counts_Mindanao_Catanduanes[1]	c_counts_Mindanao_Cebu[1]	c_counts_Mindanao_Luzon[1]	c_counts_Mindanao_NegrosOriental[1]	c_counts_Mindanao_OrientalMindoro[1]	c_counts_NegrosOriental_Catanduanes[1]	c_counts_NegrosOriental_Cebu[1]	c_counts_NegrosOriental_Luzon[1]	c_counts_NegrosOriental_Mindanao[1]	c_counts_NegrosOriental_OrientalMindoro[1]	c_counts_OrientalMindoro_Catanduanes[1]	c_counts_OrientalMindoro_Cebu[1]	c_counts_OrientalMindoro_Luzon[1]	c_counts_OrientalMindoro_Mindanao[1]	c_counts_OrientalMindoro_NegrosOriental[1]	c_reward_Catanduanes[1]	c_reward_Cebu[1]	c_reward_Luzon[1]	c_reward_Mindanao[1]	c_reward_NegrosOriental[1]	c_reward_OrientalMindoro[1]	c_allTransitions[1]	traits	coalescent
0	-37309.434352005694	-3228.0287915798413	-34081.405560425854	7.653687945268302	2002.4695997259616	45.628654001736905	1.0	2.0	0.5	1.0	0.3333333333333333	1.0	1.0086100543882377	0.3217684703821008	0.04133123123708507	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	30.0	-33694.88354764346	-2848.9064322329823	0.0	91.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	1.0	0.0	0.0	3.0	14.0	27.0	11.0	2.0	0.0	1.0	7.0	2.0	0.0	1.0	1.0	3.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.2304217530952828	2.4777705441239832	35.90229172760489	3.594856135610031	2.391087821967373	1.1089281268449613	89.0	"Negros Oriental"	-220.1770711727661
50000	-15786.447267701296	-3813.3819480393186	-11973.065319661977	9.251880136957201	2000.8714075342727	195.00509543092846	19.324572953863008	12.37060106934012	0.16761830029345168	0.010011048948834976	0.015498363704889282	0.04383141021542552	0.007744727609456235	1.3286745109372322	-0.02042968276942516	0.04383141021542556	0.1458637862902538	0.5289234313907815	0.3186259582086586	1.1659596464322803	0.25787460200304335	1.4538565115172088	2.6177477724567217	3.274092258511264	1.667280298621215	0.6891527325413186	0.4309800817480085	2.7978602577061147	0.10939891840284287	0.30934503955342824	1.4011565775684904	0.21914043427123714	0.23617674203563943	1.0187274983498191	0.560671812141748	0.24113799661208024	1.0467679114534465	0.2801345198941778	0.6028868468546393	0.3729204706027321	0.3016233244251149	0.8172199072976751	3.3760631543471242	0.883640654174019	0.6790245463741571	1.1340460604207745	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	-11893.227214275417	-2848.9064322329823	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	8.0	5.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3062775584200512	16.060463966722175	139.8956753777228	35.19314929045701	8.520206039479836	0.37527301989282663	18.0	"Luzon"	-916.1476703539905
100000	-13697.215885456291	-3916.049115929457	-9781.166769526833	13.79638948035899	1996.326898190871	285.4050263550227	29.36059595515617	10.766958324986161	0.17698908995449783	0.002737248350295538	0.0027924721899382533	0.014525092339736112	0.0026845098219187677	0.935014872666328	-0.03668090459994618	0.014525092339736104	0.12973276341217418	0.05219164452375565	0.6763719877840553	0.47953885450685513	0.10134016494791119	0.14117542285584367	0.9195416357877898	0.4817088128366133	0.2920356051263668	0.8797160778207911	0.42196462480643704	0.5688578761226301	0.5816821337828978	2.078248937335788	1.1801801096922024	0.10876058137011674	0.7802822591638435	0.41711879528049745	0.8468790512865401	0.7236120042063934	1.4633528545568433	2.391164984315627	3.367358993789547	0.47104461336232784	0.19571621806819595	0.4849380038479345	0.5963873768155651	1.0816999529020799	0.018562636760493356	0.144384665279115	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	-9728.616913923415	-2848.9064322329823	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	3.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.132884294823038	19.134077705182776	209.8447542347979	38.86137787491771	10.547962271804158	1.2418693589028715	11.0	"Luzon"	-1031.9022175268108
150000	-12507.989027230107	-3971.403370269832	-8536.585656960275	15.056807848991532	1995.0664798222383	358.94767971447635	39.94719831491495	13.14949304418208	0.25277841924773464	0.0016486603195618797	0.0011117393068276777	0.005906255794753623	0.001731163607086738	0.6058659762872173	0.05736639474081332	0.005906255794753622	0.545479947243464	1.9572790800238624	3.0648187672643368	1.5003674628711772	0.585967498616079	0.3437327134823608	0.31753012882328063	3.132074287124959	0.722564267693512	0.8075591331792962	0.9825702804597174	1.2164639562655897	0.6503683181554492	1.6357912816317595	0.34463028857511135	0.6955662803986158	0.6316169572686394	0.2698309484724141	2.396490781256533	0.19324606262352964	1.359711857878705	0.7833748476407537	1.707045491814923	0.3835597877678924	0.07008510109909118	1.1033609234855613	4.378118936050127	0.13756563613536324	0.24720989168430288	3.466115591823107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	-8499.509294136993	-2848.9064322329823	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7649752253027255	22.348737427102087	269.04238524705477	51.15381890191562	15.444146911570257	5.132392402856578	8.0	"Luzon"	-1078.0654392049844
200000	-11944.24245246117	-4005.112821484804	-7939.129630976366	37.05733613493865	1973.0659515362913	461.5831187738305	51.95706247055433	10.359586146873722	0.3323427215211634	0.0011695898361736713	8.226074854889695E-4	0.00524958886276026	0.0010601708447745637	0.6598949997647873	0.004937694225294742	0.0052495888627602585	0.2401963913981799	0.3307051889533248	0.9417581413402057	0.7294480575005777	0.8807765982870321	0.22255936260631715	0.08178771762078135	0.6667757622863162	2.0451187166500575	1.430516656924465	0.8356453193668519	0.6337443463404223	0.6705699848277247	1.0476566217444683	0.11171289389527073	0.03267018900687417	1.5665272723959909	2.2182147697912957	0.04475328554489776	0.5111789845468575	0.9462717790613573	0.931739964699973	0.8696512820839366	0.9562926154268961	1.3434191488357012	0.24058590341946576	1.294675331311701	0.41715558988792645	2.1933188197416262	0.23627065815485948	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	9.0	-7916.163716161687	-2848.9064322329823	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.948247297580711	81.89375766255215	254.31961692627655	97.4910621100843	24.43543271515954	1.2398058856530094	7.0	"Mindanao"	-1122.4044051174556
250000	-11776.322697814116	-4012.4206045711417	-7763.902093242974	23.62565408229535	1986.4976335889346	431.5713823166236	52.55152313715529	11.158482493239305	0.2959630026476475	0.0011662590520798953	7.22657194273092E-4	0.004223367324372442	0.0011371893740890133	0.6058372758054623	-0.03851337384569017	0.004223367324372439	0.3103114014299297	1.1139552685634055	1.8034702809039818	0.22968009548046622	0.461623567929912	2.347455820919283	0.042459894307166346	0.5634441524718101	0.7749728957895112	0.14233498787750298	1.142152779100625	0.5774300201248991	1.0795550904079585	1.9362965952563325	0.13244920016367606	0.49393993610510323	1.288285669635684	0.2236054839789767	1.3494188056546141	0.7693273575393325	0.5898020935337336	0.9798679621489432	0.30357523600158764	1.9654163956546071	1.9310575574999929	6.266540999488676	0.8915874515202399	0.002797737718090165	0.5918125776488664	3.3845364327076046	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	11.0	-7738.632584505304	-2848.9064322329823	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.217479190152658	53.690370784808536	292.90924157267403	54.694234839945565	16.101961751034526	4.896665099419418	7.0	"Cebu"	-1119.814484784167
300000	-11779.590296698821	-4025.3653356160958	-7754.224961082727	25.469922872267006	1984.653364798963	470.60058691021686	45.18369426127082	11.848772275082418	0.36632695439182766	0.001018460850978439	5.037191666775691E-4	0.004763400121404866	0.0010219908044907895	0.48225941448009924	-0.05894798677324822	0.004763400121404864	1.4324745268333112	0.3735909532575433	4.885933081649312	1.3342242269813684	0.2671736230386562	3.233206098232797	0.0031639962332166067	0.9499547099692799	0.17661406230028603	1.2438701455489867	1.0933922933617077	1.5831211112055927	0.40916996843416337	0.36015634898460513	2.2575448941804024	2.4164695955255264	1.354825778715743	0.7697008581561021	0.012055993488146753	3.385115066398944	0.363591589741715	1.0242132197333387	0.08878476428673171	0.41171071712190727	0.4004421358013448	0.1923333972440393	0.41849704975099183	0.808198250159966	2.9795426215181635	1.3530297089853116	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	9.0	-7728.724468544777	-2848.9064322329823	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.35725049077168	67.96338905864746	308.59083773927034	65.60579944522996	15.092842007447375	16.59638638674758	6.0	"Cebu"	-1131.9498871802787
350000	-11813.06011128665	-4076.0769472698785	-7736.983164016772	26.26797794596417	1983.8553097252657	528.899565177122	63.39828173492617	9.821695546893334	0.32956608749333327	9.507588768719511E-4	4.92379074398102E-4	0.007128626890151308	9.211167711701686E-4	0.5130836976129358	-0.007786520376050264	0.007128626890151304	0.12111440367977765	0.2531356014477856	0.7742945353421896	1.8936677740979846	2.202976229939411	0.9799142006268493	0.49653615192005746	1.142525518732665	1.526958236498919	0.5876916693861698	2.3053560261376136	1.236371942170825	0.652387866739865	0.11116230715910877	1.503324492545224	0.7278429698823079	1.042209777641516	1.5329903023940903	1.7259937701316033	0.07550670708961739	1.7481720936828278	0.013465734446245374	2.8386321945563764	0.8061975681706625	0.04970658877320209	1.0240685446252504	0.37354927685548817	4.261392119621573	0.15970525226143364	1.968161259489326	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	11.0	-7712.44025338078	-2848.9064322329823	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1059160025597468	56.175134055163134	370.79152236792515	70.80771543627077	23.08447454840282	9.464404699708686	7.0	"Cebu"	-1181.0944856109827
400000	-11837.403202804686	-4072.5685715339437	-7764.834631270743	28.713678421120854	1981.409609250109	552.2294195690639	55.576558015706524	12.034971536321141	0.40708171939117493	8.933324343149932E-4	4.449839718846763E-4	0.007493699361219578	9.090919674531858E-4	0.47520784264656607	-0.03787025391636187	0.007493699361219565	1.8446530356819255	0.016347330633660173	0.49260994164590394	0.6070189520158034	0.579735832088873	0.6675786822669522	0.2439452914371409	0.44656739888586533	3.599557795310036	1.1147350078988578	2.0743046474130122	0.529456729370549	0.4661644591013243	0.0010388454779232139	0.027133409476873867	1.1150056178789047	1.251018362775823	0.2481945264197674	0.3779024363493906	0.07938901860611404	0.5779682656855671	0.6845927249834497	0.9039762730638008	0.7953293791508685	1.081023400929224	0.021468533554157166	1.1601779476690732	3.643865384332988	0.23581656437482276	2.9949946089254933	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	10.0	-7740.653477167523	-2848.9064322329823	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	8.195474874730571	49.016688569230034	353.7069601882009	69.9457380666889	21.19350028118336	43.5666833083265	7.0	"Oriental Mindoro"	-1183.9199294962227
450000	-11842.363969809374	-4072.9451625539905	-7769.418807255383	23.936135840300942	1986.187151830929	556.0711054315819	63.56913724706206	11.041138702665657	0.3058415855897388	8.804737268929012E-4	3.713868961888809E-4	0.003632937407703972	8.837683951783334E-4	0.44117121385069935	0.05543272257923109	0.003632937407703975	0.1668560996822524	1.599443713341322	0.8848421527145871	4.157656955791365	1.2592924205161886	0.002243419415707829	1.5485936733420065	0.3198372899627824	1.1618299408745016	1.5516523933693671	1.0782890516775518	1.04827334271967	2.2398420919957194	1.4964938453314396	0.5446639276168914	0.11397538592044577	0.23807680762462963	0.13459010782854072	1.5181029200849987	0.05715065050527886	0.8978687863290824	1.99071243847927	0.6696824791493643	0.8957046436772741	0.3259309949790659	0.674562789846001	2.23121793618386	0.17179362942700194	0.22792829608004314	0.528718394740968	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	9.0	-7743.358910792162	-2848.9064322329823	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0	4.275399868069313	40.398187362788114	366.60186323209757	78.67112538884217	16.2253967749204	50.31740966915638	6.0	"Oriental Mindoro"	-1185.8597487928766
