value	parameter	model
0	nMigration_Africa_Americas	mascot
2	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
4	nMigration_Africa_Americas	mascot
7	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
3	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
3	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
4	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
3	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
3	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
2	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
3	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
2	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
2	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
3	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
2	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
3	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
2	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
6	nMigration_Africa_Americas	mascot
6	nMigration_Africa_Americas	mascot
5	nMigration_Africa_Americas	mascot
5	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
1	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
2	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
0	nMigration_Africa_Americas	mascot
