state	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	pInv	gammaShape	kappa	Mascot	Ne_Africa	Ne_Americas	Ne_Asia	Ne_China	Ne_Europe	Ne_Oceania	backwards_Africa_Americas	backwards_Africa_Asia	backwards_Africa_China	backwards_Africa_Europe	backwards_Africa_Oceania	backwards_Americas_Africa	backwards_Americas_Asia	backwards_Americas_China	backwards_Americas_Europe	backwards_Americas_Oceania	backwards_Asia_Africa	backwards_Asia_Americas	backwards_Asia_China	backwards_Asia_Europe	backwards_Asia_Oceania	backwards_China_Africa	backwards_China_Americas	backwards_China_Asia	backwards_China_Europe	backwards_China_Oceania	backwards_Europe_Africa	backwards_Europe_Americas	backwards_Europe_Asia	backwards_Europe_China	backwards_Europe_Oceania	backwards_Oceania_Africa	backwards_Oceania_Americas	backwards_Oceania_Asia	backwards_Oceania_China	backwards_Oceania_Europe	sum(indicatorsConstantBSSVS_)	nMigration_Africa_Americas	nMigration_Africa_Asia	nMigration_Africa_China	nMigration_Africa_Europe	nMigration_Africa_Oceania	nMigration_Americas_Africa	nMigration_Americas_Asia	nMigration_Americas_China	nMigration_Americas_Europe	nMigration_Americas_Oceania	nMigration_Asia_Africa	nMigration_Asia_Americas	nMigration_Asia_China	nMigration_Asia_Europe	nMigration_Asia_Oceania	nMigration_China_Africa	nMigration_China_Americas	nMigration_China_Asia	nMigration_China_Europe	nMigration_China_Oceania	nMigration_Europe_Africa	nMigration_Europe_Americas	nMigration_Europe_Asia	nMigration_Europe_China	nMigration_Europe_Oceania	nMigration_Oceania_Africa	nMigration_Oceania_Americas	nMigration_Oceania_Asia	nMigration_Oceania_China	nMigration_Oceania_Europe	nrMigrationEvents	forwards_Americas_Africa	forwards_Asia_Africa	forwards_China_Africa	forwards_Europe_Africa	forwards_Oceania_Africa	forwards_Africa_Americas	forwards_Asia_Americas	forwards_China_Americas	forwards_Europe_Americas	forwards_Oceania_Americas	forwards_Africa_Asia	forwards_Americas_Asia	forwards_China_Asia	forwards_Europe_Asia	forwards_Oceania_Asia	forwards_Africa_China	forwards_Americas_China	forwards_Asia_China	forwards_Europe_China	forwards_Oceania_China	forwards_Africa_Europe	forwards_Americas_Europe	forwards_Asia_Europe	forwards_China_Europe	forwards_Oceania_Europe	forwards_Africa_Oceania	forwards_Americas_Oceania	forwards_Asia_Oceania	forwards_China_Oceania	forwards_Europe_Oceania
10050000	-44652.626648765945	-44473.47030889119	-179.15633987475235	-44473.47030889119	0.3693120216340624	0.0010252073984394	0.5940866361991685	0.1930241767892392	7.436616689457071	-117.78167653797216	0.12195	0.12195	0.12195	0.12195	0.12195	0.12195	0.0	0.0	0.0	1.038705	0.0	0.0	0.0	3.538401	1.431993	3.770791	0.0	0.449304	2.296737	0.845911	7.505139	0.0	0.0	5.773817	0.0	7.523178	0.0	0.0	0.0	0.0	2.016182	0.0	0.0	0.201218	0.347423	0.0	13	0	0	0	0	0	0	1	0	0	0	0	0	22	0	1	0	4	6	0	1	1	3	2	0	0	0	10	20	33	8	112	0.0	0.0	0.0	1.038705	0.0	0.0	0.0	3.538401	1.431993	3.770791	0.0	0.449304	2.296737	0.845911	7.505139	0.0	0.0	5.773817	0.0	7.523178	0.0	0.0	0.0	0.0	2.016182	0.0	0.0	0.201218	0.347423	0.0
10100000	-44627.25698709366	-44461.96643711419	-165.29054997946432	-44461.96643711419	0.3046125973902507	0.0009986418555015554	0.7171044433254571	0.4025099563266363	6.7378092100668505	-105.13251334777812	0.13106	0.13106	0.13106	0.13106	0.13106	0.13106	0.0	0.048153	0.0	4.37658	0.334895	0.0	0.0	4.159778	1.692861	6.578421	0.0	0.0	6.120632	1.301601	3.782424	0.0	0.0	0.195763	0.0	6.49327	0.0	0.0	0.0	0.0	1.008119	0.0	0.0	0.0	0.0	0.0	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	11	0	0	1	3	2	0	0	0	8	6	39	6	84	0.0	0.048153	0.0	4.37658	0.334895	0.0	0.0	4.159778	1.692861	6.578421	0.0	0.0	6.120632	1.301601	3.782424	0.0	0.0	0.195763	0.0	6.49327	0.0	0.0	0.0	0.0	1.008119	0.0	0.0	0.0	0.0	0.0
10150000	-44662.91550487012	-44455.941370385335	-206.97413448478892	-44455.941370385335	0.3323913617150277	0.0010727454480676	0.7443053755746982	0.335619514740291	6.356864685026231	-144.06971057414924	0.147403	0.147403	0.147403	0.147403	0.147403	0.147403	0.0	0.0	0.0	1.716605	0.0	0.0	0.0	3.180175	0.924373	4.064498	0.572068	0.0	1.040535	3.239843	5.156684	0.0	0.0	1.038807	0.0	12.131486	0.0	0.0	0.0	0.0	1.879188	1.267762	0.0	0.0	0.0	0.0	12	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	3	0	0	1	3	4	0	0	0	6	16	53	7	103	0.0	0.0	0.0	1.716605	0.0	0.0	0.0	3.180175	0.9243730000000001	4.064498	0.572068	0.0	1.040535	3.239843	5.156684	0.0	0.0	1.038807	0.0	12.131486	0.0	0.0	0.0	0.0	1.879188	1.267762	0.0	0.0	0.0	0.0
10200000	-44727.8402166914	-44478.96390681705	-248.87630987434247	-44478.96390681705	0.3421394106494125	0.0009303146928208624	0.784823866200358	0.3641492334615287	6.600486070203148	-189.6356847240104	0.18092	0.18092	0.18092	0.18092	0.18092	0.18092	0.0	0.0	0.0	1.362022	0.0	0.0	0.0	5.831464	2.649048	2.849543	0.0	0.0	7.664754	2.237604	0.0	0.0	0.0	0.0	0.0	9.691525	0.0	0.0	0.839254	0.0	3.307804	0.0	0.0	0.0	0.0	0.0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	17	0	0	1	5	4	0	0	0	5	0	57	9	107	0.0	0.0	0.0	1.362022	0.0	0.0	0.0	5.831464	2.649048	2.849543	0.0	0.0	7.664754	2.237604	0.0	0.0	0.0	0.0	0.0	9.691525	0.0	0.0	0.839254	0.0	3.307804	0.0	0.0	0.0	0.0	0.0
10250000	-44732.89837178599	-44483.34565861101	-249.55271317497392	-44483.34565861101	0.3323785911123801	0.0008769110924164989	0.6233081301987305	0.3714489492200424	6.334370292919385	-191.1681907289574	0.160149	0.160149	0.160149	0.160149	0.160149	0.160149	0.124317	0.316158	0.0	3.54952	0.517631	0.0	0.0	6.779585	1.090764	0.517021	0.0	0.0	4.1892	2.264789	2.844772	0.0	0.041661	1.475051	0.245008	12.201712	0.0	0.0	0.0	0.0	3.296654	0.084523	0.0	0.0	0.0	0.0	16	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	17	6	0	0	1	2	5	1	0	0	0	9	53	8	107	0.124317	0.316158	0.0	3.54952	0.517631	0.0	0.0	6.779585	1.090764	0.517021	0.0	0.0	4.1892	2.264789	2.844772	0.0	0.041661	1.475051	0.245008	12.201712	0.0	0.0	0.0	0.0	3.296654	0.084523	0.0	0.0	0.0	0.0
10300000	-44727.561182379046	-44453.51428181322	-274.0469005658228	-44453.51428181322	0.3750093553016788	0.0007928768640633416	0.8136091975656494	0.606636629335781	6.812375710591792	-204.30369271024895	0.194732	0.194732	0.194732	0.194732	0.194732	0.194732	0.0	0.0	0.0	1.092721	0.0	0.0	0.0	8.542314	1.284234	0.0	0.0	0.0	3.885883	0.913239	12.530335	0.0	0.0	0.0	0.0	16.116915	0.0	0.0	0.0	0.0	2.480932	0.0	0.0	0.0	0.0	0.0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	7	0	0	1	4	1	0	0	0	0	19	65	9	121	0.0	0.0	0.0	1.092721	0.0	0.0	0.0	8.542314	1.284234	0.0	0.0	0.0	3.885883	0.913239	12.530335	0.0	0.0	0.0	0.0	16.116915	0.0	0.0	0.0	0.0	2.480932	0.0	0.0	0.0	0.0	0.0
10350000	-44733.396774754205	-44475.78704717141	-257.609727582794	-44475.78704717141	0.3671649466617515	0.0008536603586869351	0.7538777709000749	0.4763747410041857	6.003810757730994	-202.29464994968768	0.174854	0.174854	0.174854	0.174854	0.174854	0.174854	0.44908	0.0	0.0	3.506219	0.0	0.0	0.0	2.11874	1.742976	2.71251	0.0	0.0	5.651728	1.246201	5.003859	0.0	2.250025	2.443024	0.0	7.568662	0.0	0.0	0.0	0.0	3.08017	0.0	0.0	0.0	0.0	0.0	12	0	0	0	0	0	0	0	10	0	0	0	0	3	0	0	0	6	9	0	0	1	4	2	0	0	0	9	15	38	11	108	0.44908	0.0	0.0	3.5062189999999998	0.0	0.0	0.0	2.11874	1.742976	2.71251	0.0	0.0	5.651728	1.246201	5.003859	0.0	2.250025	2.443024	0.0	7.568662000000001	0.0	0.0	0.0	0.0	3.08017	0.0	0.0	0.0	0.0	0.0
10400000	-44749.75131067826	-44469.96222417962	-279.7890864986351	-44469.96222417962	0.3880787268863627	0.0007998020660416852	0.7788112578782594	0.6080971541148843	5.263027770711824	-214.72502477179577	0.174822	0.174822	0.174822	0.174822	0.174822	0.174822	0.0	2.32729	0.0	1.705721	0.0	0.0	0.335797	0.337894	2.207194	4.476227	0.0	0.0	5.311884	6.371262	5.101365	0.0	2.343433	0.656652	0.0	6.246912	0.0	0.0	0.0	0.0	3.197611	0.0	0.0	0.0	0.010678	0.567793	15	0	0	0	0	0	0	0	5	0	0	0	2	3	0	0	0	4	10	0	0	1	2	9	0	3	0	8	10	28	8	93	0.0	2.32729	0.0	1.7057210000000003	0.0	0.0	0.335797	0.337894	2.207194	4.476227	0.0	0.0	5.311884	6.371262	5.101365	0.0	2.343433	0.656652	0.0	6.246912	0.0	0.0	0.0	0.0	3.197611	0.0	0.0	0.0	0.010678	0.567793
10450000	-44707.03654057378	-44459.54474097105	-247.49179960273804	-44459.54474097105	0.3525088462257008	0.0008630901923335538	0.3139234870610224	0.0914073150814495	6.722611935868813	-180.32290283946412	0.156898	0.156898	0.156898	0.156898	0.156898	0.156898	1.382122	0.0	0.0	2.262334	0.0	0.0	0.0	0.0	3.030824	5.12736	0.0	0.0	0.0	0.0	9.525128	0.0	0.0	4.834524	0.0	8.704131	0.0	0.0	0.0	0.0	0.811568	0.0	0.0	0.0	0.0	5.379974	9	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	1	8	0	0	29	0	7	28	54	3	145	1.382122	0.0	0.0	2.262334	0.0	0.0	0.0	0.0	3.030824	5.12736	0.0	0.0	0.0	0.0	9.525128	0.0	0.0	4.834524	0.0	8.704131	0.0	0.0	0.0	0.0	0.8115679999999998	0.0	0.0	0.0	0.0	5.379974
10500000	-44756.22060135478	-44490.59065146272	-265.62994989205447	-44490.59065146272	0.3560535023228602	0.0008728796587809565	0.6607257714840071	0.0177912051403099	4.63929781211211	-200.0702569106862	0.142572	0.142572	0.142572	0.142572	0.142572	0.142572	0.0	0.0	0.0	3.489283	0.0	1.368409	0.0	0.592066	2.259237	2.213765	0.0	0.0	1.16997	5.189691	3.464067	2.431119	3.365281	3.790706	0.0	5.544041	0.592881	0.0	0.0	0.308508	0.0	0.0	0.0	0.0	0.0	3.244882	15	0	0	15	2	0	0	0	8	0	0	0	0	11	0	0	0	2	5	0	0	8	9	7	0	13	0	6	5	13	0	104	0.0	0.0	0.0	3.489283	0.0	1.368409	0.0	0.592066	2.259237	2.213765	0.0	0.0	1.16997	5.189691	3.464067	2.431119	3.365281	3.790706	0.0	5.544041	0.592881	0.0	0.0	0.308508	0.0	0.0	0.0	0.0	0.0	3.244882
