Sample	posterior	likelihood	prior	treeLikelihood.sim1_biased_20_150	structuredCoalescent	treeHeight	migration.indicator.1	migration.indicator.2	migration.indicator.3	migration.indicator.4	migration.indicator.5	migration.indicator.6	Ne.Region1	Ne.Region2	Ne.Region3	b_migration.Region1_to_Region2	b_migration.Region1_to_Region3	b_migration.Region2_to_Region1	b_migration.Region2_to_Region3	b_migration.Region3_to_Region1	b_migration.Region3_to_Region2	sum(migration.indicator.)	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-925538.9278616732	-925250.2452421694	-288.68261950378536	-925250.2452421694	-271.029767727029	27.211435082442605	1	1	1	1	1	1	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	6	1.0	2.0	0.25	0.25	0.25	0.25
2000	-48050.073597314615	-47913.4008558195	-136.67274149511312	-47913.4008558195	-116.23804752712599	27.21143573210778	1	1	1	0	0	1	0.302549	0.302549	0.302549	1.707717	6.241632	1.320480	0.0	0.0	7.370318	4	0.007441998214481981	2.0	0.25	0.25	0.25	0.25
4000	-40589.83865219102	-40267.33173187946	-322.50692031156564	-40267.33173187946	-305.3181550608151	27.71868583849573	0	0	1	1	1	1	0.958831	0.958831	0.958831	0.0	0.0	5.202045	2.163404	0.034336	3.195508	4	0.0014501588716866929	2.0	0.25	0.25	0.25	0.25
6000	-37584.375489549006	-37180.44549300133	-403.9299965476769	-37180.44549300133	-384.94960356451065	27.71868656058961	0	0	1	1	1	1	1.072244	1.072244	1.072244	0.0	0.0	4.044931	1.122770	0.076134	0.609059	4	0.001037762388185976	1.393459615376925	0.2551501468131309	0.25	0.25	0.24484985318686905
8000	-35700.09383979436	-35243.8729068859	-456.22093290845606	-35243.8729068859	-431.8455920099695	27.71868658134839	1	0	0	1	1	0	1.389238	1.389238	1.389238	0.492007	0.0	0.0	2.521504	0.136953	0.0	3	7.991954111701075E-4	1.4483096824396744	0.2556315286467593	0.2495186181663716	0.25	0.24484985318686905
10000	-33508.68067247435	-33031.87351860221	-476.80715387213894	-33031.87351860221	-462.3175548520671	27.187875349541052	1	0	1	1	1	1	1.832477	1.832477	1.832477	0.505771	0.0	0.057611	0.347418	0.144970	0.557126	5	6.536825022975799E-4	1.713024608675383	0.2556315286467593	0.2495186181663716	0.25	0.24484985318686905
12000	-32205.386823316687	-31691.092094881205	-514.2947284354796	-31691.092094881205	-498.42397778039515	27.434214932410733	1	1	0	1	1	1	2.289171	2.289171	2.289171	0.205356	0.167335	0.0	0.312543	0.413316	0.105221	5	5.006977975237503E-4	1.7863761471567143	0.2556315286467593	0.2495186181663716	0.25	0.24484985318686905
14000	-31002.576527016467	-30470.267672444174	-532.3088545722948	-30470.267672444174	-514.7215214958511	27.42350864820661	0	1	1	0	1	1	2.493340	2.493340	2.493340	0.0	1.700088	0.182523	0.0	1.927048	0.466128	4	4.4937408838277576E-4	1.7863761471567143	0.2556315286467593	0.2495186181663716	0.25	0.24484985318686905
16000	-30045.550180203412	-29495.00332375499	-550.546856448423	-29495.00332375499	-529.7315700901199	27.45780689760247	0	1	1	0	0	1	3.606568	3.606568	3.606568	0.0	0.828340	0.131769	0.0	0.0	0.241936	3	3.7642415868295825E-4	1.7863761471567143	0.2556315286467593	0.2495186181663716	0.25	0.24484985318686905
18000	-29288.962643534727	-28739.5014355636	-549.4612079711268	-28739.5014355636	-532.9939432989219	27.45780600134198	1	0	0	1	1	0	3.221436	3.221436	3.221436	0.243309	0.0	0.0	0.202627	0.092070	0.0	3	3.588765565503114E-4	1.6985390664369566	0.2584155317924804	0.2495186181663716	0.24568159765103126	0.2463842523901167
