Sample	posterior	likelihood	prior	treeLikelihood.sim1_maxPerRegion_500	structuredCoalescent	treeHeight	migration.indicator.1	migration.indicator.2	migration.indicator.3	migration.indicator.4	migration.indicator.5	migration.indicator.6	Ne.Region1	Ne.Region2	Ne.Region3	b_migration.Region1_to_Region2	b_migration.Region1_to_Region3	b_migration.Region2_to_Region1	b_migration.Region2_to_Region3	b_migration.Region3_to_Region1	b_migration.Region3_to_Region2	sum(migration.indicator.)	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-1898702.8004851881	-1897683.4840220276	-1019.3164631604683	-1897683.4840220276	-1001.6636113837119	29.451606874020072	1	1	1	1	1	1	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	6	1.0	2.0	0.25	0.25	0.25	0.25
4000	-120797.48259302012	-119896.30587808814	-901.1767149319725	-119896.30587808814	-881.2318913820687	29.897143838795255	0	0	1	0	0	1	0.768801	0.768801	0.768801	0.0	0.0	9.399100	0.0	0.0	10.230748	2	0.003662888840234153	3.4135684097200873	0.26829136607289084	0.2419873083906258	0.23972132553648343	0.25
8000	-106721.88574338249	-105526.31930660446	-1195.5664367780294	-105526.31930660446	-1178.4675628809603	30.033986530659394	0	1	1	0	0	1	1.092951	1.092951	1.092951	0.0	0.480862	8.674689	0.0	0.0	4.273938	3	0.002613185949491206	3.4135684097200873	0.25997289661908224	0.23464753722059212	0.2470610967065171	0.2583184694538086
12000	-99024.86655600285	-97628.18933928691	-1396.6772167159377	-97628.18933928691	-1378.9742404830129	30.266208850713546	0	1	1	0	1	0	1.975177	1.975177	1.975177	0.0	0.053332	3.441421	0.0	2.891120	0.0	3	0.0018826710647762274	2.4833195938258905	0.2604332567543986	0.23418717708527576	0.2470610967065171	0.2583184694538086
16000	-89649.68652226233	-88070.098925073	-1579.587597189324	-88070.098925073	-1560.9370010896714	30.347257147429346	0	1	1	0	1	0	2.261879	2.261879	2.261879	0.0	0.091074	2.728621	0.0	1.500186	0.0	3	0.0014196634746720478	1.4259603107607448	0.2604332567543986	0.22753430211842338	0.25371397167336945	0.2583184694538086
20000	-81566.81471347612	-79848.13362862302	-1718.6810848531002	-79848.13362862302	-1698.821969422732	30.34725822516444	1	1	1	0	1	0	3.181631	3.181631	3.181631	0.243548	0.037819	2.924841	0.0	1.453781	0.0	4	0.0010500990552488067	1.4259603107607448	0.26641746981404624	0.21709874830539022	0.25152101875691996	0.2649627631236436
24000	-75633.2439304335	-73771.00163904074	-1862.2422913927658	-73771.00163904074	-1841.6031008973453	30.380387498071535	1	1	1	0	1	1	3.672183	3.672183	3.672183	0.100023	0.102116	1.468980	0.0	0.977367	0.059400	5	8.816999696421774E-4	1.4259603107607448	0.27872747837905976	0.20963263627384665	0.23897473870360275	0.27266514664349084
28000	-71247.42350163907	-69335.18328073148	-1912.2402209075888	-69335.18328073148	-1892.9064156826678	30.38037909679932	0	1	1	0	0	1	3.817312	3.817312	3.817312	0.0	0.322476	1.645306	0.0	0.0	0.237560	3	7.177703998311366E-4	1.8688857007412027	0.27872747837905976	0.20963263627384665	0.23897473870360275	0.27266514664349084
32000	-67261.57225265967	-65256.007748534896	-2005.5645041247753	-65256.007748534896	-1982.4419211160398	29.423020559858784	0	1	1	0	0	1	4.853258	4.853258	4.853258	0.0	0.288746	1.757065	0.0	0.0	0.250595	3	6.001551921697549E-4	1.8688857007412027	0.27872747837905976	0.20963263627384665	0.23897473870360275	0.27266514664349084
36000	-64738.21054967461	-62646.632277099394	-2091.578272575211	-62646.632277099394	-2066.1139125703717	29.50245278400986	0	1	1	0	0	1	4.886865	4.886865	4.886865	0.0	0.270071	1.294748	0.0	0.0	0.166476	3	5.509048624928643E-4	1.8688857007412027	0.27948904094275695	0.21641448404330255	0.23730541503078495	0.26679105998315555
