Sample	posterior	likelihood	prior	treeLikelihood.sim3_uniform_150	structuredCoalescent	treeHeight	migration.indicator.1	migration.indicator.2	migration.indicator.3	migration.indicator.4	migration.indicator.5	migration.indicator.6	Ne.Region1	Ne.Region2	Ne.Region3	b_migration.Region1_to_Region2	b_migration.Region1_to_Region3	b_migration.Region2_to_Region1	b_migration.Region2_to_Region3	b_migration.Region3_to_Region1	b_migration.Region3_to_Region2	sum(migration.indicator.)	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-949390.8612594003	-949076.1884379379	-314.672821462338	-949076.1884379379	-296.6392819959991	30.669087397363878	1	1	1	1	1	1	1.000000	1.000000	1.000000	1.152353	1.055889	1.124841	0.999147	1.117984	0.930475	6	1.0	2.0	0.25	0.25	0.25	0.25
2000	-192640.64610573195	-192533.43367053452	-107.21243519743943	-192533.43367053452	-82.79003252808755	30.669087916378835	1	0	1	0	0	1	0.211641	0.211641	0.211641	10.926305	0.0	6.052102	0.0	0.0	29.006209	3	0.17379845792667212	2.0	0.25	0.25	0.25	0.25
4000	-49441.61721670303	-49358.06056618709	-83.55665051594089	-49358.06056618709	-63.43300522657069	30.42351897545338	1	1	1	0	1	0	0.128961	0.128961	0.128961	5.993447	0.989658	5.004815	0.0	13.933613	0.0	4	0.013191934388915548	2.873565504939786	0.25885204888429136	0.24114795111570864	0.25	0.25
6000	-39198.7182917242	-38971.60412357111	-227.11416815309195	-38971.60412357111	-212.9851971792052	30.80853177382474	0	1	0	1	1	1	0.381170	0.381170	0.381170	0.0	2.332296	0.0	6.402956	0.157897	1.622501	4	0.0017259469901896632	2.873565504939786	0.2596642508830057	0.24114795111570864	0.2479429397072138	0.2512448582940719
8000	-36781.71014868451	-36485.98262461893	-295.7275240655798	-36485.98262461893	-275.78926795782314	28.623283224077774	1	0	1	1	1	0	0.532757	0.532757	0.532757	1.139065	0.0	0.385270	5.749410	0.347244	0.0	4	0.0014272209129242526	2.873565504939786	0.25957893989969066	0.2412332620990237	0.2479429397072138	0.2512448582940719
10000	-34062.254334075544	-33711.62718317255	-350.62715090299184	-33711.62718317255	-330.2124864425203	28.62328328965001	1	0	1	1	1	0	1.004712	1.004712	1.004712	2.377226	0.0	13.004954	1.312381	1.365011	0.0	4	9.855846631679063E-4	2.873565504939786	0.25957893989969066	0.2412332620990237	0.2479429397072138	0.2512448582940719
12000	-32600.85300083358	-32220.25717758709	-380.59582324649074	-32220.25717758709	-365.8098892311774	28.623279786680985	1	0	1	1	0	1	0.977750	0.977750	0.977750	2.754309	0.0	6.118464	0.303647	0.0	1.451567	4	8.637857931287401E-4	2.873565504939786	0.2632757616492907	0.23900906082138584	0.24647031923525167	0.2512448582940719
14000	-31607.403550136325	-31209.477832718636	-397.9257174176879	-31209.477832718636	-382.66742945072474	28.62328078681824	1	0	1	1	1	0	0.987385	0.987385	0.987385	0.787153	0.0	0.335618	0.276546	0.500809	0.0	4	7.244279569905372E-4	2.873565504939786	0.2632757616492907	0.2311447405051359	0.24647031923525167	0.25910917861032184
16000	-30375.23040223778	-29948.32251949644	-426.9078827413381	-29948.32251949644	-413.8124463423043	28.623280467426078	1	0	1	1	0	1	1.281650	1.281650	1.281650	0.383932	0.0	0.349436	0.269407	0.0	0.327409	4	5.765775927140266E-4	2.873565504939786	0.27258398766946296	0.2311447405051359	0.23716209321507942	0.25910917861032184
18000	-29831.137964465524	-29389.882515490448	-441.25544897507655	-29389.882515490448	-425.6389107779448	28.63350101982448	1	0	1	1	1	1	1.275101	1.275101	1.275101	0.284949	0.0	0.200107	0.298250	0.564966	0.175744	5	5.204546982141207E-4	1.7587419366643489	0.27258398766946296	0.2311447405051359	0.23716209321507942	0.25910917861032184
20000	-29168.27659721966	-28712.868599950296	-455.40799726936586	-28712.868599950296	-442.0777514628997	28.633500378249984	0	1	1	0	0	1	1.374771	1.374771	1.374771	0.0	0.308886	0.309164	0.0	0.0	0.419906	3	4.546695816568588E-4	1.7587419366643489	0.27258398766946296	0.2311447405051359	0.23716209321507942	0.25910917861032184
22000	-28727.619535015405	-28268.27541550459	-459.344119510815	-28268.27541550459	-442.96531040823146	28.81102483879064	1	1	1	1	0	1	1.585220	1.585220	1.585220	0.154383	0.141634	0.241708	0.137095	0.0	0.329008	5	4.327310525557692E-4	1.7587419366643489	0.27258398766946296	0.2311447405051359	0.23716209321507942	0.25910917861032184
24000	-27938.80590925547	-27463.25850851688	-475.547400738589	-27463.25850851688	-460.03290454178244	29.05404871794632	1	1	1	0	0	1	1.565745	1.565745	1.565745	0.039878	0.296876	0.525443	0.0	0.0	0.553537	4	3.996613674447378E-4	1.7587419366643489	0.2762163495578453	0.2311447405051359	0.23046888716845287	0.26217002276856605
26000	-27317.550029191094	-26809.843165834325	-507.70686335676925	-26809.843165834325	-482.0310805371345	29.15155297732379	1	1	1	0	0	1	1.800700	1.800700	1.800700	0.157997	0.068945	0.296766	0.0	0.0	0.209926	4	3.401982620702405E-4	1.7587419366643489	0.2762163495578453	0.2311447405051359	0.23046888716845287	0.26217002276856605
28000	-27010.322659504327	-26497.729939427827	-512.5927200765008	-26497.729939427827	-491.1732199228285	29.06216176985618	0	1	1	0	0	1	2.130714	2.130714	2.130714	0.0	0.141579	0.329337	0.0	0.0	0.360940	3	3.103660923665559E-4	1.7587419366643489	0.2762163495578453	0.2311447405051359	0.23046888716845287	0.26217002276856605
30000	-26835.910720556993	-26322.296988847724	-513.6137317092702	-26322.296988847724	-499.8707829624698	29.13190991647612	0	1	1	0	0	1	2.290714	2.290714	2.290714	0.0	0.073959	0.195161	0.0	0.0	0.593762	3	2.9577207766166304E-4	1.830178403674132	0.2762163495578453	0.22521221448778453	0.23046888716845287	0.2681025487859174
32000	-26549.80763371955	-26048.389967838382	-501.4176658811661	-26048.389967838382	-485.71515699093965	29.387412271389323	1	1	1	0	0	1	2.832877	2.832877	2.832877	0.171582	0.059877	0.289146	0.0	0.0	0.359594	4	3.1853401328793736E-4	2.2474245365014314	0.2762163495578453	0.22521221448778453	0.23046888716845287	0.2681025487859174
34000	-26363.7896980079	-25849.346293922074	-514.4434040858239	-25849.346293922074	-497.884940415848	29.387532869633844	1	1	1	0	0	1	2.118053	2.118053	2.118053	0.190642	0.044660	0.247168	0.0	0.0	0.146775	4	2.959521176904391E-4	2.2474245365014314	0.2762163495578453	0.22521221448778453	0.23046888716845287	0.2681025487859174
36000	-26092.164832449307	-25586.382699282898	-505.78213316641086	-25586.382699282898	-488.9443198030088	29.40589710393174	1	1	1	0	0	1	2.204011	2.204011	2.204011	0.082790	0.109442	0.186147	0.0	0.0	0.308418	4	2.901640316157245E-4	2.2474245365014314	0.2762163495578453	0.22521221448778453	0.23046888716845287	0.2681025487859174
38000	-25963.441460926704	-25449.077768719162	-514.3636922075432	-25449.077768719162	-501.66824723303984	29.476719207802592	0	1	1	0	0	1	2.224765	2.224765	2.224765	0.0	0.082412	0.401078	0.0	0.0	0.715687	3	2.750330790538231E-4	1.5880096115030995	0.2772639939872775	0.22647752114652916	0.2292795174639852	0.2669789674022082
40000	-25791.770427827665	-25277.829174905026	-513.9412529226403	-25277.829174905026	-495.7089611090957	29.47661663447395	1	0	1	1	0	1	2.240944	2.240944	2.240944	0.210334	0.0	0.242600	0.312272	0.0	0.494874	4	2.6746789429326544E-4	2.0226712422287383	0.2772639939872775	0.22647752114652916	0.2292795174639852	0.2669789674022082
42000	-25722.949486143592	-25220.362117541095	-502.5873686024962	-25220.362117541095	-486.51076482712455	29.45124579604319	1	0	1	0	0	1	2.566914	2.566914	2.566914	0.216144	0.0	0.108433	0.0	0.0	0.238014	3	2.6332786885910515E-4	2.0226712422287383	0.27696482817888335	0.22647752114652916	0.22957868327237935	0.2669789674022082
44000	-25483.33286078173	-24977.300780375506	-506.0320804062245	-24977.300780375506	-489.1574623083865	29.45121980120251	1	1	1	0	0	1	2.422486	2.422486	2.422486	0.079123	0.039845	0.103512	0.0	0.0	0.274317	4	2.6955952501412516E-4	2.0226712422287383	0.27696482817888335	0.22647752114652916	0.22957868327237935	0.2669789674022082
46000	-25355.8528599467	-24866.328354055262	-489.52450589143535	-24866.328354055262	-473.7388746949854	29.451309627704227	1	0	1	1	0	1	2.253852	2.253852	2.253852	0.128882	0.0	0.143802	0.067094	0.0	0.177367	4	2.527115197990507E-4	2.0226712422287383	0.2777957384327481	0.22647752114652916	0.22874777301851465	0.2669789674022082
48000	-25093.08409468634	-24604.995313245265	-488.08878144107314	-24604.995313245265	-473.5088965191961	30.506741099757523	1	1	1	0	0	1	2.215494	2.215494	2.215494	0.173425	0.088403	0.098237	0.0	0.0	0.385647	4	2.342369646152987E-4	2.0226712422287383	0.2777957384327481	0.22343748477221767	0.23178780939282614	0.2669789674022082
50000	-24970.322435861184	-24482.093953165622	-488.2284826955614	-24482.093953165622	-472.83537359403266	30.506853006482263	1	0	1	0	1	0	2.723158	2.723158	2.723158	0.349307	0.0	0.125024	0.0	0.286112	0.0	3	2.5213194010146044E-4	2.0226712422287383	0.2777957384327481	0.22343748477221767	0.23178780939282614	0.2669789674022082
52000	-24933.1269279428	-24454.97413264018	-478.1527953026212	-24454.97413264018	-462.0762831197828	30.5069150992103	1	1	1	0	0	1	2.430802	2.430802	2.430802	0.226855	0.042787	0.100207	0.0	0.0	0.266958	4	2.576982421187137E-4	2.0226712422287383	0.2777957384327481	0.22028048613583368	0.2351193275508882	0.2668044478805302
54000	-24913.100723293115	-24428.21726966175	-484.8834536313645	-24428.21726966175	-466.9099041640961	30.51755466939159	1	1	1	1	1	1	2.239624	2.239624	2.239624	0.140014	0.015406	0.123100	0.029128	0.294502	0.025926	6	2.436800063863721E-4	2.0226712422287383	0.2844524099477506	0.22028048613583368	0.22846265603588564	0.2668044478805302
56000	-24919.676383393096	-24437.45910184371	-482.2172815493867	-24437.45910184371	-465.02054319268655	30.269786005299146	1	0	1	0	1	0	2.093349	2.093349	2.093349	0.205640	0.0	0.236784	0.0	0.106645	0.0	3	2.843797438510236E-4	2.0226712422287383	0.2844524099477506	0.22028048613583368	0.22846265603588564	0.2668044478805302
58000	-24911.490132668678	-24435.982771843017	-475.50736082566226	-24435.982771843017	-461.7146154389864	30.269616534948444	1	1	1	0	0	1	2.167598	2.167598	2.167598	0.197990	0.042539	0.169272	0.0	0.0	0.115075	4	2.5170263691722894E-4	2.0226712422287383	0.2844524099477506	0.22028048613583368	0.2294638667365239	0.26580323717989196
60000	-24928.485471164648	-24431.647347459493	-496.8381237051544	-24431.647347459493	-473.8131762013373	30.26984292580655	1	0	1	0	0	1	2.544903	2.544903	2.544903	0.275422	0.0	0.194766	0.0	0.0	0.237967	3	2.476820194006831E-4	2.0226712422287383	0.2844524099477506	0.22072871605718852	0.2294638667365239	0.2653550072585371
62000	-24912.634445398333	-24437.044283241772	-475.5901621565601	-24437.044283241772	-459.76773360324637	30.332771634605493	1	0	1	0	0	1	2.373338	2.373338	2.373338	0.180033	0.0	0.126250	0.0	0.0	0.220771	3	2.636678748107101E-4	2.0226712422287383	0.2844524099477506	0.22072871605718852	0.2294638667365239	0.2653550072585371
64000	-24921.37740283666	-24446.941941103963	-474.43546173269857	-24446.941941103963	-459.4098012829819	30.332535897971816	1	0	1	0	1	1	2.153568	2.153568	2.153568	0.129062	0.0	0.088089	0.0	0.087590	0.118425	4	2.417443494524373E-4	2.0226712422287383	0.2844524099477506	0.22072871605718852	0.2294638667365239	0.2653550072585371
66000	-24906.04506338538	-24421.75365302266	-484.2914103627196	-24421.75365302266	-466.6022887433918	30.3325824364051	1	0	1	0	0	1	2.758759	2.758759	2.758759	0.207792	0.0	0.106171	0.0	0.0	0.195386	3	2.634944367814765E-4	2.0226712422287383	0.2844524099477506	0.22072871605718852	0.2294638667365239	0.2653550072585371
68000	-24916.913499198195	-24443.50455729582	-473.4089419023781	-24443.50455729582	-459.7191072628042	30.118546606553977	1	0	1	0	1	0	2.118268	2.118268	2.118268	0.294563	0.0	0.142064	0.0	0.553305	0.0	3	2.4863247263388574E-4	2.0226712422287383	0.28163903534791257	0.22354209065702657	0.2294638667365239	0.2653550072585371
70000	-24907.65160644366	-24434.694815379076	-472.9567910645828	-24434.694815379076	-455.31647136863353	30.118524073168484	1	1	1	0	0	1	2.311933	2.311933	2.311933	0.228706	0.023784	0.131355	0.0	0.0	0.256131	4	2.505958526640279E-4	2.0226712422287383	0.28163903534791257	0.22566856870939736	0.2294638667365239	0.2632285292061663
72000	-24889.18554830545	-24406.58459658262	-482.6009517228317	-24406.58459658262	-466.1150671264988	30.418027507694894	1	0	1	0	1	0	2.010805	2.010805	2.010805	0.164192	0.0	0.100779	0.0	0.960188	0.0	3	2.3740048644951383E-4	2.0226712422287383	0.28163903534791257	0.22566856870939736	0.2294638667365239	0.2632285292061663
74000	-24892.53366981417	-24409.249780655635	-483.28388915853566	-24409.249780655635	-463.22410127538814	30.9666916892224	1	0	1	0	1	0	2.507397	2.507397	2.507397	0.204006	0.0	0.203445	0.0	0.711021	0.0	3	2.741531366040856E-4	2.0226712422287383	0.28163903534791257	0.22566856870939736	0.2294638667365239	0.2632285292061663
76000	-24887.602311766434	-24411.023605335657	-476.57870643077746	-24411.023605335657	-458.66090726348096	30.96717758165216	1	0	1	0	1	0	2.488384	2.488384	2.488384	0.333094	0.0	0.083280	0.0	0.767610	0.0	3	2.526131250661296E-4	2.0226712422287383	0.28163903534791257	0.22566856870939736	0.2294638667365239	0.2632285292061663
78000	-24889.398951080217	-24420.1372510944	-469.26169998581724	-24420.1372510944	-454.3015624922509	30.36409638137009	1	0	1	1	0	1	2.459094	2.459094	2.459094	0.161319	0.0	0.133638	0.021305	0.0	0.176282	4	2.612089493348996E-4	2.0226712422287383	0.28163903534791257	0.22043603925792715	0.2294638667365239	0.26846105865763653
80000	-24877.362598011376	-24409.54965271657	-467.8129452948055	-24409.54965271657	-453.1125156790601	31.707547042902263	1	0	1	0	1	0	2.210642	2.210642	2.210642	0.225455	0.0	0.138164	0.0	0.476270	0.0	3	2.703744772671262E-4	2.0226712422287383	0.28163903534791257	0.22043603925792715	0.2294638667365239	0.26846105865763653
82000	-24863.795134545446	-24393.126341497904	-470.6687930475433	-24393.126341497904	-454.8929367322751	31.707581547479787	1	0	1	1	1	1	2.034751	2.034751	2.034751	0.169192	0.0	0.203862	0.018935	0.158988	0.115363	5	2.489837971760614E-4	2.0226712422287383	0.28979024116641733	0.22043603925792715	0.2294638667365239	0.2603098528391318
