taxon	Date
AB563973|Luzon|2009.52876712329	2009.52876712329
AB563974|Luzon|2009.53150684932	2009.53150684932
AB563975|Luzon|2009.5698630137	2009.5698630137
AB563992|Luzon|2009.61369863014	2009.61369863014
AB563993|Luzon|2009.64931506849	2009.64931506849
AB564000|Luzon|2009.7095890411	2009.7095890411
AB733961|Luzon|2009.81095890411	2009.81095890411
AB733962|Luzon|2010.06575342466	2010.06575342466
AB683584|Luzon|2004.68852459016	2004.68852459016
AB733963|Luzon|2004.92896174863	2004.92896174863
AB563800|Luzon|2005.01643835616	2005.01643835616
AB563803|Luzon|2005.12328767123	2005.12328767123
AB563805|Luzon|2005.20273972603	2005.20273972603
AB563806|Luzon|2005.23835616438	2005.23835616438
AB563812|Luzon|2005.54246575342	2005.54246575342
AB563813|Luzon|2005.5698630137	2005.5698630137
AB563815|Luzon|2005.7095890411	2005.7095890411
AB563816|Luzon|2005.71506849315	2005.71506849315
AB563909|Luzon|2008.92076502732	2008.92076502732
AB563951|Luzon|2009.17260273973	2009.17260273973
AB563952|Luzon|2009.17260273973	2009.17260273973
AB563953|Luzon|2009.18904109589	2009.18904109589
AB563954|Luzon|2009.19452054795	2009.19452054795
AB838709|Luzon|2009.22191780822	2009.22191780822
AB563955|Luzon|2009.24383561644	2009.24383561644
AB563956|Luzon|2009.24931506849	2009.24931506849
AB563957|Luzon|2009.27945205479	2009.27945205479
AB563981|Luzon|2009.31780821918	2009.31780821918
AB563982|Luzon|2009.35616438356	2009.35616438356
AB563983|Luzon|2009.39452054795	2009.39452054795
AB563984|Luzon|2009.43835616438	2009.43835616438
AB563985|Luzon|2009.45205479452	2009.45205479452
AB563986|Luzon|2009.45753424658	2009.45753424658
AB563987|Luzon|2009.4904109589	2009.4904109589
AB563988|Luzon|2009.52876712329	2009.52876712329
AB563989|Luzon|2009.54794520548	2009.54794520548
AB563990|Luzon|2009.55342465753	2009.55342465753
AB563991|Luzon|2009.55616438356	2009.55616438356
AB563999|Luzon|2009.70684931507	2009.70684931507
AB733964|Luzon|2009.58630136986	2009.58630136986
AB733965|Luzon|2009.60821917808	2009.60821917808
AB733966|Luzon|2009.62739726027	2009.62739726027
AB733967|Luzon|2009.61643835616	2009.61643835616
AB733968|Luzon|2009.62465753425	2009.62465753425
AB733969|Luzon|2009.78356164384	2009.78356164384
AB733970|Luzon|2009.80273972603	2009.80273972603
AB733971|Luzon|2010.00821917808	2010.00821917808
AB733972|Luzon|2010.02739726027	2010.02739726027
AB733973|Luzon|2010.12328767123	2010.12328767123
AB563946|Luzon|2009.15342465753	2009.15342465753
AB733974|Luzon|2009.50136986301	2009.50136986301
AB733975|Luzon|2009.89863013699	2009.89863013699
AB733976|Luzon|2009.89863013699	2009.89863013699
AB563798|Luzon|2004.7131147541	2004.7131147541
AB563809|Luzon|2005.27945205479	2005.27945205479
AB563817|Luzon|2005.81917808219	2005.81917808219
AB563838|Luzon|2008.44535519126	2008.44535519126
AB563840|Luzon|2008.46448087432	2008.46448087432
AB563841|Luzon|2008.4781420765	2008.4781420765
AB563842|Luzon|2008.49453551913	2008.49453551913
AB563843|Luzon|2008.5	2008.5
AB563844|Luzon|2008.51912568306	2008.51912568306
AB563846|Luzon|2008.55191256831	2008.55191256831
AB683585|Luzon|2008.55737704918	2008.55737704918
AB563847|Luzon|2008.57103825137	2008.57103825137
AB563848|Luzon|2008.57103825137	2008.57103825137
AB563849|Luzon|2008.57103825137	2008.57103825137
AB563850|Luzon|2008.57103825137	2008.57103825137
AB563851|Luzon|2008.57103825137	2008.57103825137
AB563863|Luzon|2008.59016393443	2008.59016393443
AB563864|Luzon|2008.60109289617	2008.60109289617
AB563865|Luzon|2008.60928961749	2008.60928961749
AB563867|Luzon|2008.65027322404	2008.65027322404
AB563868|Luzon|2008.65300546448	2008.65300546448
AB563869|Luzon|2008.65846994536	2008.65846994536
AB563870|Luzon|2008.68852459016	2008.68852459016
AB563878|Luzon|2008.6912568306	2008.6912568306
AB563879|Luzon|2008.70491803279	2008.70491803279
AB563880|Luzon|2008.72677595628	2008.72677595628
AB563881|Luzon|2008.72950819672	2008.72950819672
AB563882|Luzon|2008.73224043716	2008.73224043716
AB563883|Luzon|2008.74316939891	2008.74316939891
AB563884|Luzon|2008.77322404372	2008.77322404372
AB563885|Luzon|2008.78142076503	2008.78142076503
AB563901|Luzon|2008.80054644809	2008.80054644809
AB563902|Luzon|2008.83879781421	2008.83879781421
AB563903|Luzon|2008.84153005464	2008.84153005464
AB563904|Luzon|2008.85792349727	2008.85792349727
AB563905|Luzon|2008.86338797814	2008.86338797814
AB563906|Luzon|2008.8825136612	2008.8825136612
AB563907|Luzon|2008.89890710383	2008.89890710383
AB563908|Luzon|2008.91803278689	2008.91803278689
AB563910|Luzon|2008.9262295082	2008.9262295082
AB563924|Luzon|2008.93715846995	2008.93715846995
AB563925|Luzon|2008.95901639344	2008.95901639344
AB563926|Luzon|2009.01095890411	2009.01095890411
AB563927|Luzon|2009.01369863014	2009.01369863014
AB563928|Luzon|2009.07671232877	2009.07671232877
AB563929|Luzon|2009.03561643836	2009.03561643836
AB563930|Luzon|2009.04931506849	2009.04931506849
AB563931|Luzon|2009.06849315068	2009.06849315068
AB563937|Luzon|2009.08767123288	2009.08767123288
AB563938|Luzon|2009.08767123288	2009.08767123288
AB563939|Luzon|2009.08493150685	2009.08493150685
AB563940|Luzon|2009.11780821918	2009.11780821918
AB683586|Luzon|2009.13698630137	2009.13698630137
AB563942|Luzon|2009.14520547945	2009.14520547945
AB563943|Luzon|2009.15342465753	2009.15342465753
AB563944|Luzon|2009.17260273973	2009.17260273973
AB563945|Luzon|2009.23835616438	2009.23835616438
AB563976|Luzon|2009.35890410959	2009.35890410959
AB563977|Luzon|2009.36164383562	2009.36164383562
AB563978|Luzon|2009.38630136986	2009.38630136986
AB563979|Luzon|2009.39452054795	2009.39452054795
AB563980|Luzon|2009.51232876712	2009.51232876712
AB563791|Luzon|2004.05737704918	2004.05737704918
AB563794|Luzon|2004.50819672131	2004.50819672131
AB683587|Luzon|2004.61202185792	2004.61202185792
AB563797|Luzon|2004.6393442623	2004.6393442623
AB563819|Luzon|2006.33150684932	2006.33150684932
AB563820|Luzon|2006.38356164384	2006.38356164384
AB563822|Luzon|2006.41095890411	2006.41095890411
AB563823|Luzon|2006.42739726027	2006.42739726027
AB563824|Luzon|2006.66575342466	2006.66575342466
AB563826|Luzon|2006.68493150685	2006.68493150685
AB563827|Luzon|2006.70136986301	2006.70136986301
AB563828|Luzon|2006.71232876712	2006.71232876712
AB563829|Luzon|2006.71232876712	2006.71232876712
AB563830|Luzon|2006.71780821918	2006.71780821918
AB683629|Luzon|2007.44109589041	2007.44109589041
AB683630|Luzon|2007.55890410959	2007.55890410959
AB563836|Luzon|2007.7397260274	2007.7397260274
AB563837|Luzon|2007.75890410959	2007.75890410959
AB563821|Oriental_Mindoro|2006.39178082192	2006.39178082192
AB563839|Luzon|2008.45628415301	2008.45628415301
AB563858|Luzon|2008.51639344262	2008.51639344262
AB563859|Luzon|2008.53825136612	2008.53825136612
AB683632|Luzon|2008.54098360656	2008.54098360656
AB563861|Luzon|2008.6174863388	2008.6174863388
AB563862|Luzon|2008.62021857923	2008.62021857923
AB563886|Luzon|2008.63661202186	2008.63661202186
AB563887|Luzon|2008.75136612022	2008.75136612022
AB563888|Luzon|2008.7868852459	2008.7868852459
AB563889|Luzon|2008.80327868852	2008.80327868852
AB683637|Catanduanes|2008.88524590164	2008.88524590164
AB563934|Luzon|2008.9043715847	2008.9043715847
AB563936|Catanduanes|2008.9781420765	2008.9781420765
AB563969|Luzon|2009.35890410959	2009.35890410959
AB563994|Luzon|2009.37534246575	2009.37534246575
AB563995|Luzon|2009.39452054795	2009.39452054795
AB563996|Luzon|2009.47123287671	2009.47123287671
AB563997|Catanduanes|2009.55890410959	2009.55890410959
AB563998|Luzon|2009.62465753425	2009.62465753425
AB733977|Luzon|2009.8	2009.8
AB733978|Luzon|2009.87945205479	2009.87945205479
AB733979|Luzon|2009.90136986301	2009.90136986301
AB563890|Cebu|2008.66666666667	2008.66666666667
AB563891|Cebu|2008.68579234973	2008.68579234973
AB563892|Cebu|2008.6912568306	2008.6912568306
AB563893|Cebu|2008.6912568306	2008.6912568306
AB563894|Cebu|2008.69398907104	2008.69398907104
AB563895|Cebu|2008.69672131148	2008.69672131148
AB563896|Cebu|2008.69672131148	2008.69672131148
AB683588|Negros_Oriental|2008.75136612022	2008.75136612022
AB563900|Negros_Oriental|2008.7650273224	2008.7650273224
AB563911|Cebu|2008.76229508197	2008.76229508197
AB563912|Cebu|2008.84972677596	2008.84972677596
AB563913|Cebu|2008.84972677596	2008.84972677596
AB563914|Cebu|2008.85792349727	2008.85792349727
AB563915|Cebu|2008.87704918033	2008.87704918033
AB563916|Cebu|2008.88524590164	2008.88524590164
AB563917|Cebu|2008.89071038251	2008.89071038251
AB563918|Cebu|2008.89890710383	2008.89890710383
AB563947|Negros_Oriental|2009.07397260274	2009.07397260274
AB563948|Negros_Oriental|2009.10684931507	2009.10684931507
AB563949|Negros_Oriental|2009.11506849315	2009.11506849315
AB563950|Negros_Oriental|2009.17534246575	2009.17534246575
AB563958|Negros_Oriental|2009.03561643836	2009.03561643836
AB563959|Negros_Oriental|2009.03835616438	2009.03835616438
AB563960|Cebu|2009.05753424658	2009.05753424658
AB563961|Cebu|2009.08767123288	2009.08767123288
AB563962|Cebu|2009.0904109589	2009.0904109589
AB563963|Cebu|2009.0904109589	2009.0904109589
AB563964|Cebu|2009.06849315068	2009.06849315068
AB563965|Cebu|2009.19178082192	2009.19178082192
AB563966|Cebu|2009.20821917808	2009.20821917808
AB563967|Cebu|2009.26301369863	2009.26301369863
AB563968|Cebu|2009.31780821918	2009.31780821918
AB683652|Cebu|2009.32054794521	2009.32054794521
AB564001|Negros_Oriental|2009.41369863014	2009.41369863014
AB564002|Negros_Oriental|2009.55342465753	2009.55342465753
AB564003|Negros_Oriental|2009.55616438356	2009.55616438356
AB564004|Negros_Oriental|2009.59452054795	2009.59452054795
AB564005|Negros_Oriental|2009.67123287671	2009.67123287671
AB564006|Negros_Oriental|2009.30136986301	2009.30136986301
AB564007|Negros_Oriental|2009.34246575342	2009.34246575342
AB563845|Mindanao|2008.53278688525	2008.53278688525
AB563852|Mindanao|2008.55191256831	2008.55191256831
AB563853|Mindanao|2008.55191256831	2008.55191256831
AB563854|Mindanao|2008.55464480874	2008.55464480874
AB563855|Mindanao|2008.5737704918	2008.5737704918
AB563856|Mindanao|2008.58196721311	2008.58196721311
AB563857|Mindanao|2008.61475409836	2008.61475409836
AB563871|Mindanao|2008.63114754098	2008.63114754098
AB563872|Mindanao|2008.65846994536	2008.65846994536
AB563873|Mindanao|2008.66393442623	2008.66393442623
AB563874|Mindanao|2008.67213114754	2008.67213114754
AB563875|Mindanao|2008.67486338798	2008.67486338798
AB563876|Mindanao|2008.68579234973	2008.68579234973
AB563919|Mindanao|2008.71584699454	2008.71584699454
AB563920|Mindanao|2008.81693989071	2008.81693989071
AB563921|Mindanao|2008.94262295082	2008.94262295082
AB563922|Mindanao|2009.04109589041	2009.04109589041
AB563923|Mindanao|2009.06849315068	2009.06849315068
AB683589|Mindanao|2009.09315068493	2009.09315068493
AB683590|Mindanao|2009.15068493151	2009.15068493151
AB683591|Mindanao|2009.30684931507	2009.30684931507
AB563970|Mindanao|2009.34520547945	2009.34520547945
AB563971|Mindanao|2009.45479452055	2009.45479452055
AB563972|Mindanao|2009.47123287671	2009.47123287671
AB564008|Mindanao|2009.5095890411	2009.5095890411
AB564009|Mindanao|2009.5095890411	2009.5095890411
AB564010|Mindanao|2009.54794520548	2009.54794520548
AB564011|Mindanao|2009.62739726027	2009.62739726027
AB564012|Mindanao|2009.68493150685	2009.68493150685
AB564013|Mindanao|2009.72328767123	2009.72328767123
AB564014|Mindanao|2009.72328767123	2009.72328767123
AB564015|Mindanao|2009.76438356164	2009.76438356164
AB564016|Mindanao|2009.76712328767	2009.76712328767
AB564017|Mindanao|2009.78082191781	2009.78082191781
AB564018|Mindanao|2009.49589041096	2009.49589041096
AB564019|Mindanao|2009.50136986301	2009.50136986301
AB563807|Mindanao|2005.26301369863	2005.26301369863
